Device,Device ID,Wafer,Site,P/F,Time
1,"1204",0,1,1,463746
2,"767",0,1,1,68448
3,"786",0,1,1,61046
4,"805",0,1,1,59998
5,"824",0,1,1,60460
6,"843",0,1,1,60337
7,"862",0,1,1,57525
8,"881",0,1,0,57827
9,"881",0,1,1,30842
10,"900",0,1,1,59962
11,"768",0,1,1,57793
12,"787",0,1,1,58096
13,"806",0,1,1,58075
14,"825",0,1,0,57851
15,"825",0,1,1,30853
16,"844",0,1,1,58143
17,"863",0,1,0,57870
18,"863",0,1,0,30804
19,"882",0,1,1,58288
20,"901",0,1,1,58196
21,"920",0,1,1,57843
22,"939",0,1,1,57504
23,"958",0,1,1,58204
24,"977",0,1,1,58009
25,"996",0,1,0,58791
26,"996",0,1,1,30925
27,"1015",0,1,1,58289
28,"1034",0,1,0,58060
29,"1034",0,1,0,30976
30,"1053",0,1,1,57777
31,"1072",0,1,1,58433
32,"1091",0,1,1,58510
33,"1110",0,1,0,58356
34,"1110",0,1,1,30983
35,"1129",0,1,1,58335
36,"1148",0,1,1,58399
37,"1167",0,1,1,58633
38,"1186",0,1,1,58374
39,"1205",0,1,0,58420
40,"1205",0,1,1,30907
41,"1224",0,1,1,58170
42,"1243",0,1,1,57997
43,"1262",0,1,1,58353
44,"1281",0,1,1,58115
45,"1300",0,1,1,57542
46,"1319",0,1,1,57919
47,"1338",0,1,0,58158
48,"1338",0,1,1,30916
49,"1357",0,1,1,58373
50,"1376",0,1,1,57544
51,"1395",0,1,0,57969
52,"1395",0,1,1,30919
53,"1414",0,1,1,57918
54,"919",0,1,1,58404
55,"938",0,1,0,57330
56,"938",0,1,0,30991
57,"957",0,1,1,57804
58,"976",0,1,1,58471
59,"995",0,1,1,58504
60,"1014",0,1,1,58590
61,"1033",0,1,1,57904
62,"1052",0,1,1,57870
63,"1377",0,1,1,58205
64,"1396",0,1,0,57751
65,"1396",0,1,1,30946
66,"1415",0,1,0,58000
67,"1225",0,1,1,57741
68,"1244",0,1,1,58031
69,"1263",0,1,0,58423
70,"1263",0,1,1,30911
71,"1282",0,1,1,58113
72,"1301",0,1,1,58476
73,"1320",0,1,1,58150
74,"1339",0,1,0,58685
75,"1339",0,1,1,31154
76,"1358",0,1,1,58353
77,"1073",0,1,0,58131
78,"1073",0,1,1,31256
79,"1092",0,1,1,58701
80,"1111",0,1,1,61154
81,"1130",0,1,1,60196
82,"1149",0,1,0,60098
83,"1149",0,1,1,31627
84,"1168",0,1,1,60010
85,"1187",0,1,1,58633
