Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",0,1,"EN0_PS1600",1,"1204","","",-500,"<=",-369.921,"mV","<=",-300,"P",0.27146,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",0,1,"FAULTB_PS1600",1,"1204","","",-500,"<=",-423.761,"mV","<=",-300,"P",0.27146,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",0,1,"FCB_PS1600",1,"1204","","",-500,"<=",-369.531,"mV","<=",-300,"P",0.27146,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",0,1,"ISEN_PS1600",1,"1204","","",-500,"<=",-358.877,"mV","<=",-300,"P",0.27146,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",0,1,"ITRIP_PS1600",1,"1204","","",-500,"<=",-373.846,"mV","<=",-300,"P",0.27146,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",0,1,"OFF_PS1600",1,"1204","","",-500,"<=",-363.374,"mV","<=",-300,"P",0.27146,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",0,1,"SS_PS1600",1,"1204","","",-500,"<=",-456.728,"mV","<=",-300,"P",0.27146,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",0,1,"VBIAS_PS1600",1,"1204","","",-500,"<=",-298.433,"mV","<=",-200,"P",0.27146,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",0,1,"GND_PS1600",1,"1204","","",-500,"<=",-348.291,"mV","<=",-300,"P",0.27146,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",0,1,"VIN1",1,"1204","","",-360,"<=",-339.369,"mV","<=",-300,"P",0.27146,***,"",
1,"CONTINUITY","","MOULD_RES",10340,"",0,1,"VIN1",1,"1204","","",0,"<=",0.828637,"ohm","<=",20,"P",0.27146,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",0,1,"VIN2",1,"1204","","",-360,"<=",-339.491,"mV","<=",-300,"P",0.27146,***,"",
1,"CONTINUITY","","MOULD_RES",10350,"",0,1,"VIN2",1,"1204","","",0,"<=",0.854068,"ohm","<=",20,"P",0.27146,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",0,1,"VIN3",1,"1204","","",-360,"<=",-339.848,"mV","<=",-300,"P",0.27146,***,"",
1,"CONTINUITY","","MOULD_RES",10360,"",0,1,"VIN3",1,"1204","","",0,"<=",0.491672,"ohm","<=",20,"P",0.27146,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",0,1,"VIN4_RS1",1,"1204","","",-360,"<=",-339.874,"mV","<=",-300,"P",0.27146,***,"",
