Test Suite,Test Method,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cp,Cpk,Cpl,Cpu,Device#,Pass#,Pass%,Fail#,Fail%,Alarm#,Time,TS Time
"CONTINUITY","","CONTINUITY",10030,"Parametric","",-500,-300,"mV",-373.903,-356.837,-367.944,3.93577,8.46934,5.75442,11.1843,5.75442,85,85,100,0,0,0,0.27146,***
"CONTINUITY","","CONTINUITY",10020,"Parametric","",-500,-300,"mV",-430.249,-401.393,-419.415,5.91785,5.63267,4.53911,4.53911,6.72623,85,85,100,0,0,0,0.27146,***
"CONTINUITY","","CONTINUITY",10050,"Parametric","",-500,-300,"mV",-373.8,-356.895,-367.94,3.93696,8.46676,5.75232,11.1812,5.75232,85,85,100,0,0,0,0.27146,***
"CONTINUITY","","CONTINUITY",10090,"Parametric","",-500,-300,"mV",-360.585,-343.453,-355.582,4.24615,7.85024,4.36329,11.3372,4.36329,85,85,100,0,0,0,0.27146,***
"CONTINUITY","","CONTINUITY",10080,"Parametric","",-500,-300,"mV",-375.44,-358.991,-370.21,4.12903,8.07292,5.66801,10.4778,5.66801,85,85,100,0,0,0,0.27146,***
"CONTINUITY","","CONTINUITY",10040,"Parametric","",-500,-300,"mV",-366.333,-350.454,-361.303,3.8151,8.73721,5.35619,12.1182,5.35619,85,85,100,0,0,0,0.27146,***
"CONTINUITY","","CONTINUITY",10010,"Parametric","",-500,-300,"mV",-461.509,-425.139,-445.665,8.4881,3.92707,2.13379,2.13379,5.72035,85,85,100,0,0,0,0.27146,***
"CONTINUITY","","CONTINUITY",10070,"Parametric","",-500,-200,"mV",-302.417,-289.27,-297.865,3.05771,16.3521,10.6686,22.0356,10.6686,85,85,100,0,0,0,0.27146,***
"CONTINUITY","","CONTINUITY",10060,"Parametric","",-500,-300,"mV",-348.291,-344.193,-345.312,0.636611,52.3606,23.7257,80.9956,23.7257,85,85,100,0,0,0,0.27146,***
"CONTINUITY","","CONTINUITY",10180,"Parametric","",-360,-300,"mV",-349.869,-335.125,-344.349,3.54936,2.81741,1.46984,1.46984,4.16497,85,85,100,0,0,0,0.27146,***
"CONTINUITY","","MOULD_RES",10340,"Parametric","",0,20,"ohm",0.0169544,0.911289,0.498229,0.241391,13.8089,0.687999,0.687999,26.9298,85,85,100,0,0,0,0.27146,***
"CONTINUITY","","CONTINUITY",10190,"Parametric","",-360,-300,"mV",-350.313,-335.304,-344.79,3.59712,2.78,1.40944,1.40944,4.15057,85,85,100,0,0,0,0.27146,***
"CONTINUITY","","MOULD_RES",10350,"Parametric","",0,20,"ohm",0.00635778,1.11474,0.496484,0.26783,12.4457,0.617909,0.617909,24.2735,85,85,100,0,0,0,0.27146,***
"CONTINUITY","","CONTINUITY",10200,"Parametric","",-360,-300,"mV",-350.182,-335.68,-344.81,3.58203,2.79171,1.41357,1.41357,4.16986,85,85,100,0,0,0,0.27146,***
"CONTINUITY","","MOULD_RES",10360,"Parametric","",0,20,"ohm",0.02967,1.03845,0.49075,0.244395,13.6391,0.669339,0.669339,26.6089,85,85,100,0,0,0,0.27146,***
"CONTINUITY","","CONTINUITY",10210,"Parametric","",-360,-300,"mV",-350.351,-335.646,-344.882,3.56155,2.80777,1.4149,1.4149,4.20063,85,85,100,0,0,0,0.27146,***
"CONTINUITY","","MOULD_RES",10370,"Parametric","",0,20,"ohm",0.00423778,1.31607,0.50895,0.239793,13.9009,0.707486,0.707486,27.0943,85,85,100,0,0,0,0.27146,***
"CONTINUITY","","CONTINUITY",10220,"Parametric","",-360,-300,"mV",-350.414,-335.497,-344.811,3.59476,2.78182,1.40847,1.40847,4.15518,85,85,100,0,0,0,0.27146,***
"CONTINUITY","","MOULD_RES",10380,"Parametric","",0,20,"ohm",0.0127156,1.0448,0.423332,0.230341,14.4713,0.612615,0.612615,28.3299,85,85,100,0,0,0,0.27146,***
"CONTINUITY","","CONTINUITY",10230,"Parametric","",-360,-300,"mV",-350.294,-335.81,-344.857,3.53861,2.82597,1.42642,1.42642,4.22551,85,85,100,0,0,0,0.27146,***
"CONTINUITY","","MOULD_RES",10390,"Parametric","",0,20,"ohm",0.0275511,1.21223,0.618629,0.26162,12.7411,0.788202,0.788202,24.694,85,85,100,0,0,0,0.27146,***
"CONTINUITY","","CONTINUITY",10240,"Parametric","",-360,-300,"mV",-350.17,-335.535,-344.727,3.55323,2.81434,1.43274,1.43274,4.19594,85,85,100,0,0,0,0.27146,***
"CONTINUITY","","MOULD_RES",10400,"Parametric","",0,20,"ohm",0.0445044,1.12534,0.466764,0.197295,16.8952,0.788606,0.788606,33.0017,85,85,100,0,0,0,0.27146,***
"CONTINUITY","","CONTINUITY",10250,"Parametric","",-360,-300,"mV",-350.302,-335.279,-344.714,3.69456,2.70668,1.37913,1.37913,4.03424,85,85,100,0,0,0,0.27146,***
"CONTINUITY","","MOULD_RES",10410,"Parametric","",0,20,"ohm",0.0466233,4.50982,0.591004,0.483315,6.89682,0.407605,0.407605,13.386,85,85,100,0,0,0,0.27146,***
