Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",1,"1","","",-500,"<=",-367.202,"mV","<=",-300,"P",0.36849,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",1,"1","","",-500,"<=",-421.053,"mV","<=",-300,"P",0.36849,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",1,1,"FCB_PS1600",1,"1","","",-500,"<=",-367.575,"mV","<=",-300,"P",0.36849,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",1,1,"ISEN_PS1600",1,"1","","",-500,"<=",-355.204,"mV","<=",-300,"P",0.36849,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",1,1,"ITRIP_PS1600",1,"1","","",-500,"<=",-368.988,"mV","<=",-300,"P",0.36849,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",1,1,"OFF_PS1600",1,"1","","",-500,"<=",-361.485,"mV","<=",-300,"P",0.36849,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",1,1,"SS_PS1600",1,"1","","",-500,"<=",-449.478,"mV","<=",-300,"P",0.36849,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",1,1,"VBIAS_PS1600",1,"1","","",-500,"<=",-295.007,"mV","<=",-200,"P",0.36849,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",1,1,"GND_PS1600",1,"1","","",-500,"<=",-369.091,"mV","<=",-300,"P",0.36849,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",1,1,"VIN1",1,"1","","",-360,"<=",-341.457,"mV","<=",-300,"P",0.36849,***,"",
1,"CONTINUITY","","MOULD_RES",10340,"",1,1,"VIN1",1,"1","","",0,"<=",0.258551,"ohm","<=",20,"P",0.36849,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",1,1,"VIN2",1,"1","","",-360,"<=",-341.095,"mV","<=",-300,"P",0.36849,***,"",
1,"CONTINUITY","","MOULD_RES",10350,"",1,1,"VIN2",1,"1","","",0,"<=",0.385709,"ohm","<=",20,"P",0.36849,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",1,1,"VIN3",1,"1","","",-360,"<=",-341.198,"mV","<=",-300,"P",0.36849,***,"",
1,"CONTINUITY","","MOULD_RES",10360,"",1,1,"VIN3",1,"1","","",0,"<=",0.481076,"ohm","<=",20,"P",0.36849,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",1,1,"VIN4_RS1",1,"1","","",-360,"<=",-341.408,"mV","<=",-300,"P",0.36849,***,"",
1,"CONTINUITY","","MOULD_RES",10370,"",1,1,"VIN4_RS1",1,"1","","",0,"<=",0.572204,"ohm","<=",20,"P",0.36849,***,"",
1,"CONTINUITY","","CONTINUITY",10220,"",1,1,"VIN4_RS2",1,"1","","",-360,"<=",-341.146,"mV","<=",-300,"P",0.36849,***,"",
1,"CONTINUITY","","MOULD_RES",10380,"",1,1,"VIN4_RS2",1,"1","","",0,"<=",0.777774,"ohm","<=",20,"P",0.36849,***,"",
1,"CONTINUITY","","CONTINUITY",10230,"",1,1,"VIN5_RS1",1,"1","","",-360,"<=",-341.677,"mV","<=",-300,"P",0.36849,***,"",
1,"CONTINUITY","","MOULD_RES",10390,"",1,1,"VIN5_RS1",1,"1","","",0,"<=",0.928243,"ohm","<=",20,"P",0.36849,***,"",
1,"CONTINUITY","","CONTINUITY",10240,"",1,1,"VIN5_RS2",1,"1","","",-360,"<=",-341.408,"mV","<=",-300,"P",0.36849,***,"",
1,"CONTINUITY","","MOULD_RES",10400,"",1,1,"VIN5_RS2",1,"1","","",0,"<=",0.871022,"ohm","<=",20,"P",0.36849,***,"",
1,"CONTINUITY","","CONTINUITY",10250,"",1,1,"VIN6",1,"1","","",-360,"<=",-341.417,"mV","<=",-300,"P",0.36849,***,"",
1,"CONTINUITY","","MOULD_RES",10410,"",1,1,"VIN6",1,"1","","",0,"<=",0.879499,"ohm","<=",20,"P",0.36849,***,"",
1,"CONTINUITY","","CONTINUITY",10100,"",1,1,"VOUT1",1,"1","","",-300,"<=",-224.781,"mV","<=",-200,"P",0.36849,***,"",
1,"CONTINUITY","","MOULD_RES",10260,"",1,1,"VOUT1",1,"1","","",0,"<=",0.44081,"ohm","<=",20,"P",0.36849,***,"",
1,"CONTINUITY","","CONTINUITY",10110,"",1,1,"VOUT2_RS1",1,"1","","",-300,"<=",-224.403,"mV","<=",-200,"P",0.36849,***,"",
1,"CONTINUITY","","MOULD_RES",10270,"",1,1,"VOUT2_RS1",1,"1","","",0,"<=",0.464122,"ohm","<=",20,"P",0.36849,***,"",
1,"CONTINUITY","","CONTINUITY",10120,"",1,1,"VOUT2_RS2",1,"1","","",-300,"<=",-224.663,"mV","<=",-200,"P",0.36849,***,"",
1,"CONTINUITY","","MOULD_RES",10280,"",1,1,"VOUT2_RS2",1,"1","","",0,"<=",0.419617,"ohm","<=",20,"P",0.36849,***,"",
1,"CONTINUITY","","CONTINUITY",10130,"",1,1,"VOUT3_RS1",1,"1","","",-300,"<=",-224.59,"mV","<=",-200,"P",0.36849,***,"",
1,"CONTINUITY","","MOULD_RES",10290,"",1,1,"VOUT3_RS1",1,"1","","",0,"<=",0.726912,"ohm","<=",20,"P",0.36849,***,"",
1,"CONTINUITY","","CONTINUITY",10140,"",1,1,"VOUT3_RS2",1,"1","","",-300,"<=",-224.586,"mV","<=",-200,"P",0.36849,***,"",
1,"CONTINUITY","","MOULD_RES",10300,"",1,1,"VOUT3_RS2",1,"1","","",0,"<=",0.752343,"ohm","<=",20,"P",0.36849,***,"",
1,"CONTINUITY","","CONTINUITY",10150,"",1,1,"VOUT4",1,"1","","",-300,"<=",-224.537,"mV","<=",-200,"P",0.36849,***,"",
