Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",1,"846","","",-500,"<=",-368.567,"mV","<=",-300,"P",0.270412,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",1,"846","","",-500,"<=",-422.931,"mV","<=",-300,"P",0.270412,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",1,1,"FCB_PS1600",1,"846","","",-500,"<=",-368.941,"mV","<=",-300,"P",0.270412,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",1,1,"ISEN_PS1600",1,"846","","",-500,"<=",-356.627,"mV","<=",-300,"P",0.270412,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",1,1,"ITRIP_PS1600",1,"846","","",-500,"<=",-370.297,"mV","<=",-300,"P",0.270412,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",1,1,"OFF_PS1600",1,"846","","",-500,"<=",-362.965,"mV","<=",-300,"P",0.270412,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",1,1,"SS_PS1600",1,"846","","",-500,"<=",-451.356,"mV","<=",-300,"P",0.270412,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",1,1,"VBIAS_PS1600",1,"846","","",-500,"<=",-296.373,"mV","<=",-200,"P",0.270412,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",1,1,"GND_PS1600",1,"846","","",-500,"<=",-362.319,"mV","<=",-300,"P",0.270412,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",1,1,"VIN1",1,"846","","",-360,"<=",-342.175,"mV","<=",-300,"P",0.270412,***,"",
1,"CONTINUITY","","MOULD_RES",10340,"",1,1,"VIN1",1,"846","","",0,"<=",0.656976,"ohm","<=",20,"P",0.270412,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",1,1,"VIN2",1,"846","","",-360,"<=",-342.281,"mV","<=",-300,"P",0.270412,***,"",
1,"CONTINUITY","","MOULD_RES",10350,"",1,1,"VIN2",1,"846","","",0,"<=",0.733269,"ohm","<=",20,"P",0.270412,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",1,1,"VIN3",1,"846","","",-360,"<=",-342.36,"mV","<=",-300,"P",0.270412,***,"",
