Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",1,"846","","",-500,"<=",-9.9999e+07,"mV","<=",-300,"F",0.269401,***,"",
2,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",2,"846","","",-500,"<=",-368.169,"mV","<=",-300,"P",0.269401,***,"",
2,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",2,"846","","",-500,"<=",-422.703,"mV","<=",-300,"P",0.261899,***,"",
2,"CONTINUITY","","CONTINUITY",10050,"",1,1,"FCB_PS1600",2,"846","","",-500,"<=",-368.543,"mV","<=",-300,"P",0.261899,***,"",
2,"CONTINUITY","","CONTINUITY",10090,"",1,1,"ISEN_PS1600",2,"846","","",-500,"<=",-356.172,"mV","<=",-300,"P",0.261899,***,"",
2,"CONTINUITY","","CONTINUITY",10080,"",1,1,"ITRIP_PS1600",2,"846","","",-500,"<=",-369.899,"mV","<=",-300,"P",0.261899,***,"",
2,"CONTINUITY","","CONTINUITY",10040,"",1,1,"OFF_PS1600",2,"846","","",-500,"<=",-362.624,"mV","<=",-300,"P",0.261899,***,"",
2,"CONTINUITY","","CONTINUITY",10010,"",1,1,"SS_PS1600",2,"846","","",-500,"<=",-450.844,"mV","<=",-300,"P",0.261899,***,"",
2,"CONTINUITY","","CONTINUITY",10070,"",1,1,"VBIAS_PS1600",2,"846","","",-500,"<=",-296.032,"mV","<=",-200,"P",0.261899,***,"",
2,"CONTINUITY","","CONTINUITY",10060,"",1,1,"GND_PS1600",2,"846","","",-500,"<=",-352.473,"mV","<=",-300,"P",0.261899,***,"",
2,"CONTINUITY","","CONTINUITY",10180,"",1,1,"VIN1",2,"846","","",-360,"<=",-341.644,"mV","<=",-300,"P",0.261899,***,"",
2,"CONTINUITY","","MOULD_RES",10340,"",1,1,"VIN1",2,"846","","",0,"<=",0.307296,"ohm","<=",20,"P",0.261899,***,"",
2,"CONTINUITY","","CONTINUITY",10190,"",1,1,"VIN2",2,"846","","",-360,"<=",-342.047,"mV","<=",-300,"P",0.261899,***,"",
2,"CONTINUITY","","MOULD_RES",10350,"",1,1,"VIN2",2,"846","","",0,"<=",0.0127156,"ohm","<=",20,"P",0.261899,***,"",
2,"CONTINUITY","","CONTINUITY",10200,"",1,1,"VIN3",2,"846","","",-360,"<=",-341.932,"mV","<=",-300,"P",0.261899,***,"",
2,"CONTINUITY","","MOULD_RES",10360,"",1,1,"VIN3",2,"846","","",0,"<=",0.32213,"ohm","<=",20,"P",0.261899,***,"",
2,"CONTINUITY","","CONTINUITY",10210,"",1,1,"VIN4_RS1",2,"846","","",-360,"<=",-342.196,"mV","<=",-300,"P",0.261899,***,"",
2,"CONTINUITY","","MOULD_RES",10370,"",1,1,"VIN4_RS1",2,"846","","",0,"<=",0.400543,"ohm","<=",20,"P",0.261899,***,"",
2,"CONTINUITY","","CONTINUITY",10220,"",1,1,"VIN4_RS2",2,"846","","",-360,"<=",-342.302,"mV","<=",-300,"P",0.261899,***,"",
2,"CONTINUITY","","MOULD_RES",10380,"",1,1,"VIN4_RS2",2,"846","","",0,"<=",0.258552,"ohm","<=",20,"P",0.261899,***,"",
2,"CONTINUITY","","CONTINUITY",10230,"",1,1,"VIN5_RS1",2,"846","","",-360,"<=",-341.944,"mV","<=",-300,"P",0.261899,***,"",
2,"CONTINUITY","","MOULD_RES",10390,"",1,1,"VIN5_RS1",2,"846","","",0,"<=",0.610352,"ohm","<=",20,"P",0.261899,***,"",
2,"CONTINUITY","","CONTINUITY",10240,"",1,1,"VIN5_RS2",2,"846","","",-360,"<=",-342.087,"mV","<=",-300,"P",0.261899,***,"",
2,"CONTINUITY","","MOULD_RES",10400,"",1,1,"VIN5_RS2",2,"846","","",0,"<=",0.686646,"ohm","<=",20,"P",0.261899,***,"",
2,"CONTINUITY","","CONTINUITY",10250,"",1,1,"VIN6",2,"846","","",-360,"<=",-342.052,"mV","<=",-300,"P",0.261899,***,"",
2,"CONTINUITY","","MOULD_RES",10410,"",1,1,"VIN6",2,"846","","",0,"<=",0.743866,"ohm","<=",20,"P",0.261899,***,"",
2,"CONTINUITY","","CONTINUITY",10100,"",1,1,"VOUT1",2,"846","","",-300,"<=",-224.813,"mV","<=",-200,"P",0.261899,***,"",
2,"CONTINUITY","","MOULD_RES",10260,"",1,1,"VOUT1",2,"846","","",0,"<=",0.724792,"ohm","<=",20,"P",0.261899,***,"",
