Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",1,"846","","",-500,"<=",-368.965,"mV","<=",-300,"P",0.362583,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",1,"846","","",-500,"<=",-423.614,"mV","<=",-300,"P",0.362583,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",1,1,"FCB_PS1600",1,"846","","",-500,"<=",-369.34,"mV","<=",-300,"P",0.362583,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",1,1,"ISEN_PS1600",1,"846","","",-500,"<=",-357.083,"mV","<=",-300,"P",0.362583,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",1,1,"ITRIP_PS1600",1,"846","","",-500,"<=",-370.638,"mV","<=",-300,"P",0.362583,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",1,1,"OFF_PS1600",1,"846","","",-500,"<=",-363.307,"mV","<=",-300,"P",0.362583,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",1,1,"SS_PS1600",1,"846","","",-500,"<=",-451.982,"mV","<=",-300,"P",0.372429,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",1,1,"VBIAS_PS1600",1,"846","","",-500,"<=",-296.601,"mV","<=",-200,"P",0.372429,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",1,1,"GND_PS1600",1,"846","","",-500,"<=",-357.766,"mV","<=",-300,"P",0.372429,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",1,1,"VIN1",1,"846","","",-360,"<=",-342.535,"mV","<=",-300,"P",0.372429,***,"",
1,"CONTINUITY","","MOULD_RES",10340,"",1,1,"VIN1",1,"846","","",0,"<=",0.440809,"ohm","<=",20,"P",0.372429,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",1,1,"VIN2",1,"846","","",-360,"<=",-342.783,"mV","<=",-300,"P",0.372429,***,"",
1,"CONTINUITY","","MOULD_RES",10350,"",1,1,"VIN2",1,"846","","",0,"<=",0.231001,"ohm","<=",20,"P",0.372429,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",1,1,"VIN3",1,"846","","",-360,"<=",-342.663,"mV","<=",-300,"P",0.372429,***,"",
1,"CONTINUITY","","MOULD_RES",10360,"",1,1,"VIN3",1,"846","","",0,"<=",0.491672,"ohm","<=",20,"P",0.372429,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",1,1,"VIN4_RS1",1,"846","","",-360,"<=",-342.48,"mV","<=",-300,"P",0.372429,***,"",
1,"CONTINUITY","","MOULD_RES",10370,"",1,1,"VIN4_RS1",1,"846","","",0,"<=",0.428094,"ohm","<=",20,"P",0.372429,***,"",
1,"CONTINUITY","","CONTINUITY",10220,"",1,1,"VIN4_RS2",1,"846","","",-360,"<=",-342.602,"mV","<=",-300,"P",0.372429,***,"",
