Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
4,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",4,"922","","",-500,"<=",-365.836,"mV","<=",-300,"P",0.269401,***,"",
4,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",4,"922","","",-500,"<=",-424.866,"mV","<=",-300,"P",0.261899,***,"",
4,"CONTINUITY","","CONTINUITY",10050,"",1,1,"FCB_PS1600",4,"922","","",-500,"<=",-366.494,"mV","<=",-300,"P",0.261899,***,"",
4,"CONTINUITY","","CONTINUITY",10090,"",1,1,"ISEN_PS1600",4,"922","","",-500,"<=",-353.668,"mV","<=",-300,"P",0.261899,***,"",
4,"CONTINUITY","","CONTINUITY",10080,"",1,1,"ITRIP_PS1600",4,"922","","",-500,"<=",-366.939,"mV","<=",-300,"P",0.261899,***,"",
4,"CONTINUITY","","CONTINUITY",10040,"",1,1,"OFF_PS1600",4,"922","","",-500,"<=",-360.916,"mV","<=",-300,"P",0.261899,***,"",
4,"CONTINUITY","","CONTINUITY",10010,"",1,1,"SS_PS1600",4,"922","","",-500,"<=",-450.503,"mV","<=",-300,"P",0.261899,***,"",
4,"CONTINUITY","","CONTINUITY",10070,"",1,1,"VBIAS_PS1600",4,"922","","",-500,"<=",-296.487,"mV","<=",-200,"P",0.261899,***,"",
4,"CONTINUITY","","CONTINUITY",10060,"",1,1,"GND_PS1600",4,"922","","",-500,"<=",-343.367,"mV","<=",-300,"P",0.261899,***,"",
4,"CONTINUITY","","CONTINUITY",10180,"",1,1,"VIN1",4,"922","","",-360,"<=",-340.361,"mV","<=",-300,"P",0.261899,***,"",
4,"CONTINUITY","","MOULD_RES",10340,"",1,1,"VIN1",4,"922","","",0,"<=",0.419617,"ohm","<=",20,"P",0.261899,***,"",
4,"CONTINUITY","","CONTINUITY",10190,"",1,1,"VIN2",4,"922","","",-360,"<=",-340.359,"mV","<=",-300,"P",0.261899,***,"",
4,"CONTINUITY","","MOULD_RES",10350,"",1,1,"VIN2",4,"922","","",0,"<=",0.330608,"ohm","<=",20,"P",0.261899,***,"",
4,"CONTINUITY","","CONTINUITY",10200,"",1,1,"VIN3",4,"922","","",-360,"<=",-340.269,"mV","<=",-300,"P",0.261899,***,"",
4,"CONTINUITY","","MOULD_RES",10360,"",1,1,"VIN3",4,"922","","",0,"<=",0.722673,"ohm","<=",20,"P",0.261899,***,"",
4,"CONTINUITY","","CONTINUITY",10210,"",1,1,"VIN4_RS1",4,"922","","",-360,"<=",-340.874,"mV","<=",-300,"P",0.261899,***,"",
