Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Pass#,Fail#,Time,TS Time
"CONTINUITY","CONTINUITY",10030,"Parametric","",-600,-200,"mV",-302.166,-293.803,-297.984,5.91337,2,0,0.832476,***
"CONTINUITY","CONTINUITY",10020,"Parametric","",-600,-200,"mV",-331.672,-323.476,-327.574,5.79532,2,0,0.832476,***
"CONTINUITY","CONTINUITY",10050,"Parametric","",-600,-200,"mV",-301.914,-294.742,-298.328,5.07105,2,0,0.832476,***
"CONTINUITY","CONTINUITY",10090,"Parametric","",-600,-200,"mV",-284.717,-275.838,-280.277,6.27826,2,0,0.832476,***
"CONTINUITY","CONTINUITY",10080,"Parametric","",-600,-200,"mV",-303.669,-295.815,-299.742,5.55386,2,0,0.832476,***
"CONTINUITY","CONTINUITY",10040,"Parametric","",-600,-200,"mV",-295.587,-289.099,-292.343,4.58796,2,0,0.832476,***
"CONTINUITY","CONTINUITY",10010,"Parametric","",-600,-200,"mV",-358.318,-345.227,-351.773,9.25669,2,0,0.832476,***
"CONTINUITY","CONTINUITY",10070,"Parametric","",-600,-150,"mV",-230.704,-221.996,-226.35,6.15753,2,0,0.832476,***
"CONTINUITY","CONTINUITY",10060,"Parametric","",-600,-200,"mV",-319.378,-313.004,-316.191,4.50748,2,0,0.832476,***
"CONTINUITY","CONTINUITY",10180,"Parametric","",-400,-60,"mV",-168.566,-126.041,-147.304,30.0692,2,0,0.832476,***
"CONTINUITY","MOULD_RES",10340,"Parametric","",0,20,"ohm",0.260671,0.370873,0.315772,0.0779247,2,0,0.832476,***
"CONTINUITY","CONTINUITY",10190,"Parametric","",-400,-60,"mV",-168.716,-125.919,-147.318,30.2621,2,0,0.832476,***
"CONTINUITY","MOULD_RES",10350,"Parametric","",0,20,"ohm",0.258551,0.300937,0.279744,0.0299711,2,0,0.832476,***
"CONTINUITY","CONTINUITY",10200,"Parametric","",-400,-60,"mV",-168.659,-125.828,-147.243,30.2864,2,0,0.832476,***
"CONTINUITY","MOULD_RES",10360,"Parametric","",0,20,"ohm",0.171661,0.540416,0.356038,0.260749,2,0,0.832476,***
"CONTINUITY","CONTINUITY",10210,"Parametric","",-400,-60,"mV",-168.879,-125.872,-147.375,30.4105,2,0,0.832476,***
"CONTINUITY","MOULD_RES",10370,"Parametric","",0,20,"ohm",0.366636,0.597637,0.482136,0.163342,2,0,0.832476,***
"CONTINUITY","CONTINUITY",10220,"Parametric","",-400,-60,"mV",-168.539,-126.068,-147.304,30.0315,2,0,0.832476,***
"CONTINUITY","MOULD_RES",10380,"Parametric","",0,20,"ohm",0.218286,0.41114,0.314713,0.136369,2,0,0.832476,***
"CONTINUITY","CONTINUITY",10230,"Parametric","",-400,-60,"mV",-168.848,-126.078,-147.463,30.2432,2,0,0.832476,***
"CONTINUITY","MOULD_RES",10390,"Parametric","",0,20,"ohm",0.273387,0.404781,0.339084,0.0929099,2,0,0.832476,***
