Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",0,1,"EN0_PS1600",1,"1","","",-600,"<=",-400.357,"mV","<=",-300,"P",1.39409,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",0,1,"FAULTB_PS1600",1,"1","","",-600,"<=",-475.042,"mV","<=",-300,"P",1.39409,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",0,1,"FCB_PS1600",1,"1","","",-600,"<=",-401.575,"mV","<=",-300,"P",1.39409,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",0,1,"ISEN_PS1600",1,"1","","",-600,"<=",-389.384,"mV","<=",-300,"P",1.39409,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",0,1,"ITRIP_PS1600",1,"1","","",-600,"<=",-402.133,"mV","<=",-300,"P",1.39409,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",0,1,"OFF_PS1600",1,"1","","",-600,"<=",-398.206,"mV","<=",-300,"P",1.39409,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",0,1,"SS_PS1600",1,"1","","",-600,"<=",-491.333,"mV","<=",-300,"P",1.39409,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",0,1,"VBIAS_PS1600",1,"1","","",-600,"<=",-332.013,"mV","<=",-200,"P",1.39409,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",0,1,"GND_PS1600",1,"1","","",-600,"<=",-374.415,"mV","<=",-300,"P",1.39409,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",0,1,"VIN1",1,"1","","",-400,"<=",-373.796,"mV","<=",-300,"P",1.39409,***,"",
1,"CONTINUITY","","MOULD_RES",10340,"",0,1,"VIN1",1,"1","","",0,"<=",0.606113,"ohm","<=",20,"P",1.39409,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",0,1,"VIN2",1,"1","","",-400,"<=",-373.953,"mV","<=",-300,"P",1.39409,***,"",
1,"CONTINUITY","","MOULD_RES",10350,"",0,1,"VIN2",1,"1","","",0,"<=",0.510746,"ohm","<=",20,"P",1.39409,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",0,1,"VIN3",1,"1","","",-400,"<=",-373.915,"mV","<=",-300,"P",1.39409,***,"",
1,"CONTINUITY","","MOULD_RES",10360,"",0,1,"VIN3",1,"1","","",0,"<=",0.765059,"ohm","<=",20,"P",1.39409,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",0,1,"VIN4_RS1",1,"1","","",-400,"<=",-374.298,"mV","<=",-300,"P",1.39409,***,"",
