Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Pass#,Fail#,Time,TS Time
"CONTINUITY","CONTINUITY",10030,"Parametric","",-600,-300,"mV",-400.357,-400.357,-400.357,0,1,0,1.39409,***
"CONTINUITY","CONTINUITY",10020,"Parametric","",-600,-300,"mV",-475.042,-475.042,-475.042,0,1,0,1.39409,***
"CONTINUITY","CONTINUITY",10050,"Parametric","",-600,-300,"mV",-401.575,-401.575,-401.575,0,1,0,1.39409,***
"CONTINUITY","CONTINUITY",10090,"Parametric","",-600,-300,"mV",-389.384,-389.384,-389.384,0,1,0,1.39409,***
"CONTINUITY","CONTINUITY",10080,"Parametric","",-600,-300,"mV",-402.133,-402.133,-402.133,0,1,0,1.39409,***
"CONTINUITY","CONTINUITY",10040,"Parametric","",-600,-300,"mV",-398.206,-398.206,-398.206,0,1,0,1.39409,***
"CONTINUITY","CONTINUITY",10010,"Parametric","",-600,-300,"mV",-491.333,-491.333,-491.333,0,1,0,1.39409,***
"CONTINUITY","CONTINUITY",10070,"Parametric","",-600,-200,"mV",-332.013,-332.013,-332.013,0,1,0,1.39409,***
"CONTINUITY","CONTINUITY",10060,"Parametric","",-600,-300,"mV",-374.415,-374.415,-374.415,0,1,0,1.39409,***
"CONTINUITY","CONTINUITY",10180,"Parametric","",-400,-300,"mV",-373.796,-373.796,-373.796,0,1,0,1.39409,***
"CONTINUITY","MOULD_RES",10340,"Parametric","",0,20,"ohm",0.606113,0.606113,0.606113,0,1,0,1.39409,***
"CONTINUITY","CONTINUITY",10190,"Parametric","",-400,-300,"mV",-373.953,-373.953,-373.953,0,1,0,1.39409,***
"CONTINUITY","MOULD_RES",10350,"Parametric","",0,20,"ohm",0.510746,0.510746,0.510746,0,1,0,1.39409,***
"CONTINUITY","CONTINUITY",10200,"Parametric","",-400,-300,"mV",-373.915,-373.915,-373.915,0,1,0,1.39409,***
"CONTINUITY","MOULD_RES",10360,"Parametric","",0,20,"ohm",0.765059,0.765059,0.765059,0,1,0,1.39409,***
"CONTINUITY","CONTINUITY",10210,"Parametric","",-400,-300,"mV",-374.298,-374.298,-374.298,0,1,0,1.39409,***
"CONTINUITY","MOULD_RES",10370,"Parametric","",0,20,"ohm",0.46624,0.46624,0.46624,0,1,0,1.39409,***
