Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",1,"1","","",-500,"<=",-373.903,"mV","<=",-300,"P",0.263312,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",1,"1","","",-500,"<=",-430.818,"mV","<=",-300,"P",0.263312,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",1,1,"FCB_PS1600",1,"1","","",-500,"<=",-373.515,"mV","<=",-300,"P",0.263312,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",1,1,"ISEN_PS1600",1,"1","","",-500,"<=",-359.276,"mV","<=",-300,"P",0.263312,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",1,1,"ITRIP_PS1600",1,"1","","",-500,"<=",-374.927,"mV","<=",-300,"P",0.263312,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",1,1,"OFF_PS1600",1,"1","","",-500,"<=",-366.39,"mV","<=",-300,"P",0.263312,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",1,1,"SS_PS1600",1,"1","","",-500,"<=",-481.544,"mV","<=",-300,"P",0.263312,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",1,1,"VBIAS_PS1600",1,"1","","",-500,"<=",-293.652,"mV","<=",-200,"P",0.263312,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",1,1,"GND_PS1600",1,"1","","",-500,"<=",-335.485,"mV","<=",-300,"P",0.263312,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",1,1,"VIN1",1,"1","","",-360,"<=",-337.37,"mV","<=",-300,"P",0.263312,***,"",
1,"CONTINUITY","","MOULD_RES",10340,"",1,1,"VIN1",1,"1","","",0,"<=",0.843471,"ohm","<=",20,"P",0.263312,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",1,1,"VIN2",1,"1","","",-360,"<=",-338.14,"mV","<=",-300,"P",0.263312,***,"",
1,"CONTINUITY","","MOULD_RES",10350,"",1,1,"VIN2",1,"1","","",0,"<=",0.315772,"ohm","<=",20,"P",0.263312,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",1,1,"VIN3",1,"1","","",-360,"<=",-338.274,"mV","<=",-300,"P",0.263312,***,"",
1,"CONTINUITY","","MOULD_RES",10360,"",1,1,"VIN3",1,"1","","",0,"<=",0.239478,"ohm","<=",20,"P",0.263312,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",1,1,"VIN4_RS1",1,"1","","",-360,"<=",-338.276,"mV","<=",-300,"P",0.263312,***,"",
1,"CONTINUITY","","MOULD_RES",10370,"",1,1,"VIN4_RS1",1,"1","","",0,"<=",0.52982,"ohm","<=",20,"P",0.263312,***,"",
1,"CONTINUITY","","CONTINUITY",10220,"",1,1,"VIN4_RS2",1,"1","","",-360,"<=",-338.005,"mV","<=",-300,"P",0.263312,***,"",
1,"CONTINUITY","","MOULD_RES",10380,"",1,1,"VIN4_RS2",1,"1","","",0,"<=",0.131396,"ohm","<=",20,"P",0.263312,***,"",
1,"CONTINUITY","","CONTINUITY",10230,"",1,1,"VIN5_RS1",1,"1","","",-360,"<=",-338.531,"mV","<=",-300,"P",0.263312,***,"",
1,"CONTINUITY","","MOULD_RES",10390,"",1,1,"VIN5_RS1",1,"1","","",0,"<=",0.640021,"ohm","<=",20,"P",0.263312,***,"",
1,"CONTINUITY","","CONTINUITY",10240,"",1,1,"VIN5_RS2",1,"1","","",-360,"<=",-338.106,"mV","<=",-300,"P",0.263312,***,"",
1,"CONTINUITY","","MOULD_RES",10400,"",1,1,"VIN5_RS2",1,"1","","",0,"<=",0.317891,"ohm","<=",20,"P",0.263312,***,"",
1,"CONTINUITY","","CONTINUITY",10250,"",1,1,"VIN6",1,"1","","",-360,"<=",-338.44,"mV","<=",-300,"P",0.263312,***,"",
1,"CONTINUITY","","MOULD_RES",10410,"",1,1,"VIN6",1,"1","","",0,"<=",0.209808,"ohm","<=",20,"P",0.263312,***,"",
1,"CONTINUITY","","CONTINUITY",10100,"",1,1,"VOUT1",1,"1","","",-300,"<=",-223.898,"mV","<=",-200,"P",0.263312,***,"",
1,"CONTINUITY","","MOULD_RES",10260,"",1,1,"VOUT1",1,"1","","",0,"<=",0.542536,"ohm","<=",20,"P",0.263312,***,"",
1,"CONTINUITY","","CONTINUITY",10110,"",1,1,"VOUT2_RS1",1,"1","","",-300,"<=",-224.272,"mV","<=",-200,"P",0.263312,***,"",
1,"CONTINUITY","","MOULD_RES",10270,"",1,1,"VOUT2_RS1",1,"1","","",0,"<=",0.298818,"ohm","<=",20,"P",0.263312,***,"",
1,"CONTINUITY","","CONTINUITY",10120,"",1,1,"VOUT2_RS2",1,"1","","",-300,"<=",-224.161,"mV","<=",-200,"P",0.263312,***,"",
1,"CONTINUITY","","MOULD_RES",10280,"",1,1,"VOUT2_RS2",1,"1","","",0,"<=",0.693003,"ohm","<=",20,"P",0.263312,***,"",
1,"CONTINUITY","","CONTINUITY",10130,"",1,1,"VOUT3_RS1",1,"1","","",-300,"<=",-224.081,"mV","<=",-200,"P",0.263312,***,"",
1,"CONTINUITY","","MOULD_RES",10290,"",1,1,"VOUT3_RS1",1,"1","","",0,"<=",0.544653,"ohm","<=",20,"P",0.263312,***,"",
1,"CONTINUITY","","CONTINUITY",10140,"",1,1,"VOUT3_RS2",1,"1","","",-300,"<=",-224.192,"mV","<=",-200,"P",0.263312,***,"",
1,"CONTINUITY","","MOULD_RES",10300,"",1,1,"VOUT3_RS2",1,"1","","",0,"<=",0.451406,"ohm","<=",20,"P",0.263312,***,"",
1,"CONTINUITY","","CONTINUITY",10150,"",1,1,"VOUT4",1,"1","","",-300,"<=",-224.11,"mV","<=",-200,"P",0.263312,***,"",
1,"CONTINUITY","","MOULD_RES",10310,"",1,1,"VOUT4",1,"1","","",0,"<=",0.58704,"ohm","<=",20,"P",0.263312,***,"",
1,"CONTINUITY","","CONTINUITY",10160,"",1,1,"VOUT5",1,"1","","",-300,"<=",-223.253,"mV","<=",-200,"P",0.263312,***,"",
1,"CONTINUITY","","MOULD_RES",10320,"",1,1,"VOUT5",1,"1","","",0,"<=",4.55009,"ohm","<=",20,"P",0.263312,***,"",
1,"CONTINUITY","","CONTINUITY",10170,"",1,1,"VOUT6",1,"1","","",-300,"<=",-224.665,"mV","<=",-200,"P",0.263312,***,"",
1,"CONTINUITY","","MOULD_RES",10330,"",1,1,"VOUT6",1,"1","","",0,"<=",0.559489,"ohm","<=",20,"P",0.263312,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"",1,1,"FAULTB_PS1600",1,"1","","",-200,"<=",-157.777,"nA","<=",200,"P",0.417695,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20110,"",1,1,"FAULTB_PS1600",1,"1","","",-200,"<=",-157.777,"nA","<=",200,"P",0.417695,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20020,"",1,1,"ITRIP_PS1600",1,"1","","",-200,"<=",-71.1663,"nA","<=",200,"P",0.417695,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20120,"",1,1,"ITRIP_PS1600",1,"1","","",-200,"<=",-71.1663,"nA","<=",200,"P",0.417695,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20030,"",1,1,"OFF_PS1600",1,"1","","",-200,"<=",-83.9941,"nA","<=",200,"P",0.417695,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20130,"",1,1,"OFF_PS1600",1,"1","","",-200,"<=",-83.9941,"nA","<=",200,"P",0.417695,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20040,"",1,1,"SS_PS1600",1,"1","","",-200,"<=",-121.015,"nA","<=",200,"P",0.417695,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20140,"",1,1,"SS_PS1600",1,"1","","",-200,"<=",-121.015,"nA","<=",200,"P",0.417695,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20050,"",1,1,"VIN1",1,"1","","",10,"<=",301.981,"nA","<=",500,"P",0.417695,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20150,"",1,1,"VIN1",1,"1","","",-500,"<=",-300.101,"nA","<=",-10,"P",0.417695,***,"",
