Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",1,"112","","",-600,"<=",-302.166,"mV","<=",-200,"P",0.832476,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",1,"112","","",-600,"<=",-331.672,"mV","<=",-200,"P",0.832476,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",1,1,"FCB_PS1600",1,"112","","",-600,"<=",-301.914,"mV","<=",-200,"P",0.832476,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",1,1,"ISEN_PS1600",1,"112","","",-600,"<=",-284.717,"mV","<=",-200,"P",0.832476,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",1,1,"ITRIP_PS1600",1,"112","","",-600,"<=",-303.669,"mV","<=",-200,"P",0.832476,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",1,1,"OFF_PS1600",1,"112","","",-600,"<=",-295.587,"mV","<=",-200,"P",0.832476,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",1,1,"SS_PS1600",1,"112","","",-600,"<=",-358.318,"mV","<=",-200,"P",0.832476,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",1,1,"VBIAS_PS1600",1,"112","","",-600,"<=",-221.996,"mV","<=",-150,"P",0.832476,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",1,1,"GND_PS1600",1,"112","","",-600,"<=",-313.004,"mV","<=",-200,"P",0.832476,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",1,1,"VIN1",1,"112","","",-400,"<=",-126.041,"mV","<=",-60,"P",0.832476,***,"",
1,"CONTINUITY","","MOULD_RES",10340,"",1,1,"VIN1",1,"112","","",0,"<=",0.370873,"ohm","<=",20,"P",0.832476,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",1,1,"VIN2",1,"112","","",-400,"<=",-125.919,"mV","<=",-60,"P",0.832476,***,"",
1,"CONTINUITY","","MOULD_RES",10350,"",1,1,"VIN2",1,"112","","",0,"<=",0.258551,"ohm","<=",20,"P",0.832476,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",1,1,"VIN3",1,"112","","",-400,"<=",-125.828,"mV","<=",-60,"P",0.832476,***,"",
1,"CONTINUITY","","MOULD_RES",10360,"",1,1,"VIN3",1,"112","","",0,"<=",0.540416,"ohm","<=",20,"P",0.832476,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",1,1,"VIN4_RS1",1,"112","","",-400,"<=",-125.872,"mV","<=",-60,"P",0.832476,***,"",
1,"CONTINUITY","","MOULD_RES",10370,"",1,1,"VIN4_RS1",1,"112","","",0,"<=",0.366636,"ohm","<=",20,"P",0.832476,***,"",
1,"CONTINUITY","","CONTINUITY",10220,"",1,1,"VIN4_RS2",1,"112","","",-400,"<=",-126.068,"mV","<=",-60,"P",0.832476,***,"",
1,"CONTINUITY","","MOULD_RES",10380,"",1,1,"VIN4_RS2",1,"112","","",0,"<=",0.41114,"ohm","<=",20,"P",0.832476,***,"",
1,"CONTINUITY","","CONTINUITY",10230,"",1,1,"VIN5_RS1",1,"112","","",-400,"<=",-126.078,"mV","<=",-60,"P",0.832476,***,"",
1,"CONTINUITY","","MOULD_RES",10390,"",1,1,"VIN5_RS1",1,"112","","",0,"<=",0.273387,"ohm","<=",20,"P",0.832476,***,"",
1,"CONTINUITY","","CONTINUITY",10240,"",1,1,"VIN5_RS2",1,"112","","",-400,"<=",-125.759,"mV","<=",-60,"P",0.832476,***,"",
1,"CONTINUITY","","MOULD_RES",10400,"",1,1,"VIN5_RS2",1,"112","","",0,"<=",0.0445056,"ohm","<=",20,"P",0.832476,***,"",
1,"CONTINUITY","","CONTINUITY",10250,"",1,1,"VIN6",1,"112","","",-400,"<=",-125.793,"mV","<=",-60,"P",0.832476,***,"",
1,"CONTINUITY","","MOULD_RES",10410,"",1,1,"VIN6",1,"112","","",0,"<=",0.0529811,"ohm","<=",20,"P",0.832476,***,"",
1,"CONTINUITY","","CONTINUITY",10100,"",1,1,"VOUT1",1,"112","","",-300,"<=",-82.9563,"mV","<=",-30,"P",0.832476,***,"",
1,"CONTINUITY","","MOULD_RES",10260,"",1,1,"VOUT1",1,"112","","",0,"<=",0.633663,"ohm","<=",20,"P",0.832476,***,"",
1,"CONTINUITY","","CONTINUITY",10110,"",1,1,"VOUT2_RS1",1,"112","","",-300,"<=",-82.7847,"mV","<=",-30,"P",0.832476,***,"",
1,"CONTINUITY","","MOULD_RES",10270,"",1,1,"VOUT2_RS1",1,"112","","",0,"<=",0.199212,"ohm","<=",20,"P",0.832476,***,"",
1,"CONTINUITY","","CONTINUITY",10120,"",1,1,"VOUT2_RS2",1,"112","","",-300,"<=",-82.9411,"mV","<=",-30,"P",0.832476,***,"",
1,"CONTINUITY","","MOULD_RES",10280,"",1,1,"VOUT2_RS2",1,"112","","",0,"<=",0.05934,"ohm","<=",20,"P",0.832476,***,"",
1,"CONTINUITY","","CONTINUITY",10130,"",1,1,"VOUT3_RS1",1,"112","","",-300,"<=",-83.0727,"mV","<=",-30,"P",0.832476,***,"",
1,"CONTINUITY","","MOULD_RES",10290,"",1,1,"VOUT3_RS1",1,"112","","",0,"<=",0.203451,"ohm","<=",20,"P",0.832476,***,"",
1,"CONTINUITY","","CONTINUITY",10140,"",1,1,"VOUT3_RS2",1,"112","","",-300,"<=",-83.1547,"mV","<=",-30,"P",0.832476,***,"",
1,"CONTINUITY","","MOULD_RES",10300,"",1,1,"VOUT3_RS2",1,"112","","",0,"<=",0.00635778,"ohm","<=",20,"P",0.832476,***,"",
1,"CONTINUITY","","CONTINUITY",10150,"",1,1,"VOUT4",1,"112","","",-300,"<=",-82.8056,"mV","<=",-30,"P",0.832476,***,"",
1,"CONTINUITY","","MOULD_RES",10310,"",1,1,"VOUT4",1,"112","","",0,"<=",0.273387,"ohm","<=",20,"P",0.832476,***,"",
1,"CONTINUITY","","CONTINUITY",10160,"",1,1,"VOUT5",1,"112","","",-300,"<=",-82.9086,"mV","<=",-30,"P",0.832476,***,"",
1,"CONTINUITY","","MOULD_RES",10320,"",1,1,"VOUT5",1,"112","","",0,"<=",0.743866,"ohm","<=",20,"P",0.832476,***,"",
1,"CONTINUITY","","CONTINUITY",10170,"",1,1,"VOUT6",1,"112","","",-300,"<=",-83.0975,"mV","<=",-30,"P",0.832476,***,"",
1,"CONTINUITY","","MOULD_RES",10330,"",1,1,"VOUT6",1,"112","","",0,"<=",0.105964,"ohm","<=",20,"P",0.832476,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"",1,1,"FAULTB_PS1600",1,"112","","",-1500,"<=",-231.662,"nA","<=",200,"P",0.505406,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20110,"",1,1,"FAULTB_PS1600",1,"112","","",-1500,"<=",-231.662,"nA","<=",200,"P",0.505406,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20020,"",1,1,"ITRIP_PS1600",1,"112","","",-1500,"<=",-289.697,"nA","<=",200,"P",0.505406,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20120,"",1,1,"ITRIP_PS1600",1,"112","","",-1500,"<=",-289.697,"nA","<=",200,"P",0.505406,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20030,"",1,1,"OFF_PS1600",1,"112","","",-1500,"<=",-352.116,"nA","<=",200,"P",0.505406,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20130,"",1,1,"OFF_PS1600",1,"112","","",-1500,"<=",-352.116,"nA","<=",200,"P",0.505406,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20040,"",1,1,"SS_PS1600",1,"112","","",-1500,"<=",-340.483,"nA","<=",200,"P",0.505406,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20140,"",1,1,"SS_PS1600",1,"112","","",-1500,"<=",-340.483,"nA","<=",200,"P",0.505406,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20050,"",1,1,"VIN1",1,"112","","",-1500,"<=",302.112,"nA","<=",500,"P",0.505406,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20150,"",1,1,"VIN1",1,"112","","",-1500,"<=",-298.656,"nA","<=",-10,"P",0.505406,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20060,"",1,1,"VOUT1",1,"112","","",-1500,"<=",299.46,"nA","<=",500,"P",0.505406,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20160,"",1,1,"VOUT1",1,"112","","",-1500,"<=",-300.799,"nA","<=",-10,"P",0.505406,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20070,"",1,1,"EN0_PS1600",1,"112","","",-1500,"<=",562.134,"nA","<=",700,"P",0.505406,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20170,"",1,1,"EN0_PS1600",1,"112","","",-1500,"<=",-775.008,"nA","<=",-300,"P",0.505406,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20080,"",1,1,"FCB_PS1600",1,"112","","",-1500,"<=",10.3669,"nA","<=",200,"P",0.505406,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20180,"",1,1,"FCB_PS1600",1,"112","","",-1500,"<=",-216.069,"nA","<=",200,"P",0.505406,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20090,"",1,1,"ISEN_PS1600",1,"112","","",-1500,"<=",68.5491,"nA","<=",250,"P",0.505406,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20190,"",1,1,"ISEN_PS1600",1,"112","","",-1500,"<=",-377.653,"nA","<=",200,"P",0.505406,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN_VBIAS_PS1600",20100,"",1,1,"VBIAS_PS1600",1,"112","","",0.5,"<=",10.738,"uA","<=",30,"P",0.505406,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN_VBIAS_PS1600",20200,"",1,1,"VBIAS_PS1600",1,"112","","",-30,"<=",-12.028,"uA","<=",-0.5,"P",0.505406,***,"",
1,"IVDDFL_IVINFL_RONFL","","RON_200mAVDD_5_VIN_5_20V_Part",90050,"",1,1,"VIN1",1,"112","","",0.01,"<=",0.0302613,"ohm","<=",0.034,"P",0.21256,***,"",
1,"IVDDFL_IVINFL_RONFL","","DEVICE_VARIENT_TRUE",90060,"",1,1,"VIN1",1,"112","","",0.5,"<=",1,"","<=",1.5,"P",0.21256,***,"",
1,"RON_DIFF_LOAD_CURRENT","","RON_200mA_VDD5",650100,"",1,1,"VIN3",1,"112","","",0.01,"<=",0.0301218,"ohm","<=",0.034,"P",0.233898,***,"",
1,"RON_DIFF_LOAD_CURRENT","","RON_500mA_VDD5",650110,"",1,1,"VIN3",1,"112","","",0.01,"<=",0.0303631,"ohm","<=",0.034,"P",0.233898,***,"",
1,"RON_DIFF_LOAD_CURRENT","","RON_FL_VDD5",650120,"",1,1,"VIN3",1,"112","","",0.01,"<=",0.0296764,"ohm","<=",0.034,"P",0.233898,***,"",
1,"Fuse_Burn_Check","","BANKA_BIT5_BLOWN_TRUE",1000001,"",1,1,"OFF_PS1600",1,"112","","",0,"<=",1,"","<=",1,"P",0.297967,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","EN_FCB_LOW_VOUT_LOW",30010,"",1,1,"VOUT4",1,"112","","",-0.3,"<=",0.000108719,"V","<=",1,"P",0.493951,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","EN_FCB_LOW_OFF_HIGH",30020,"",1,1,"OFF_PS1600",1,"112","","",1.6,"<=",1.74084,"V","<=",2.3,"P",0.493951,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","FCB_LOW_VOUT_LOW",30030,"",1,1,"VOUT4",1,"112","","",-0.2,"<=",-0.000146866,"V","<=",0.5,"P",0.493951,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","FCB_LOW_OFF_HIGH",30040,"",1,1,"OFF_PS1600",1,"112","","",1.6,"<=",1.74169,"V","<=",2.3,"P",0.493951,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","EN_LOW_VOUT_LOW",30050,"",1,1,"VOUT4",1,"112","","",-0.3,"<=",3.815e-06,"V","<=",0.5,"P",0.493951,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","EN_LOW_OFF_HIGH",30060,"",1,1,"OFF_PS1600",1,"112","","",1.6,"<=",1.74073,"V","<=",2.3,"P",0.493951,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","EN_FCB_HIGH_VOUT_HIGH",30070,"",1,1,"VOUT4",1,"112","","",4.85,"<=",5.00107,"V","<=",5.1,"P",0.493951,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","EN_FCB_HIGH_OFF_LOW",30080,"",1,1,"OFF_PS1600",1,"112","","",-0.001,"<=",0.000771,"V","<=",0.5,"P",0.493951,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","FAULT_SET_VOUT_LOW",30090,"",1,1,"VOUT4",1,"112","","",-0.001,"<=",0.00053215,"V","<=",0.5,"P",0.493951,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","FAULT_SET_OFF_HIGH",30100,"",1,1,"OFF_PS1600",1,"112","","",1.6,"<=",1.78927,"V","<=",2.3,"P",0.493951,***,"",
