Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",1,"833","","",-600,"<=",-287.318,"mV","<=",-200,"P",0.839202,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",1,"833","","",-600,"<=",-316.248,"mV","<=",-200,"P",0.839202,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",1,1,"FCB_PS1600",1,"833","","",-600,"<=",-288.424,"mV","<=",-200,"P",0.839202,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",1,1,"ISEN_PS1600",1,"833","","",-600,"<=",-269.179,"mV","<=",-200,"P",0.839202,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",1,1,"ITRIP_PS1600",1,"833","","",-600,"<=",-289.497,"mV","<=",-200,"P",0.839202,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",1,1,"OFF_PS1600",1,"833","","",-600,"<=",-282.668,"mV","<=",-200,"P",0.839202,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",1,1,"SS_PS1600",1,"833","","",-600,"<=",-335.779,"mV","<=",-200,"P",0.839202,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",1,1,"VBIAS_PS1600",1,"833","","",-600,"<=",-222.565,"mV","<=",-150,"P",0.839202,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",1,1,"GND_PS1600",1,"833","","",-600,"<=",-314.028,"mV","<=",-200,"P",0.839202,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",1,1,"VIN1",1,"833","","",-400,"<=",-130.575,"mV","<=",-60,"P",0.839202,***,"",
1,"CONTINUITY","","MOULD_RES",10340,"",1,1,"VIN1",1,"833","","",0,"<=",0.237359,"ohm","<=",20,"P",0.839202,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",1,1,"VIN2",1,"833","","",-400,"<=",-130.495,"mV","<=",-60,"P",0.839202,***,"",
1,"CONTINUITY","","MOULD_RES",10350,"",1,1,"VIN2",1,"833","","",0,"<=",0.118679,"ohm","<=",20,"P",0.839202,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",1,1,"VIN3",1,"833","","",-400,"<=",-130.257,"mV","<=",-60,"P",0.839202,***,"",
1,"CONTINUITY","","MOULD_RES",10360,"",1,1,"VIN3",1,"833","","",0,"<=",0.207689,"ohm","<=",20,"P",0.839202,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",1,1,"VIN4_RS1",1,"833","","",-400,"<=",-130.48,"mV","<=",-60,"P",0.839202,***,"",
1,"CONTINUITY","","MOULD_RES",10370,"",1,1,"VIN4_RS1",1,"833","","",0,"<=",0.370873,"ohm","<=",20,"P",0.839202,***,"",
1,"CONTINUITY","","CONTINUITY",10220,"",1,1,"VIN4_RS2",1,"833","","",-400,"<=",-130.497,"mV","<=",-60,"P",0.839202,***,"",
1,"CONTINUITY","","MOULD_RES",10380,"",1,1,"VIN4_RS2",1,"833","","",0,"<=",0.389947,"ohm","<=",20,"P",0.839202,***,"",
1,"CONTINUITY","","CONTINUITY",10230,"",1,1,"VIN5_RS1",1,"833","","",-400,"<=",-130.713,"mV","<=",-60,"P",0.839202,***,"",
1,"CONTINUITY","","MOULD_RES",10390,"",1,1,"VIN5_RS1",1,"833","","",0,"<=",0.64426,"ohm","<=",20,"P",0.839202,***,"",
1,"CONTINUITY","","CONTINUITY",10240,"",1,1,"VIN5_RS2",1,"833","","",-400,"<=",-130.304,"mV","<=",-60,"P",0.839202,***,"",
1,"CONTINUITY","","MOULD_RES",10400,"",1,1,"VIN5_RS2",1,"833","","",0,"<=",0.470479,"ohm","<=",20,"P",0.839202,***,"",
1,"CONTINUITY","","CONTINUITY",10250,"",1,1,"VIN6",1,"833","","",-400,"<=",-130.352,"mV","<=",-60,"P",0.839202,***,"",
1,"CONTINUITY","","MOULD_RES",10410,"",1,1,"VIN6",1,"833","","",0,"<=",0.474718,"ohm","<=",20,"P",0.839202,***,"",
1,"CONTINUITY","","CONTINUITY",10100,"",1,1,"VOUT1",1,"833","","",-300,"<=",-80.8697,"mV","<=",-30,"P",0.839202,***,"",
1,"CONTINUITY","","MOULD_RES",10260,"",1,1,"VOUT1",1,"833","","",0,"<=",0.421736,"ohm","<=",20,"P",0.839202,***,"",
1,"CONTINUITY","","CONTINUITY",10110,"",1,1,"VOUT2_RS1",1,"833","","",-300,"<=",-80.9555,"mV","<=",-30,"P",0.839202,***,"",
1,"CONTINUITY","","MOULD_RES",10270,"",1,1,"VOUT2_RS1",1,"833","","",0,"<=",0.0487433,"ohm","<=",20,"P",0.839202,***,"",
1,"CONTINUITY","","CONTINUITY",10120,"",1,1,"VOUT2_RS2",1,"833","","",-300,"<=",-80.9975,"mV","<=",-30,"P",0.839202,***,"",
1,"CONTINUITY","","MOULD_RES",10280,"",1,1,"VOUT2_RS2",1,"833","","",0,"<=",0.0169544,"ohm","<=",20,"P",0.839202,***,"",
1,"CONTINUITY","","CONTINUITY",10130,"",1,1,"VOUT3_RS1",1,"833","","",-300,"<=",-80.9364,"mV","<=",-30,"P",0.839202,***,"",
1,"CONTINUITY","","MOULD_RES",10290,"",1,1,"VOUT3_RS1",1,"833","","",0,"<=",0.20345,"ohm","<=",20,"P",0.839202,***,"",
1,"CONTINUITY","","CONTINUITY",10140,"",1,1,"VOUT3_RS2",1,"833","","",-300,"<=",-80.9612,"mV","<=",-30,"P",0.839202,***,"",
1,"CONTINUITY","","MOULD_RES",10300,"",1,1,"VOUT3_RS2",1,"833","","",0,"<=",0.161064,"ohm","<=",20,"P",0.839202,***,"",
1,"CONTINUITY","","CONTINUITY",10150,"",1,1,"VOUT4",1,"833","","",-300,"<=",-80.8411,"mV","<=",-30,"P",0.839202,***,"",
1,"CONTINUITY","","MOULD_RES",10310,"",1,1,"VOUT4",1,"833","","",0,"<=",0.383589,"ohm","<=",20,"P",0.839202,***,"",
1,"CONTINUITY","","CONTINUITY",10160,"",1,1,"VOUT5",1,"833","","",-300,"<=",-80.7362,"mV","<=",-30,"P",0.839202,***,"",
1,"CONTINUITY","","MOULD_RES",10320,"",1,1,"VOUT5",1,"833","","",0,"<=",0.32425,"ohm","<=",20,"P",0.839202,***,"",
1,"CONTINUITY","","CONTINUITY",10170,"",1,1,"VOUT6",1,"833","","",-300,"<=",-80.9002,"mV","<=",-30,"P",0.839202,***,"",
1,"CONTINUITY","","MOULD_RES",10330,"",1,1,"VOUT6",1,"833","","",0,"<=",0.0678167,"ohm","<=",20,"P",0.839202,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"",1,1,"FAULTB_PS1600",1,"833","","",-1500,"<=",-333.578,"nA","<=",200,"P",0.50909,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20110,"",1,1,"FAULTB_PS1600",1,"833","","",-1500,"<=",-333.578,"nA","<=",200,"P",0.50909,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20020,"",1,1,"ITRIP_PS1600",1,"833","","",-1500,"<=",-374.588,"nA","<=",200,"P",0.50909,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20120,"",1,1,"ITRIP_PS1600",1,"833","","",-1500,"<=",-374.588,"nA","<=",200,"P",0.50909,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20030,"",1,1,"OFF_PS1600",1,"833","","",-1500,"<=",-494.135,"nA","<=",200,"P",0.50909,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20130,"",1,1,"OFF_PS1600",1,"833","","",-1500,"<=",-494.135,"nA","<=",200,"P",0.50909,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20040,"",1,1,"SS_PS1600",1,"833","","",-1500,"<=",-424.858,"nA","<=",200,"P",0.50909,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20140,"",1,1,"SS_PS1600",1,"833","","",-1500,"<=",-424.858,"nA","<=",200,"P",0.50909,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20050,"",1,1,"VIN1",1,"833","","",-1500,"<=",293.559,"nA","<=",500,"P",0.50909,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20150,"",1,1,"VIN1",1,"833","","",-1500,"<=",-299.638,"nA","<=",-10,"P",0.50909,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20060,"",1,1,"VOUT1",1,"833","","",-1500,"<=",301.628,"nA","<=",500,"P",0.50909,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20160,"",1,1,"VOUT1",1,"833","","",-1500,"<=",-300.683,"nA","<=",-10,"P",0.50909,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20070,"",1,1,"EN0_PS1600",1,"833","","",-1500,"<=",532.821,"nA","<=",700,"P",0.50909,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20170,"",1,1,"EN0_PS1600",1,"833","","",-1500,"<=",-833.224,"nA","<=",-300,"P",0.50909,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20080,"",1,1,"FCB_PS1600",1,"833","","",-1500,"<=",22.5783,"nA","<=",200,"P",0.50909,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20180,"",1,1,"FCB_PS1600",1,"833","","",-1500,"<=",-307.476,"nA","<=",200,"P",0.50909,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20090,"",1,1,"ISEN_PS1600",1,"833","","",-1500,"<=",82.565,"nA","<=",250,"P",0.50909,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20190,"",1,1,"ISEN_PS1600",1,"833","","",-1500,"<=",-562.11,"nA","<=",200,"P",0.50909,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN_VBIAS_PS1600",20100,"",1,1,"VBIAS_PS1600",1,"833","","",0.5,"<=",9.53,"uA","<=",30,"P",0.50909,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN_VBIAS_PS1600",20200,"",1,1,"VBIAS_PS1600",1,"833","","",-30,"<=",-11.273,"uA","<=",-0.5,"P",0.50909,***,"",
1,"IVDDFL_IVINFL_RONFL","","RON_200mAVDD_5_VIN_5_20V_Part",90050,"",1,1,"VIN1",1,"833","","",0.01,"<=",0.0303706,"ohm","<=",0.034,"P",0.214219,***,"",
1,"IVDDFL_IVINFL_RONFL","","DEVICE_VARIENT_TRUE",90060,"",1,1,"VIN1",1,"833","","",0.5,"<=",1,"","<=",1.5,"P",0.214219,***,"",
1,"RON_DIFF_LOAD_CURRENT","","RON_200mA_VDD5",650100,"",1,1,"VIN3",1,"833","","",0.01,"<=",0.030694,"ohm","<=",0.034,"P",0.232057,***,"",
1,"RON_DIFF_LOAD_CURRENT","","RON_500mA_VDD5",650110,"",1,1,"VIN3",1,"833","","",0.01,"<=",0.0303717,"ohm","<=",0.034,"P",0.232057,***,"",
1,"RON_DIFF_LOAD_CURRENT","","RON_FL_VDD5",650120,"",1,1,"VIN3",1,"833","","",0.01,"<=",0.029858,"ohm","<=",0.034,"P",0.232057,***,"",
1,"Fuse_Burn_Check","","BANKA_BIT5_BLOWN_TRUE",1000001,"",1,1,"OFF_PS1600",1,"833","","",0,"<=",1,"","<=",1,"P",0.317326,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","EN_FCB_LOW_VOUT_LOW",30010,"",1,1,"VOUT4",1,"833","","",-0.3,"<=",0.000190735,"V","<=",1,"P",0.495404,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","EN_FCB_LOW_OFF_HIGH",30020,"",1,1,"OFF_PS1600",1,"833","","",1.6,"<=",1.72052,"V","<=",2.3,"P",0.495404,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","FCB_LOW_VOUT_LOW",30030,"",1,1,"VOUT4",1,"833","","",-0.2,"<=",-2.4796e-05,"V","<=",0.5,"P",0.495404,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","FCB_LOW_OFF_HIGH",30040,"",1,1,"OFF_PS1600",1,"833","","",1.6,"<=",1.72143,"V","<=",2.3,"P",0.495404,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","EN_LOW_VOUT_LOW",30050,"",1,1,"VOUT4",1,"833","","",-0.3,"<=",9.1553e-05,"V","<=",0.5,"P",0.495404,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","EN_LOW_OFF_HIGH",30060,"",1,1,"OFF_PS1600",1,"833","","",1.6,"<=",1.72052,"V","<=",2.3,"P",0.495404,***,"",
