Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",1,"092","","",-500,"<=",-370.945,"mV","<=",-300,"P",1.42745,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",1,"092","","",-500,"<=",-427.176,"mV","<=",-300,"P",1.42745,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",1,1,"FCB_PS1600",1,"092","","",-500,"<=",-371.125,"mV","<=",-300,"P",1.42745,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",1,1,"ISEN_PS1600",1,"092","","",-500,"<=",-357.967,"mV","<=",-300,"P",1.42745,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",1,1,"ITRIP_PS1600",1,"092","","",-500,"<=",-372.935,"mV","<=",-300,"P",1.42745,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",1,1,"OFF_PS1600",1,"092","","",-500,"<=",-364.057,"mV","<=",-300,"P",1.42745,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",1,1,"SS_PS1600",1,"092","","",-500,"<=",-450.922,"mV","<=",-300,"P",1.42745,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",1,1,"VBIAS_PS1600",1,"092","","",-500,"<=",-293.709,"mV","<=",-200,"P",1.42745,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",1,1,"GND_PS1600",1,"092","","",-500,"<=",-360.926,"mV","<=",-300,"P",1.42745,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",1,1,"VIN1",1,"092","","",-360,"<=",-342.989,"mV","<=",-300,"P",1.42745,***,"",
1,"CONTINUITY","","MOULD_RES",10340,"",1,1,"VIN1",1,"092","","",0,"<=",0.197092,"ohm","<=",20,"P",1.42745,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",1,1,"VIN2",1,"092","","",-360,"<=",-343.258,"mV","<=",-300,"P",1.42745,***,"",
1,"CONTINUITY","","MOULD_RES",10350,"",1,1,"VIN2",1,"092","","",0,"<=",0.256433,"ohm","<=",20,"P",1.42745,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",1,1,"VIN3",1,"092","","",-360,"<=",-343.107,"mV","<=",-300,"P",1.42745,***,"",
1,"CONTINUITY","","MOULD_RES",10360,"",1,1,"VIN3",1,"092","","",0,"<=",0.73115,"ohm","<=",20,"P",1.42745,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",1,1,"VIN4_RS1",1,"092","","",-360,"<=",-343.397,"mV","<=",-300,"P",1.42745,***,"",
1,"CONTINUITY","","MOULD_RES",10370,"",1,1,"VIN4_RS1",1,"092","","",0,"<=",0.491671,"ohm","<=",20,"P",1.42745,***,"",
1,"CONTINUITY","","CONTINUITY",10220,"",1,1,"VIN4_RS2",1,"092","","",-360,"<=",-343.029,"mV","<=",-300,"P",1.42745,***,"",
1,"CONTINUITY","","MOULD_RES",10380,"",1,1,"VIN4_RS2",1,"092","","",0,"<=",0.383589,"ohm","<=",20,"P",1.42745,***,"",
1,"CONTINUITY","","CONTINUITY",10230,"",1,1,"VIN5_RS1",1,"092","","",-360,"<=",-343.184,"mV","<=",-300,"P",1.42745,***,"",
1,"CONTINUITY","","MOULD_RES",10390,"",1,1,"VIN5_RS1",1,"092","","",0,"<=",0.368754,"ohm","<=",20,"P",1.42745,***,"",
1,"CONTINUITY","","CONTINUITY",10240,"",1,1,"VIN5_RS2",1,"092","","",-360,"<=",-343.269,"mV","<=",-300,"P",1.42745,***,"",
1,"CONTINUITY","","MOULD_RES",10400,"",1,1,"VIN5_RS2",1,"092","","",0,"<=",0.779893,"ohm","<=",20,"P",1.42745,***,"",
1,"CONTINUITY","","CONTINUITY",10250,"",1,1,"VIN6",1,"092","","",-360,"<=",-343.161,"mV","<=",-300,"P",1.42745,***,"",
1,"CONTINUITY","","MOULD_RES",10410,"",1,1,"VIN6",1,"092","","",0,"<=",0.455644,"ohm","<=",20,"P",1.42745,***,"",
1,"CONTINUITY","","CONTINUITY",10100,"",1,1,"VOUT1",1,"092","","",-300,"<=",-226.011,"mV","<=",-200,"P",1.42745,***,"",
1,"CONTINUITY","","MOULD_RES",10260,"",1,1,"VOUT1",1,"092","","",0,"<=",0.695122,"ohm","<=",20,"P",1.42745,***,"",
1,"CONTINUITY","","CONTINUITY",10110,"",1,1,"VOUT2_RS1",1,"092","","",-300,"<=",-225.618,"mV","<=",-200,"P",1.42745,***,"",
1,"CONTINUITY","","MOULD_RES",10270,"",1,1,"VOUT2_RS1",1,"092","","",0,"<=",0.146231,"ohm","<=",20,"P",1.42745,***,"",
1,"CONTINUITY","","CONTINUITY",10120,"",1,1,"VOUT2_RS2",1,"092","","",-300,"<=",-225.729,"mV","<=",-200,"P",1.42745,***,"",
1,"CONTINUITY","","MOULD_RES",10280,"",1,1,"VOUT2_RS2",1,"092","","",0,"<=",0.0656978,"ohm","<=",20,"P",1.42745,***,"",
1,"CONTINUITY","","CONTINUITY",10130,"",1,1,"VOUT3_RS1",1,"092","","",-300,"<=",-225.721,"mV","<=",-200,"P",1.42745,***,"",
1,"CONTINUITY","","MOULD_RES",10290,"",1,1,"VOUT3_RS1",1,"092","","",0,"<=",0.540416,"ohm","<=",20,"P",1.42745,***,"",
1,"CONTINUITY","","CONTINUITY",10140,"",1,1,"VOUT3_RS2",1,"092","","",-300,"<=",-225.992,"mV","<=",-200,"P",1.42745,***,"",
1,"CONTINUITY","","MOULD_RES",10300,"",1,1,"VOUT3_RS2",1,"092","","",0,"<=",1.12322,"ohm","<=",20,"P",1.42745,***,"",
1,"CONTINUITY","","CONTINUITY",10150,"",1,1,"VOUT4",1,"092","","",-300,"<=",-225.471,"mV","<=",-200,"P",1.42745,***,"",
1,"CONTINUITY","","MOULD_RES",10310,"",1,1,"VOUT4",1,"092","","",0,"<=",0.445049,"ohm","<=",20,"P",1.42745,***,"",
1,"CONTINUITY","","CONTINUITY",10160,"",1,1,"VOUT5",1,"092","","",-300,"<=",-225.555,"mV","<=",-200,"P",1.42745,***,"",
1,"CONTINUITY","","MOULD_RES",10320,"",1,1,"VOUT5",1,"092","","",0,"<=",0.667572,"ohm","<=",20,"P",1.42745,***,"",
1,"CONTINUITY","","CONTINUITY",10170,"",1,1,"VOUT6",1,"092","","",-300,"<=",-225.874,"mV","<=",-200,"P",1.42745,***,"",
1,"CONTINUITY","","MOULD_RES",10330,"",1,1,"VOUT6",1,"092","","",0,"<=",0.578562,"ohm","<=",20,"P",1.42745,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"",1,1,"FAULTB_PS1600",1,"092","","",-200,"<=",-5.23308,"nA","<=",200,"P",1.0609,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20110,"",1,1,"FAULTB_PS1600",1,"092","","",-200,"<=",-5.23308,"nA","<=",200,"P",1.0609,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20020,"",1,1,"ITRIP_PS1600",1,"092","","",-200,"<=",-9.30275,"nA","<=",200,"P",1.0609,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20120,"",1,1,"ITRIP_PS1600",1,"092","","",-200,"<=",-9.30275,"nA","<=",200,"P",1.0609,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20030,"",1,1,"OFF_PS1600",1,"092","","",-200,"<=",-7.38042,"nA","<=",200,"P",1.0609,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20130,"",1,1,"OFF_PS1600",1,"092","","",-200,"<=",-7.38042,"nA","<=",200,"P",1.0609,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20040,"",1,1,"SS_PS1600",1,"092","","",-200,"<=",-9.8774,"nA","<=",200,"P",1.0609,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20140,"",1,1,"SS_PS1600",1,"092","","",-200,"<=",-9.8774,"nA","<=",200,"P",1.0609,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20050,"",1,1,"VIN1",1,"092","","",10,"<=",297.339,"nA","<=",500,"P",1.0609,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20150,"",1,1,"VIN1",1,"092","","",-500,"<=",-296.299,"nA","<=",-10,"P",1.0609,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20060,"",1,1,"VOUT1",1,"092","","",10,"<=",302.221,"nA","<=",500,"P",1.0609,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20160,"",1,1,"VOUT1",1,"092","","",-500,"<=",-301.414,"nA","<=",-10,"P",1.0609,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20070,"",1,1,"EN0_PS1600",1,"092","","",300,"<=",510.438,"nA","<=",700,"P",1.0609,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20170,"",1,1,"EN0_PS1600",1,"092","","",-700,"<=",-517.862,"nA","<=",-300,"P",1.0609,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20080,"",1,1,"FCB_PS1600",1,"092","","",-200,"<=",-0.881692,"nA","<=",200,"P",1.0609,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20180,"",1,1,"FCB_PS1600",1,"092","","",-200,"<=",-5.13179,"nA","<=",200,"P",1.0609,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20090,"",1,1,"ISEN_PS1600",1,"092","","",-200,"<=",0.311251,"nA","<=",200,"P",1.0609,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20190,"",1,1,"ISEN_PS1600",1,"092","","",-200,"<=",-7.97141,"nA","<=",200,"P",1.0609,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN_VBIAS_PS1600",20100,"",1,1,"VBIAS_PS1600",1,"092","","",500,"<=",728,"nA","<=",1000,"P",1.0609,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN_VBIAS_PS1600",20200,"",1,1,"VBIAS_PS1600",1,"092","","",-1000,"<=",-825,"nA","<=",-500,"P",1.0609,***,"",
