Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",1,"1496","","",-500,"<=",-359.34,"mV","<=",-300,"P",0.50443,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",1,"1496","","",-500,"<=",-415.11,"mV","<=",-300,"P",0.50443,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",1,1,"FCB_PS1600",1,"1496","","",-500,"<=",-359.571,"mV","<=",-300,"P",0.50443,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",1,1,"ISEN_PS1600",1,"1496","","",-500,"<=",-344.478,"mV","<=",-300,"P",0.50443,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",1,1,"ITRIP_PS1600",1,"1496","","",-500,"<=",-361.211,"mV","<=",-300,"P",0.50443,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",1,1,"OFF_PS1600",1,"1496","","",-500,"<=",-354.096,"mV","<=",-300,"P",0.50443,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",1,1,"SS_PS1600",1,"1496","","",-500,"<=",-445.743,"mV","<=",-300,"P",0.50443,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",1,1,"VBIAS_PS1600",1,"1496","","",-500,"<=",-297.466,"mV","<=",-200,"P",0.50443,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",1,1,"GND_PS1600",1,"1496","","",-500,"<=",-358.877,"mV","<=",-300,"P",0.50443,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",1,1,"VIN1",1,"1496","","",-360,"<=",-341.574,"mV","<=",-300,"P",0.50443,***,"",
1,"CONTINUITY","","MOULD_RES",10340,"",1,1,"VIN1",1,"1496","","",0,"<=",0.258552,"ohm","<=",20,"P",0.50443,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",1,1,"VIN2",1,"1496","","",-360,"<=",-341.673,"mV","<=",-300,"P",0.50443,***,"",
1,"CONTINUITY","","MOULD_RES",10350,"",1,1,"VIN2",1,"1496","","",0,"<=",0.211928,"ohm","<=",20,"P",0.50443,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",1,1,"VIN3",1,"1496","","",-360,"<=",-341.644,"mV","<=",-300,"P",0.50443,***,"",
1,"CONTINUITY","","MOULD_RES",10360,"",1,1,"VIN3",1,"1496","","",0,"<=",0.332727,"ohm","<=",20,"P",0.50443,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",1,1,"VIN4_RS1",1,"1496","","",-360,"<=",-341.614,"mV","<=",-300,"P",0.50443,***,"",
1,"CONTINUITY","","MOULD_RES",10370,"",1,1,"VIN4_RS1",1,"1496","","",0,"<=",0.493791,"ohm","<=",20,"P",0.50443,***,"",
1,"CONTINUITY","","CONTINUITY",10220,"",1,1,"VIN4_RS2",1,"1496","","",-360,"<=",-341.877,"mV","<=",-300,"P",0.50443,***,"",
1,"CONTINUITY","","MOULD_RES",10380,"",1,1,"VIN4_RS2",1,"1496","","",0,"<=",0.258551,"ohm","<=",20,"P",0.50443,***,"",
1,"CONTINUITY","","CONTINUITY",10230,"",1,1,"VIN5_RS1",1,"1496","","",-360,"<=",-342.056,"mV","<=",-300,"P",0.50443,***,"",
1,"CONTINUITY","","MOULD_RES",10390,"",1,1,"VIN5_RS1",1,"1496","","",0,"<=",0.478957,"ohm","<=",20,"P",0.50443,***,"",
1,"CONTINUITY","","CONTINUITY",10240,"",1,1,"VIN5_RS2",1,"1496","","",-360,"<=",-341.496,"mV","<=",-300,"P",0.50443,***,"",
1,"CONTINUITY","","MOULD_RES",10400,"",1,1,"VIN5_RS2",1,"1496","","",0,"<=",0.332726,"ohm","<=",20,"P",0.50443,***,"",
1,"CONTINUITY","","CONTINUITY",10250,"",1,1,"VIN6",1,"1496","","",-360,"<=",-342.106,"mV","<=",-300,"P",0.50443,***,"",
1,"CONTINUITY","","MOULD_RES",10410,"",1,1,"VIN6",1,"1496","","",0,"<=",0.402662,"ohm","<=",20,"P",0.50443,***,"",
1,"CONTINUITY","","CONTINUITY",10100,"",1,1,"VOUT1",1,"1496","","",-300,"<=",-221.42,"mV","<=",-200,"P",0.50443,***,"",
1,"CONTINUITY","","MOULD_RES",10260,"",1,1,"VOUT1",1,"1496","","",0,"<=",0.167423,"ohm","<=",20,"P",0.50443,***,"",
1,"CONTINUITY","","CONTINUITY",10110,"",1,1,"VOUT2_RS1",1,"1496","","",-300,"<=",-221.241,"mV","<=",-200,"P",0.50443,***,"",
1,"CONTINUITY","","MOULD_RES",10270,"",1,1,"VOUT2_RS1",1,"1496","","",0,"<=",0.616709,"ohm","<=",20,"P",0.50443,***,"",
1,"CONTINUITY","","CONTINUITY",10120,"",1,1,"VOUT2_RS2",1,"1496","","",-300,"<=",-221.548,"mV","<=",-200,"P",0.50443,***,"",
1,"CONTINUITY","","MOULD_RES",10280,"",1,1,"VOUT2_RS2",1,"1496","","",0,"<=",0.0254311,"ohm","<=",20,"P",0.50443,***,"",
1,"CONTINUITY","","CONTINUITY",10130,"",1,1,"VOUT3_RS1",1,"1496","","",-300,"<=",-221.779,"mV","<=",-200,"P",0.50443,***,"",
1,"CONTINUITY","","MOULD_RES",10290,"",1,1,"VOUT3_RS1",1,"1496","","",0,"<=",0.466241,"ohm","<=",20,"P",0.50443,***,"",
1,"CONTINUITY","","CONTINUITY",10140,"",1,1,"VOUT3_RS2",1,"1496","","",-300,"<=",-221.506,"mV","<=",-200,"P",0.50443,***,"",
1,"CONTINUITY","","MOULD_RES",10300,"",1,1,"VOUT3_RS2",1,"1496","","",0,"<=",0.161064,"ohm","<=",20,"P",0.50443,***,"",
1,"CONTINUITY","","CONTINUITY",10150,"",1,1,"VOUT4",1,"1496","","",-300,"<=",-221.212,"mV","<=",-200,"P",0.50443,***,"",
1,"CONTINUITY","","MOULD_RES",10310,"",1,1,"VOUT4",1,"1496","","",0,"<=",0.0996056,"ohm","<=",20,"P",0.50443,***,"",
1,"CONTINUITY","","CONTINUITY",10160,"",1,1,"VOUT5",1,"1496","","",-300,"<=",-221.428,"mV","<=",-200,"P",0.50443,***,"",
1,"CONTINUITY","","MOULD_RES",10320,"",1,1,"VOUT5",1,"1496","","",0,"<=",0.158946,"ohm","<=",20,"P",0.50443,***,"",
1,"CONTINUITY","","CONTINUITY",10170,"",1,1,"VOUT6",1,"1496","","",-300,"<=",-221.619,"mV","<=",-200,"P",0.50443,***,"",
1,"CONTINUITY","","MOULD_RES",10330,"",1,1,"VOUT6",1,"1496","","",0,"<=",0.180139,"ohm","<=",20,"P",0.50443,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"",1,1,"FAULTB_PS1600",1,"1496","","",-200,"<=",-7.87366,"nA","<=",200,"P",0.533586,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20110,"",1,1,"FAULTB_PS1600",1,"1496","","",-200,"<=",-7.87366,"nA","<=",200,"P",0.533586,***,"",
