Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",1,"1403","","",-500,"<=",-357.064,"mV","<=",-300,"P",0.356617,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",1,"1403","","",-500,"<=",-414.825,"mV","<=",-300,"P",0.356617,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",1,1,"FCB_PS1600",1,"1403","","",-500,"<=",-357.066,"mV","<=",-300,"P",0.356617,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",1,1,"ISEN_PS1600",1,"1403","","",-500,"<=",-342.486,"mV","<=",-300,"P",0.356617,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",1,1,"ITRIP_PS1600",1,"1403","","",-500,"<=",-358.593,"mV","<=",-300,"P",0.356617,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",1,1,"OFF_PS1600",1,"1403","","",-500,"<=",-352.446,"mV","<=",-300,"P",0.356617,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",1,1,"SS_PS1600",1,"1403","","",-500,"<=",-443.694,"mV","<=",-300,"P",0.356617,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",1,1,"VBIAS_PS1600",1,"1403","","",-500,"<=",-296.555,"mV","<=",-200,"P",0.356617,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",1,1,"GND_PS1600",1,"1403","","",-500,"<=",-353.641,"mV","<=",-300,"P",0.356617,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",1,1,"VIN1",1,"1403","","",-360,"<=",-338.163,"mV","<=",-300,"P",0.356617,***,"",
1,"CONTINUITY","","MOULD_RES",10340,"",1,1,"VIN1",1,"1403","","",0,"<=",0.368754,"ohm","<=",20,"P",0.356617,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",1,1,"VIN2",1,"1403","","",-360,"<=",-338.093,"mV","<=",-300,"P",0.356617,***,"",
1,"CONTINUITY","","MOULD_RES",10350,"",1,1,"VIN2",1,"1403","","",0,"<=",0.46836,"ohm","<=",20,"P",0.356617,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",1,1,"VIN3",1,"1403","","",-360,"<=",-338.074,"mV","<=",-300,"P",0.356617,***,"",
1,"CONTINUITY","","MOULD_RES",10360,"",1,1,"VIN3",1,"1403","","",0,"<=",0.349681,"ohm","<=",20,"P",0.356617,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",1,1,"VIN4_RS1",1,"1403","","",-360,"<=",-338.327,"mV","<=",-300,"P",0.356617,***,"",
1,"CONTINUITY","","MOULD_RES",10370,"",1,1,"VIN4_RS1",1,"1403","","",0,"<=",0.837113,"ohm","<=",20,"P",0.356617,***,"",
1,"CONTINUITY","","CONTINUITY",10220,"",1,1,"VIN4_RS2",1,"1403","","",-360,"<=",-338.097,"mV","<=",-300,"P",0.356617,***,"",
1,"CONTINUITY","","MOULD_RES",10380,"",1,1,"VIN4_RS2",1,"1403","","",0,"<=",0.0190733,"ohm","<=",20,"P",0.356617,***,"",
1,"CONTINUITY","","CONTINUITY",10230,"",1,1,"VIN5_RS1",1,"1403","","",-360,"<=",-338.455,"mV","<=",-300,"P",0.356617,***,"",
1,"CONTINUITY","","MOULD_RES",10390,"",1,1,"VIN5_RS1",1,"1403","","",0,"<=",1.0003,"ohm","<=",20,"P",0.356617,***,"",
1,"CONTINUITY","","CONTINUITY",10240,"",1,1,"VIN5_RS2",1,"1403","","",-360,"<=",-338.165,"mV","<=",-300,"P",0.356617,***,"",
1,"CONTINUITY","","MOULD_RES",10400,"",1,1,"VIN5_RS2",1,"1403","","",0,"<=",0.0996056,"ohm","<=",20,"P",0.356617,***,"",
1,"CONTINUITY","","CONTINUITY",10250,"",1,1,"VIN6",1,"1403","","",-360,"<=",-338.026,"mV","<=",-300,"P",0.356617,***,"",
1,"CONTINUITY","","MOULD_RES",10410,"",1,1,"VIN6",1,"1403","","",0,"<=",0.512866,"ohm","<=",20,"P",0.356617,***,"",
1,"CONTINUITY","","CONTINUITY",10100,"",1,1,"VOUT1",1,"1403","","",-300,"<=",-216.476,"mV","<=",-200,"P",0.356617,***,"",
