Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",1,"1261","","",-500,"<=",-369.921,"mV","<=",-300,"P",1.46378,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",1,"1261","","",-500,"<=",-421.598,"mV","<=",-300,"P",1.46378,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",1,1,"FCB_PS1600",1,"1261","","",-500,"<=",-369.986,"mV","<=",-300,"P",1.46378,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",1,1,"ISEN_PS1600",1,"1261","","",-500,"<=",-356.658,"mV","<=",-300,"P",1.46378,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",1,1,"ITRIP_PS1600",1,"1261","","",-500,"<=",-372.025,"mV","<=",-300,"P",1.46378,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",1,1,"OFF_PS1600",1,"1261","","",-500,"<=",-363.146,"mV","<=",-300,"P",1.46378,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",1,1,"SS_PS1600",1,"1261","","",-500,"<=",-451.093,"mV","<=",-300,"P",1.46378,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",1,1,"VBIAS_PS1600",1,"1261","","",-500,"<=",-297.523,"mV","<=",-200,"P",1.46378,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",1,1,"GND_PS1600",1,"1261","","",-500,"<=",-364.967,"mV","<=",-300,"P",1.46378,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",1,1,"VIN1",1,"1261","","",-360,"<=",-344.398,"mV","<=",-300,"P",1.46378,***,"",
1,"CONTINUITY","","MOULD_RES",10340,"",1,1,"VIN1",1,"1261","","",0,"<=",0.589158,"ohm","<=",20,"P",1.46378,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",1,1,"VIN2",1,"1261","","",-360,"<=",-344.353,"mV","<=",-300,"P",1.46378,***,"",
1,"CONTINUITY","","MOULD_RES",10350,"",1,1,"VIN2",1,"1261","","",0,"<=",0.125038,"ohm","<=",20,"P",1.46378,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",1,1,"VIN3",1,"1261","","",-360,"<=",-344.711,"mV","<=",-300,"P",1.46378,***,"",
1,"CONTINUITY","","MOULD_RES",10360,"",1,1,"VIN3",1,"1261","","",0,"<=",0.0211933,"ohm","<=",20,"P",1.46378,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",1,1,"VIN4_RS1",1,"1261","","",-360,"<=",-344.845,"mV","<=",-300,"P",1.46378,***,"",
1,"CONTINUITY","","MOULD_RES",10370,"",1,1,"VIN4_RS1",1,"1261","","",0,"<=",0.809563,"ohm","<=",20,"P",1.46378,***,"",
1,"CONTINUITY","","CONTINUITY",10220,"",1,1,"VIN4_RS2",1,"1261","","",-360,"<=",-344.498,"mV","<=",-300,"P",1.46378,***,"",
1,"CONTINUITY","","MOULD_RES",10380,"",1,1,"VIN4_RS2",1,"1261","","",0,"<=",0.184377,"ohm","<=",20,"P",1.46378,***,"",
1,"CONTINUITY","","CONTINUITY",10230,"",1,1,"VIN5_RS1",1,"1261","","",-360,"<=",-344.818,"mV","<=",-300,"P",1.46378,***,"",
1,"CONTINUITY","","MOULD_RES",10390,"",1,1,"VIN5_RS1",1,"1261","","",0,"<=",1.2207,"ohm","<=",20,"P",1.46378,***,"",
1,"CONTINUITY","","CONTINUITY",10240,"",1,1,"VIN5_RS2",1,"1261","","",-360,"<=",-344.355,"mV","<=",-300,"P",1.46378,***,"",
1,"CONTINUITY","","MOULD_RES",10400,"",1,1,"VIN5_RS2",1,"1261","","",0,"<=",0.00211889,"ohm","<=",20,"P",1.46378,***,"",
1,"CONTINUITY","","CONTINUITY",10250,"",1,1,"VIN6",1,"1261","","",-360,"<=",-344.803,"mV","<=",-300,"P",1.46378,***,"",
1,"CONTINUITY","","MOULD_RES",10410,"",1,1,"VIN6",1,"1261","","",0,"<=",0.656976,"ohm","<=",20,"P",1.46378,***,"",
1,"CONTINUITY","","CONTINUITY",10100,"",1,1,"VOUT1",1,"1261","","",-300,"<=",-221.748,"mV","<=",-200,"P",1.46378,***,"",
1,"CONTINUITY","","MOULD_RES",10260,"",1,1,"VOUT1",1,"1261","","",0,"<=",0.277626,"ohm","<=",20,"P",1.46378,***,"",
1,"CONTINUITY","","CONTINUITY",10110,"",1,1,"VOUT2_RS1",1,"1261","","",-300,"<=",-221.579,"mV","<=",-200,"P",1.46378,***,"",
