Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",1,"1","","",-500,"<=",-422.601,"mV","<=",-300,"P",0.163594,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",1,"1","","",-500,"<=",-511.24,"mV","<=",-300,"F",0.163594,***,"",
2,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",2,"2","","",-500,"<=",-425.787,"mV","<=",-300,"P",0.163594,***,"",
2,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",2,"2","","",-500,"<=",-510.443,"mV","<=",-300,"F",0.163594,***,"",
3,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",3,"3","","",-500,"<=",-425.559,"mV","<=",-300,"P",0.163594,***,"",
3,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",3,"3","","",-500,"<=",-511.468,"mV","<=",-300,"F",0.163594,***,"",
4,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",4,"4","","",-500,"<=",-426.583,"mV","<=",-300,"P",0.163594,***,"",
4,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",4,"4","","",-500,"<=",-511.695,"mV","<=",-300,"F",0.163594,***,"",
5,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",5,"5","","",-500,"<=",-417.424,"mV","<=",-300,"P",0.163594,***,"",
5,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",5,"5","","",-500,"<=",-506.971,"mV","<=",-300,"F",0.163594,***,"",
6,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",6,"6","","",-500,"<=",-426.412,"mV","<=",-300,"P",0.163594,***,"",
6,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",6,"6","","",-500,"<=",-515.053,"mV","<=",-300,"F",0.163594,***,"",
7,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",7,"7","","",-500,"<=",-428.461,"mV","<=",-300,"P",0.163594,***,"",
7,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",7,"7","","",-500,"<=",-513.63,"mV","<=",-300,"F",0.163594,***,"",
8,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",8,"8","","",-500,"<=",-426.014,"mV","<=",-300,"P",0.163594,***,"",
8,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",8,"8","","",-500,"<=",-513.972,"mV","<=",-300,"F",0.163594,***,"",
9,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",9,"9","","",-500,"<=",-420.098,"mV","<=",-300,"P",0.163594,***,"",
9,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",9,"9","","",-500,"<=",-507.597,"mV","<=",-300,"F",0.163594,***,"",
10,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",10,"10","","",-500,"<=",-419.244,"mV","<=",-300,"P",0.163594,***,"",
10,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",10,"10","","",-500,"<=",-506.573,"mV","<=",-300,"F",0.163594,***,"",
11,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",11,"11","","",-500,"<=",-413.555,"mV","<=",-300,"P",0.163594,***,"",
11,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",11,"11","","",-500,"<=",-501.109,"mV","<=",-300,"F",0.163594,***,"",
12,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",12,"12","","",-500,"<=",-426.299,"mV","<=",-300,"P",0.163594,***,"",
12,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",12,"12","","",-500,"<=",-513.175,"mV","<=",-300,"F",0.163594,***,"",
13,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",13,"13","","",-500,"<=",-426.981,"mV","<=",-300,"P",0.163594,***,"",
13,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",13,"13","","",-500,"<=",-516.248,"mV","<=",-300,"F",0.163594,***,"",
14,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",14,"14","","",-500,"<=",-423.284,"mV","<=",-300,"P",0.163594,***,"",
14,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",14,"14","","",-500,"<=",-507.939,"mV","<=",-300,"F",0.163594,***,"",
15,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",15,"15","","",-500,"<=",-427.038,"mV","<=",-300,"P",0.163594,***,"",
15,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",15,"15","","",-500,"<=",-512.207,"mV","<=",-300,"F",0.163594,***,"",
16,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",16,"16","","",-500,"<=",-433.808,"mV","<=",-300,"P",0.163594,***,"",
16,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",16,"16","","",-500,"<=",-521.485,"mV","<=",-300,"F",0.163594,***,"",
17,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",17,"17","","",-500,"<=",-429.769,"mV","<=",-300,"P",0.163594,***,"",
17,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",17,"17","","",-500,"<=",-514.712,"mV","<=",-300,"F",0.163594,***,"",
18,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",18,"18","","",-500,"<=",-419.301,"mV","<=",-300,"P",0.163594,***,"",
18,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",18,"18","","",-500,"<=",-510.443,"mV","<=",-300,"F",0.163594,***,"",
19,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",19,"19","","",-500,"<=",-435.458,"mV","<=",-300,"P",0.163594,***,"",
19,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",19,"19","","",-500,"<=",-520.233,"mV","<=",-300,"F",0.163594,***,"",
20,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",20,"20","","",-500,"<=",-430.964,"mV","<=",-300,"P",0.163594,***,"",
20,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",20,"20","","",-500,"<=",-517.444,"mV","<=",-300,"F",0.163594,***,"",
21,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",21,"21","","",-500,"<=",-436.141,"mV","<=",-300,"P",0.163594,***,"",
21,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",21,"21","","",-500,"<=",-527.575,"mV","<=",-300,"F",0.163594,***,"",
22,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",22,"22","","",-500,"<=",-428.347,"mV","<=",-300,"P",0.163594,***,"",
22,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",22,"22","","",-500,"<=",-514.143,"mV","<=",-300,"F",0.163594,***,"",
23,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",23,"23","","",-500,"<=",-429.712,"mV","<=",-300,"P",0.163594,***,"",
23,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",23,"23","","",-500,"<=",-514.655,"mV","<=",-300,"F",0.163594,***,"",
