Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",1,"970","","",-500,"<=",-9.9999e+07,"mV","<=",-300,"F",0.223555,***,"",
2,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",2,"970","","",-500,"<=",-9.9999e+07,"mV","<=",-300,"F",0.223555,***,"",
3,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",3,"970","","",-500,"<=",-9.9999e+07,"mV","<=",-300,"F",0.223555,***,"",
4,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",4,"490","","",-500,"<=",-9.9999e+07,"mV","<=",-300,"F",0.223555,***,"",
5,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",5,"1008","","",-500,"<=",-370.718,"mV","<=",-300,"P",0.223555,***,"",
5,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",5,"1008","","",-500,"<=",-24.1009,"mV","<=",-300,"F",0.131391,***,"",
6,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",6,"1008","","",-500,"<=",-361.388,"mV","<=",-300,"P",0.223555,***,"",
6,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",6,"1008","","",-500,"<=",-424.501,"mV","<=",-300,"P",0.131391,***,"",
6,"CONTINUITY","","CONTINUITY",10050,"",1,1,"FCB_PS1600",6,"1008","","",-500,"<=",-361.278,"mV","<=",-300,"P",0.130309,***,"",
6,"CONTINUITY","","CONTINUITY",10090,"",1,1,"ISEN_PS1600",6,"1008","","",-500,"<=",-347.665,"mV","<=",-300,"P",0.130347,***,"",
6,"CONTINUITY","","CONTINUITY",10080,"",1,1,"ITRIP_PS1600",6,"1008","","",-500,"<=",-363.544,"mV","<=",-300,"P",0.130347,***,"",
6,"CONTINUITY","","CONTINUITY",10040,"",1,1,"OFF_PS1600",6,"1008","","",-500,"<=",-356.715,"mV","<=",-300,"P",0.130347,***,"",
6,"CONTINUITY","","CONTINUITY",10010,"",1,1,"SS_PS1600",6,"1008","","",-500,"<=",-456.273,"mV","<=",-300,"P",0.130347,***,"",
6,"CONTINUITY","","CONTINUITY",10070,"",1,1,"VBIAS_PS1600",6,"1008","","",-500,"<=",-301.279,"mV","<=",-200,"P",0.130347,***,"",
6,"CONTINUITY","","CONTINUITY",10060,"",1,1,"GND_PS1600",6,"1008","","",-500,"<=",-357.682,"mV","<=",-300,"P",0.130347,***,"",
6,"CONTINUITY","","CONTINUITY",10180,"",1,1,"VIN1",6,"1008","","",-360,"<=",-339.617,"mV","<=",-300,"P",0.130347,***,"",
6,"CONTINUITY","","CONTINUITY",10190,"",1,1,"VIN2",6,"1008","","",-360,"<=",-339.891,"mV","<=",-300,"P",0.130347,***,"",
6,"CONTINUITY","","CONTINUITY",10200,"",1,1,"VIN3",6,"1008","","",-360,"<=",-339.655,"mV","<=",-300,"P",0.130347,***,"",
6,"CONTINUITY","","CONTINUITY",10210,"",1,1,"VIN4_RS1",6,"1008","","",-360,"<=",-339.966,"mV","<=",-300,"P",0.130347,***,"",
6,"CONTINUITY","","CONTINUITY",10220,"",1,1,"VIN4_RS2",6,"1008","","",-360,"<=",-340.04,"mV","<=",-300,"P",0.130347,***,"",
6,"CONTINUITY","","CONTINUITY",10230,"",1,1,"VIN5_RS1",6,"1008","","",-360,"<=",-340.174,"mV","<=",-300,"P",0.130347,***,"",
6,"CONTINUITY","","CONTINUITY",10240,"",1,1,"VIN5_RS2",6,"1008","","",-360,"<=",-339.731,"mV","<=",-300,"P",0.130347,***,"",
6,"CONTINUITY","","CONTINUITY",10250,"",1,1,"VIN6",6,"1008","","",-360,"<=",-340.128,"mV","<=",-300,"P",0.130347,***,"",
6,"CONTINUITY","","CONTINUITY",10100,"",1,1,"VOUT1",6,"1008","","",-300,"<=",-227.312,"mV","<=",-200,"P",0.130347,***,"",
6,"CONTINUITY","","CONTINUITY",10110,"",1,1,"VOUT2_RS1",6,"1008","","",-300,"<=",-227.144,"mV","<=",-200,"P",0.130347,***,"",
6,"CONTINUITY","","CONTINUITY",10120,"",1,1,"VOUT2_RS2",6,"1008","","",-300,"<=",-227.459,"mV","<=",-200,"P",0.130347,***,"",
