Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",1,"39","","",-500,"<=",-360.705,"mV","<=",-300,"P",0.242625,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",1,"39","","",-500,"<=",-423.647,"mV","<=",-300,"P",0.242625,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",1,1,"FCB_PS1600",1,"39","","",-500,"<=",-360.993,"mV","<=",-300,"P",0.242625,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",1,1,"ISEN_PS1600",1,"39","","",-500,"<=",-346.754,"mV","<=",-300,"P",0.242625,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",1,1,"ITRIP_PS1600",1,"39","","",-500,"<=",-362.132,"mV","<=",-300,"P",0.242625,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",1,1,"OFF_PS1600",1,"39","","",-500,"<=",-356.668,"mV","<=",-300,"P",0.242625,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",1,1,"SS_PS1600",1,"39","","",-500,"<=",-452.814,"mV","<=",-300,"P",0.242625,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",1,1,"VBIAS_PS1600",1,"39","","",-500,"<=",-297.986,"mV","<=",-200,"P",0.242625,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",1,1,"GND_PS1600",1,"39","","",-500,"<=",-367.642,"mV","<=",-300,"P",0.242625,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",1,1,"VIN1",1,"39","","",-360,"<=",-332.92,"mV","<=",-300,"P",0.242625,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",1,1,"VIN2",1,"39","","",-360,"<=",-333.639,"mV","<=",-300,"P",0.242625,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",1,1,"VIN3",1,"39","","",-360,"<=",-333.487,"mV","<=",-300,"P",0.242625,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",1,1,"VIN4_RS1",1,"39","","",-360,"<=",-333.292,"mV","<=",-300,"P",0.242625,***,"",
1,"CONTINUITY","","CONTINUITY",10220,"",1,1,"VIN4_RS2",1,"39","","",-360,"<=",-333.641,"mV","<=",-300,"P",0.242625,***,"",
1,"CONTINUITY","","CONTINUITY",10230,"",1,1,"VIN5_RS1",1,"39","","",-360,"<=",-333.519,"mV","<=",-300,"P",0.242625,***,"",
1,"CONTINUITY","","CONTINUITY",10240,"",1,1,"VIN5_RS2",1,"39","","",-360,"<=",-333.454,"mV","<=",-300,"P",0.242625,***,"",
1,"CONTINUITY","","CONTINUITY",10250,"",1,1,"VIN6",1,"39","","",-360,"<=",-333.429,"mV","<=",-300,"P",0.242625,***,"",
1,"CONTINUITY","","CONTINUITY",10100,"",1,1,"VOUT1",1,"39","","",-300,"<=",-225.145,"mV","<=",-200,"P",0.242625,***,"",
1,"CONTINUITY","","CONTINUITY",10110,"",1,1,"VOUT2_RS1",1,"39","","",-300,"<=",-225.323,"mV","<=",-200,"P",0.242625,***,"",
1,"CONTINUITY","","CONTINUITY",10120,"",1,1,"VOUT2_RS2",1,"39","","",-300,"<=",-225.428,"mV","<=",-200,"P",0.242625,***,"",
1,"CONTINUITY","","CONTINUITY",10130,"",1,1,"VOUT3_RS1",1,"39","","",-300,"<=",-225.309,"mV","<=",-200,"P",0.242625,***,"",
1,"CONTINUITY","","CONTINUITY",10140,"",1,1,"VOUT3_RS2",1,"39","","",-300,"<=",-225.42,"mV","<=",-200,"P",0.242625,***,"",
1,"CONTINUITY","","CONTINUITY",10150,"",1,1,"VOUT4",1,"39","","",-300,"<=",-225.086,"mV","<=",-200,"P",0.242625,***,"",
1,"CONTINUITY","","CONTINUITY",10160,"",1,1,"VOUT5",1,"39","","",-300,"<=",-225.355,"mV","<=",-200,"P",0.242625,***,"",
1,"CONTINUITY","","CONTINUITY",10170,"",1,1,"VOUT6",1,"39","","",-300,"<=",-225.426,"mV","<=",-200,"P",0.242625,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"",1,1,"FAULTB_PS1600",1,"39","","",-200,"<=",-7.25627,"nA","<=",200,"P",0.473425,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20110,"",1,1,"FAULTB_PS1600",1,"39","","",-200,"<=",-7.25627,"nA","<=",200,"P",0.473425,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20020,"",1,1,"ITRIP_PS1600",1,"39","","",-200,"<=",-11.1362,"nA","<=",200,"P",0.473425,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20120,"",1,1,"ITRIP_PS1600",1,"39","","",-200,"<=",-11.1362,"nA","<=",200,"P",0.473425,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20030,"",1,1,"OFF_PS1600",1,"39","","",-200,"<=",-10.2767,"nA","<=",200,"P",0.473425,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20130,"",1,1,"OFF_PS1600",1,"39","","",-200,"<=",-10.2767,"nA","<=",200,"P",0.473425,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20040,"",1,1,"SS_PS1600",1,"39","","",-200,"<=",-11.9152,"nA","<=",200,"P",0.473425,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20140,"",1,1,"SS_PS1600",1,"39","","",-200,"<=",-11.9152,"nA","<=",200,"P",0.473425,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20050,"",1,1,"VIN1",1,"39","","",10,"<=",301.628,"nA","<=",500,"P",0.473425,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20150,"",1,1,"VIN1",1,"39","","",-500,"<=",-299.722,"nA","<=",-10,"P",0.473425,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20060,"",1,1,"VOUT1",1,"39","","",10,"<=",300.257,"nA","<=",500,"P",0.473425,***,"",
