Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",1,"470","","",-500,"<=",-9.9999e+07,"mV","<=",-300,"F",0.231574,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",1,"470","","",-500,"<=",-263.715,"mV","<=",-300,"F",0.231574,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",1,1,"FCB_PS1600",1,"470","","",-500,"<=",-9.9999e+07,"mV","<=",-300,"F",0.231574,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",1,1,"ISEN_PS1600",1,"470","","",-500,"<=",-5.48953,"mV","<=",-300,"F",0.231574,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",1,1,"ITRIP_PS1600",1,"470","","",-500,"<=",-365.195,"mV","<=",-300,"P",0.231574,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",1,1,"OFF_PS1600",1,"470","","",-500,"<=",-9.9999e+07,"mV","<=",-300,"F",0.231574,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",1,1,"SS_PS1600",1,"470","","",-500,"<=",-364.522,"mV","<=",-300,"P",0.231574,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",1,1,"VBIAS_PS1600",1,"470","","",-500,"<=",-3.95281,"mV","<=",-200,"F",0.231574,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",1,1,"GND_PS1600",1,"470","","",-500,"<=",-1.22087,"mV","<=",-300,"F",0.231574,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",1,1,"VIN1",1,"470","","",-360,"<=",-0.890732,"mV","<=",-300,"F",0.231574,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",1,1,"VIN2",1,"470","","",-360,"<=",-0.91362,"mV","<=",-300,"F",0.231574,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",1,1,"VIN3",1,"470","","",-360,"<=",-0.88501,"mV","<=",-300,"F",0.231574,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",1,1,"VIN4_RS1",1,"470","","",-360,"<=",-0.865936,"mV","<=",-300,"F",0.231574,***,"",
1,"CONTINUITY","","CONTINUITY",10220,"",1,1,"VIN4_RS2",1,"470","","",-360,"<=",-0.822067,"mV","<=",-300,"F",0.231574,***,"",
1,"CONTINUITY","","CONTINUITY",10230,"",1,1,"VIN5_RS1",1,"470","","",-360,"<=",-0.84877,"mV","<=",-300,"F",0.231574,***,"",
1,"CONTINUITY","","CONTINUITY",10240,"",1,1,"VIN5_RS2",1,"470","","",-360,"<=",-0.91362,"mV","<=",-300,"F",0.231574,***,"",
1,"CONTINUITY","","CONTINUITY",10250,"",1,1,"VIN6",1,"470","","",-360,"<=",-0.921249,"mV","<=",-300,"F",0.231574,***,"",
1,"CONTINUITY","","CONTINUITY",10100,"",1,1,"VOUT1",1,"470","","",-300,"<=",-0.860214,"mV","<=",-200,"F",0.231574,***,"",
1,"CONTINUITY","","CONTINUITY",10110,"",1,1,"VOUT2_RS1",1,"470","","",-300,"<=",-0.892639,"mV","<=",-200,"F",0.231574,***,"",
1,"CONTINUITY","","CONTINUITY",10120,"",1,1,"VOUT2_RS2",1,"470","","",-300,"<=",-0.822067,"mV","<=",-200,"F",0.231574,***,"",
1,"CONTINUITY","","CONTINUITY",10130,"",1,1,"VOUT3_RS1",1,"470","","",-300,"<=",-0.907898,"mV","<=",-200,"F",0.231574,***,"",
1,"CONTINUITY","","CONTINUITY",10140,"",1,1,"VOUT3_RS2",1,"470","","",-300,"<=",-0.835419,"mV","<=",-200,"F",0.231574,***,"",
1,"CONTINUITY","","CONTINUITY",10150,"",1,1,"VOUT4",1,"470","","",-300,"<=",-0.894547,"mV","<=",-200,"F",0.231574,***,"",
1,"CONTINUITY","","CONTINUITY",10160,"",1,1,"VOUT5",1,"470","","",-300,"<=",-0.827789,"mV","<=",-200,"F",0.231574,***,"",
1,"CONTINUITY","","CONTINUITY",10170,"",1,1,"VOUT6",1,"470","","",-300,"<=",-0.881195,"mV","<=",-200,"F",0.231574,***,"",
2,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",2,"989","","",-500,"<=",-9.9999e+07,"mV","<=",-300,"F",0.231574,***,"",
2,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",2,"989","","",-500,"<=",-749.431,"mV","<=",-300,"F",0.231574,***,"",
2,"CONTINUITY","","CONTINUITY",10050,"",1,1,"FCB_PS1600",2,"989","","",-500,"<=",-11.5229,"mV","<=",-300,"F",0.231574,***,"",
2,"CONTINUITY","","CONTINUITY",10090,"",1,1,"ISEN_PS1600",2,"989","","",-500,"<=",-344.705,"mV","<=",-300,"P",0.231574,***,"",
2,"CONTINUITY","","CONTINUITY",10080,"",1,1,"ITRIP_PS1600",2,"989","","",-500,"<=",-6.34326,"mV","<=",-300,"F",0.231574,***,"",
2,"CONTINUITY","","CONTINUITY",10040,"",1,1,"OFF_PS1600",2,"989","","",-500,"<=",-4.86346,"mV","<=",-300,"F",0.231574,***,"",
2,"CONTINUITY","","CONTINUITY",10010,"",1,1,"SS_PS1600",2,"989","","",-500,"<=",-362.53,"mV","<=",-300,"P",0.231574,***,"",
2,"CONTINUITY","","CONTINUITY",10070,"",1,1,"VBIAS_PS1600",2,"989","","",-500,"<=",-3.89589,"mV","<=",-200,"F",0.231574,***,"",
2,"CONTINUITY","","CONTINUITY",10060,"",1,1,"GND_PS1600",2,"989","","",-500,"<=",-0.936293,"mV","<=",-300,"F",0.231574,***,"",
2,"CONTINUITY","","CONTINUITY",10180,"",1,1,"VIN1",2,"989","","",-360,"<=",-0.707626,"mV","<=",-300,"F",0.231574,***,"",
2,"CONTINUITY","","CONTINUITY",10190,"",1,1,"VIN2",2,"989","","",-360,"<=",-0.688553,"mV","<=",-300,"F",0.231574,***,"",
2,"CONTINUITY","","CONTINUITY",10200,"",1,1,"VIN3",2,"989","","",-360,"<=",-0.732422,"mV","<=",-300,"F",0.231574,***,"",
2,"CONTINUITY","","CONTINUITY",10210,"",1,1,"VIN4_RS1",2,"989","","",-360,"<=",-0.642776,"mV","<=",-300,"F",0.231574,***,"",
2,"CONTINUITY","","CONTINUITY",10220,"",1,1,"VIN4_RS2",2,"989","","",-360,"<=",-0.640869,"mV","<=",-300,"F",0.231574,***,"",
2,"CONTINUITY","","CONTINUITY",10230,"",1,1,"VIN5_RS1",2,"989","","",-360,"<=",-0.69809,"mV","<=",-300,"F",0.231574,***,"",
2,"CONTINUITY","","CONTINUITY",10240,"",1,1,"VIN5_RS2",2,"989","","",-360,"<=",-0.675201,"mV","<=",-300,"F",0.231574,***,"",
2,"CONTINUITY","","CONTINUITY",10250,"",1,1,"VIN6",2,"989","","",-360,"<=",-0.671387,"mV","<=",-300,"F",0.231574,***,"",
2,"CONTINUITY","","CONTINUITY",10100,"",1,1,"VOUT1",2,"989","","",-300,"<=",-0.665665,"mV","<=",-200,"F",0.231574,***,"",
2,"CONTINUITY","","CONTINUITY",10110,"",1,1,"VOUT2_RS1",2,"989","","",-300,"<=",-0.686646,"mV","<=",-200,"F",0.231574,***,"",
2,"CONTINUITY","","CONTINUITY",10120,"",1,1,"VOUT2_RS2",2,"989","","",-300,"<=",-0.736237,"mV","<=",-200,"F",0.231574,***,"",
2,"CONTINUITY","","CONTINUITY",10130,"",1,1,"VOUT3_RS1",2,"989","","",-300,"<=",-0.694275,"mV","<=",-200,"F",0.231574,***,"",
2,"CONTINUITY","","CONTINUITY",10140,"",1,1,"VOUT3_RS2",2,"989","","",-300,"<=",-0.713348,"mV","<=",-200,"F",0.231574,***,"",
2,"CONTINUITY","","CONTINUITY",10150,"",1,1,"VOUT4",2,"989","","",-300,"<=",-0.686646,"mV","<=",-200,"F",0.231574,***,"",
2,"CONTINUITY","","CONTINUITY",10160,"",1,1,"VOUT5",2,"989","","",-300,"<=",-0.711441,"mV","<=",-200,"F",0.231574,***,"",
2,"CONTINUITY","","CONTINUITY",10170,"",1,1,"VOUT6",2,"989","","",-300,"<=",-0.658035,"mV","<=",-200,"F",0.231574,***,"",
3,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",3,"1008","","",-500,"<=",-370.263,"mV","<=",-300,"P",0.231574,***,"",
3,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",3,"1008","","",-500,"<=",-24.1009,"mV","<=",-300,"F",0.231574,***,"",
3,"CONTINUITY","","CONTINUITY",10050,"",1,1,"FCB_PS1600",3,"1008","","",-500,"<=",-9.9999e+07,"mV","<=",-300,"F",0.231574,***,"",
3,"CONTINUITY","","CONTINUITY",10090,"",1,1,"ISEN_PS1600",3,"1008","","",-500,"<=",-352.56,"mV","<=",-300,"P",0.231574,***,"",
3,"CONTINUITY","","CONTINUITY",10080,"",1,1,"ITRIP_PS1600",3,"1008","","",-500,"<=",-2.47301,"mV","<=",-300,"F",0.231574,***,"",
3,"CONTINUITY","","CONTINUITY",10040,"",1,1,"OFF_PS1600",3,"1008","","",-500,"<=",-367.187,"mV","<=",-300,"P",0.231574,***,"",
3,"CONTINUITY","","CONTINUITY",10010,"",1,1,"SS_PS1600",3,"1008","","",-500,"<=",-370.385,"mV","<=",-300,"P",0.231574,***,"",
3,"CONTINUITY","","CONTINUITY",10070,"",1,1,"VBIAS_PS1600",3,"1008","","",-500,"<=",-2.24535,"mV","<=",-200,"F",0.231574,***,"",
3,"CONTINUITY","","CONTINUITY",10060,"",1,1,"GND_PS1600",3,"1008","","",-500,"<=",-0.765547,"mV","<=",-300,"F",0.231574,***,"",
3,"CONTINUITY","","CONTINUITY",10180,"",1,1,"VIN1",3,"1008","","",-360,"<=",-0.528336,"mV","<=",-300,"F",0.231574,***,"",
3,"CONTINUITY","","CONTINUITY",10190,"",1,1,"VIN2",3,"1008","","",-360,"<=",-0.576019,"mV","<=",-300,"F",0.231574,***,"",
3,"CONTINUITY","","CONTINUITY",10200,"",1,1,"VIN3",3,"1008","","",-360,"<=",-0.514984,"mV","<=",-300,"F",0.231574,***,"",
3,"CONTINUITY","","CONTINUITY",10210,"",1,1,"VIN4_RS1",3,"1008","","",-360,"<=",-0.511169,"mV","<=",-300,"F",0.231574,***,"",
3,"CONTINUITY","","CONTINUITY",10220,"",1,1,"VIN4_RS2",3,"1008","","",-360,"<=",-0.516891,"mV","<=",-300,"F",0.231574,***,"",
3,"CONTINUITY","","CONTINUITY",10230,"",1,1,"VIN5_RS1",3,"1008","","",-360,"<=",-0.574112,"mV","<=",-300,"F",0.231574,***,"",
3,"CONTINUITY","","CONTINUITY",10240,"",1,1,"VIN5_RS2",3,"1008","","",-360,"<=",-0.526428,"mV","<=",-300,"F",0.231574,***,"",
3,"CONTINUITY","","CONTINUITY",10250,"",1,1,"VIN6",3,"1008","","",-360,"<=",-0.516891,"mV","<=",-300,"F",0.231574,***,"",
3,"CONTINUITY","","CONTINUITY",10100,"",1,1,"VOUT1",3,"1008","","",-300,"<=",-0.541687,"mV","<=",-200,"F",0.231574,***,"",
3,"CONTINUITY","","CONTINUITY",10110,"",1,1,"VOUT2_RS1",3,"1008","","",-300,"<=",-0.553131,"mV","<=",-200,"F",0.231574,***,"",
3,"CONTINUITY","","CONTINUITY",10120,"",1,1,"VOUT2_RS2",3,"1008","","",-300,"<=",-0.562668,"mV","<=",-200,"F",0.231574,***,"",
3,"CONTINUITY","","CONTINUITY",10130,"",1,1,"VOUT3_RS1",3,"1008","","",-300,"<=",-0.501633,"mV","<=",-200,"F",0.231574,***,"",
3,"CONTINUITY","","CONTINUITY",10140,"",1,1,"VOUT3_RS2",3,"1008","","",-300,"<=",-0.558853,"mV","<=",-200,"F",0.231574,***,"",
3,"CONTINUITY","","CONTINUITY",10150,"",1,1,"VOUT4",3,"1008","","",-300,"<=",-0.595093,"mV","<=",-200,"F",0.231574,***,"",
3,"CONTINUITY","","CONTINUITY",10160,"",1,1,"VOUT5",3,"1008","","",-300,"<=",-0.547409,"mV","<=",-200,"F",0.231574,***,"",
3,"CONTINUITY","","CONTINUITY",10170,"",1,1,"VOUT6",3,"1008","","",-300,"<=",-0.494003,"mV","<=",-200,"F",0.231574,***,"",
4,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",4,"1349","","",-500,"<=",-368.897,"mV","<=",-300,"P",0.231574,***,"",
4,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",4,"1349","","",-500,"<=",-2.64376,"mV","<=",-300,"F",0.231574,***,"",
4,"CONTINUITY","","CONTINUITY",10050,"",1,1,"FCB_PS1600",4,"1349","","",-500,"<=",-9.9999e+07,"mV","<=",-300,"F",0.231574,***,"",
4,"CONTINUITY","","CONTINUITY",10090,"",1,1,"ISEN_PS1600",4,"1349","","",-500,"<=",-2.35918,"mV","<=",-300,"F",0.231574,***,"",
