Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",1,"249","","",-500,"<=",-372.766,"mV","<=",-300,"P",0.36633,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",1,"249","","",-500,"<=",-430.249,"mV","<=",-300,"P",0.36633,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",1,1,"FCB_PS1600",1,"249","","",-500,"<=",-373.344,"mV","<=",-300,"P",0.36633,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",1,1,"ISEN_PS1600",1,"249","","",-500,"<=",-361.439,"mV","<=",-300,"P",0.36633,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",1,1,"ITRIP_PS1600",1,"249","","",-500,"<=",-375.849,"mV","<=",-300,"P",0.36633,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",1,1,"OFF_PS1600",1,"249","","",-500,"<=",-367.596,"mV","<=",-300,"P",0.36633,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",1,1,"SS_PS1600",1,"249","","",-500,"<=",-460.668,"mV","<=",-300,"P",0.36633,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",1,1,"VBIAS_PS1600",1,"249","","",-500,"<=",-298.385,"mV","<=",-200,"P",0.36633,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",1,1,"GND_PS1600",1,"249","","",-500,"<=",-377.659,"mV","<=",-300,"P",0.36633,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",1,1,"VIN1",1,"249","","",-360,"<=",-339.664,"mV","<=",-300,"P",0.36633,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",1,1,"VIN2",1,"249","","",-360,"<=",-340.084,"mV","<=",-300,"P",0.36633,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",1,1,"VIN3",1,"249","","",-360,"<=",-339.785,"mV","<=",-300,"P",0.36633,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",1,1,"VIN4_RS1",1,"249","","",-360,"<=",-339.931,"mV","<=",-300,"P",0.36633,***,"",
1,"CONTINUITY","","CONTINUITY",10220,"",1,1,"VIN4_RS2",1,"249","","",-360,"<=",-340.229,"mV","<=",-300,"P",0.36633,***,"",
1,"CONTINUITY","","CONTINUITY",10230,"",1,1,"VIN5_RS1",1,"249","","",-360,"<=",-340.359,"mV","<=",-300,"P",0.36633,***,"",
1,"CONTINUITY","","CONTINUITY",10240,"",1,1,"VIN5_RS2",1,"249","","",-360,"<=",-339.863,"mV","<=",-300,"P",0.36633,***,"",
1,"CONTINUITY","","CONTINUITY",10250,"",1,1,"VIN6",1,"249","","",-360,"<=",-339.838,"mV","<=",-300,"P",0.36633,***,"",
1,"CONTINUITY","","CONTINUITY",10100,"",1,1,"VOUT1",1,"249","","",-300,"<=",-226.732,"mV","<=",-200,"P",0.36633,***,"",
1,"CONTINUITY","","CONTINUITY",10110,"",1,1,"VOUT2_RS1",1,"249","","",-300,"<=",-226.793,"mV","<=",-200,"P",0.36633,***,"",
1,"CONTINUITY","","CONTINUITY",10120,"",1,1,"VOUT2_RS2",1,"249","","",-300,"<=",-226.929,"mV","<=",-200,"P",0.36633,***,"",
1,"CONTINUITY","","CONTINUITY",10130,"",1,1,"VOUT3_RS1",1,"249","","",-300,"<=",-226.673,"mV","<=",-200,"P",0.36633,***,"",
1,"CONTINUITY","","CONTINUITY",10140,"",1,1,"VOUT3_RS2",1,"249","","",-300,"<=",-226.696,"mV","<=",-200,"P",0.36633,***,"",
1,"CONTINUITY","","CONTINUITY",10150,"",1,1,"VOUT4",1,"249","","",-300,"<=",-226.807,"mV","<=",-200,"P",0.36633,***,"",
1,"CONTINUITY","","CONTINUITY",10160,"",1,1,"VOUT5",1,"249","","",-300,"<=",-226.9,"mV","<=",-200,"P",0.36633,***,"",
1,"CONTINUITY","","CONTINUITY",10170,"",1,1,"VOUT6",1,"249","","",-300,"<=",-227.062,"mV","<=",-200,"P",0.36633,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"",1,1,"FAULTB_PS1600",1,"249","","",-200,"<=",-4.36173,"nA","<=",200,"P",0.538117,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20110,"",1,1,"FAULTB_PS1600",1,"249","","",-200,"<=",-4.36173,"nA","<=",200,"P",0.538117,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20020,"",1,1,"ITRIP_PS1600",1,"249","","",-200,"<=",-8.49295,"nA","<=",200,"P",0.538117,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20120,"",1,1,"ITRIP_PS1600",1,"249","","",-200,"<=",-8.49295,"nA","<=",200,"P",0.538117,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20030,"",1,1,"OFF_PS1600",1,"249","","",-200,"<=",-5.61931,"nA","<=",200,"P",0.538117,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20130,"",1,1,"OFF_PS1600",1,"249","","",-200,"<=",-5.61931,"nA","<=",200,"P",0.538117,***,"",
