Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",1,"394","","",-500,"<=",-366.223,"mV","<=",-300,"P",1.22869,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",1,"394","","",-500,"<=",-424.216,"mV","<=",-300,"P",1.22869,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",1,1,"FCB_PS1600",1,"394","","",-500,"<=",-366.173,"mV","<=",-300,"P",1.22869,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",1,1,"ISEN_PS1600",1,"394","","",-500,"<=",-351.08,"mV","<=",-300,"P",1.22869,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",1,1,"ITRIP_PS1600",1,"394","","",-500,"<=",-367.824,"mV","<=",-300,"P",1.22869,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",1,1,"OFF_PS1600",1,"394","","",-500,"<=",-360.254,"mV","<=",-300,"P",1.22869,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",1,1,"SS_PS1600",1,"394","","",-500,"<=",-444.276,"mV","<=",-300,"P",1.22869,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",1,1,"VBIAS_PS1600",1,"394","","",-500,"<=",-295.027,"mV","<=",-200,"P",1.22869,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",1,1,"GND_PS1600",1,"394","","",-500,"<=",-375.61,"mV","<=",-300,"P",1.22869,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",1,1,"VIN1",1,"394","","",-360,"<=",-342.054,"mV","<=",-300,"P",1.22869,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",1,1,"VIN2",1,"394","","",-360,"<=",-343.13,"mV","<=",-300,"P",1.22869,***,"",
