Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",1,"1025","","",-500,"<=",-367.873,"mV","<=",-300,"P",0.140279,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",1,"1025","","",-500,"<=",-426.208,"mV","<=",-300,"P",0.140279,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",1,1,"FCB_PS1600",1,"1025","","",-500,"<=",-368.165,"mV","<=",-300,"P",0.140279,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",1,1,"ISEN_PS1600",1,"1025","","",-500,"<=",-355.405,"mV","<=",-300,"P",0.140279,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",1,1,"ITRIP_PS1600",1,"1025","","",-500,"<=",-370.612,"mV","<=",-300,"P",0.140279,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",1,1,"OFF_PS1600",1,"1025","","",-500,"<=",-361.335,"mV","<=",-300,"P",0.140279,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",1,1,"SS_PS1600",1,"1025","","",-500,"<=",-454.35,"mV","<=",-300,"P",0.140279,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",1,1,"VBIAS_PS1600",1,"1025","","",-500,"<=",-295.937,"mV","<=",-200,"P",0.140279,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",1,1,"GND_PS1600",1,"1025","","",-500,"<=",-364.626,"mV","<=",-300,"P",0.140279,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",1,1,"VIN1",1,"1025","","",-360,"<=",-343.866,"mV","<=",-300,"P",0.140279,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",1,1,"VIN2",1,"1025","","",-360,"<=",-344.296,"mV","<=",-300,"P",0.140279,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",1,1,"VIN3",1,"1025","","",-360,"<=",-344.585,"mV","<=",-300,"P",0.140279,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",1,1,"VIN4_RS1",1,"1025","","",-360,"<=",-344.671,"mV","<=",-300,"P",0.140279,***,"",
1,"CONTINUITY","","CONTINUITY",10220,"",1,1,"VIN4_RS2",1,"1025","","",-360,"<=",-344.481,"mV","<=",-300,"P",0.140279,***,"",
1,"CONTINUITY","","CONTINUITY",10230,"",1,1,"VIN5_RS1",1,"1025","","",-360,"<=",-344.639,"mV","<=",-300,"P",0.140279,***,"",
1,"CONTINUITY","","CONTINUITY",10240,"",1,1,"VIN5_RS2",1,"1025","","",-360,"<=",-344.08,"mV","<=",-300,"P",0.140279,***,"",
1,"CONTINUITY","","CONTINUITY",10250,"",1,1,"VIN6",1,"1025","","",-360,"<=",-344.524,"mV","<=",-300,"P",0.140279,***,"",
1,"CONTINUITY","","CONTINUITY",10100,"",1,1,"VOUT1",1,"1025","","",-300,"<=",-224.581,"mV","<=",-200,"P",0.140279,***,"",
1,"CONTINUITY","","CONTINUITY",10110,"",1,1,"VOUT2_RS1",1,"1025","","",-300,"<=",-224.672,"mV","<=",-200,"P",0.140279,***,"",
1,"CONTINUITY","","CONTINUITY",10120,"",1,1,"VOUT2_RS2",1,"1025","","",-300,"<=",-224.731,"mV","<=",-200,"P",0.140279,***,"",
1,"CONTINUITY","","CONTINUITY",10130,"",1,1,"VOUT3_RS1",1,"1025","","",-300,"<=",-224.575,"mV","<=",-200,"P",0.140279,***,"",
1,"CONTINUITY","","CONTINUITY",10140,"",1,1,"VOUT3_RS2",1,"1025","","",-300,"<=",-224.63,"mV","<=",-200,"P",0.140279,***,"",
1,"CONTINUITY","","CONTINUITY",10150,"",1,1,"VOUT4",1,"1025","","",-300,"<=",-224.684,"mV","<=",-200,"P",0.140279,***,"",
1,"CONTINUITY","","CONTINUITY",10160,"",1,1,"VOUT5",1,"1025","","",-300,"<=",-225.021,"mV","<=",-200,"P",0.140279,***,"",
1,"CONTINUITY","","CONTINUITY",10170,"",1,1,"VOUT6",1,"1025","","",-300,"<=",-224.556,"mV","<=",-200,"P",0.140279,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"",1,1,"FAULTB_PS1600",1,"1025","","",-200,"<=",-5.17423,"nA","<=",200,"P",0.420413,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20110,"",1,1,"FAULTB_PS1600",1,"1025","","",-200,"<=",-5.17423,"nA","<=",200,"P",0.420413,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20020,"",1,1,"ITRIP_PS1600",1,"1025","","",-200,"<=",-9.56042,"nA","<=",200,"P",0.420413,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20120,"",1,1,"ITRIP_PS1600",1,"1025","","",-200,"<=",-9.56042,"nA","<=",200,"P",0.420413,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20030,"",1,1,"OFF_PS1600",1,"1025","","",-200,"<=",-8.12713,"nA","<=",200,"P",0.420413,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20130,"",1,1,"OFF_PS1600",1,"1025","","",-200,"<=",-8.12713,"nA","<=",200,"P",0.420413,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20040,"",1,1,"SS_PS1600",1,"1025","","",-200,"<=",-10.1275,"nA","<=",200,"P",0.420413,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20140,"",1,1,"SS_PS1600",1,"1025","","",-200,"<=",-10.1275,"nA","<=",200,"P",0.420413,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20050,"",1,1,"VIN1",1,"1025","","",10,"<=",299.806,"nA","<=",500,"P",0.420413,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20150,"",1,1,"VIN1",1,"1025","","",-500,"<=",-300.162,"nA","<=",-10,"P",0.420413,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20060,"",1,1,"VOUT1",1,"1025","","",10,"<=",295.793,"nA","<=",500,"P",0.420413,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20160,"",1,1,"VOUT1",1,"1025","","",-500,"<=",-298.231,"nA","<=",-10,"P",0.420413,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20070,"",1,1,"EN0_PS1600",1,"1025","","",300,"<=",501.022,"nA","<=",700,"P",0.420413,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20170,"",1,1,"EN0_PS1600",1,"1025","","",-700,"<=",-504.526,"nA","<=",-300,"P",0.420413,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20080,"",1,1,"FCB_PS1600",1,"1025","","",-200,"<=",-0.717885,"nA","<=",200,"P",0.420413,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20180,"",1,1,"FCB_PS1600",1,"1025","","",-200,"<=",-5.12103,"nA","<=",200,"P",0.420413,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20090,"",1,1,"ISEN_PS1600",1,"1025","","",-200,"<=",0.659821,"nA","<=",200,"P",0.420413,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20190,"",1,1,"ISEN_PS1600",1,"1025","","",-200,"<=",-8.65037,"nA","<=",200,"P",0.420413,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN_VBIAS_PS1600",20100,"",1,1,"VBIAS_PS1600",1,"1025","","",500,"<=",748,"nA","<=",1000,"P",0.420413,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN_VBIAS_PS1600",20200,"",1,1,"VBIAS_PS1600",1,"1025","","",-1000,"<=",-820,"nA","<=",-500,"P",0.420413,***,"",
1,"IVDDFL_IVINFL_RONFL","","RON_200mAVDD_5_VIN_5",90040,"",1,1,"VIN1",1,"1025","","",0.04,"<=",0.0579943,"ohm","<=",0.08,"P",0.0368606,***,"",
1,"IVDDFL_IVINFL_RONFL","","DEVICE_VARIENT_TRUE",90060,"",1,1,"VIN1",1,"1025","","",0.5,"<=",1,"","<=",1.5,"P",0.0368606,***,"",
1,"Fuse_Burn_Check","","BANKA_BIT5_BLOWN_TRUE",1000001,"",1,1,"OFF_PS1600",1,"1025","","",0,"<=",1,"","<=",1,"P",0.104415,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","EN_FCB_LOW_VOUT_LOW",30010,"",1,1,"VOUT4",1,"1025","","",-0.001,"<=",0.000637054,"V","<=",1,"P",0.235294,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","EN_FCB_LOW_OFF_HIGH",30020,"",1,1,"OFF_PS1600",1,"1025","","",1.6,"<=",1.79967,"V","<=",2.3,"P",0.235294,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","FCB_LOW_VOUT_LOW",30030,"",1,1,"VOUT4",1,"1025","","",-0.001,"<=",0.000429153,"V","<=",0.5,"P",0.235294,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","FCB_LOW_OFF_HIGH",30040,"",1,1,"OFF_PS1600",1,"1025","","",1.6,"<=",1.80007,"V","<=",2.3,"P",0.235294,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","EN_LOW_VOUT_LOW",30050,"",1,1,"VOUT4",1,"1025","","",-0.001,"<=",0.00155067,"V","<=",0.5,"P",0.235294,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","EN_LOW_OFF_HIGH",30060,"",1,1,"OFF_PS1600",1,"1025","","",1.6,"<=",1.7995,"V","<=",2.3,"P",0.235294,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","EN_FCB_HIGH_VOUT_HIGH",30070,"",1,1,"VOUT4",1,"1025","","",4.85,"<=",4.9998,"V","<=",5.1,"P",0.235294,***,"",
