Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",1,"92","","",-500,"<=",-421.691,"mV","<=",-300,"P",0.269402,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",1,"92","","",-500,"<=",-507.825,"mV","<=",-300,"F",0.269402,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",1,1,"FCB_PS1600",1,"92","","",-500,"<=",-421.838,"mV","<=",-300,"P",0.269402,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",1,1,"ISEN_PS1600",1,"92","","",-500,"<=",-412.321,"mV","<=",-300,"P",0.269402,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",1,1,"ITRIP_PS1600",1,"92","","",-500,"<=",-423.021,"mV","<=",-300,"P",0.269402,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",1,1,"OFF_PS1600",1,"92","","",-500,"<=",-418.695,"mV","<=",-300,"P",0.269402,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",1,1,"SS_PS1600",1,"92","","",-500,"<=",-512.791,"mV","<=",-300,"F",0.269402,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",1,1,"VBIAS_PS1600",1,"92","","",-500,"<=",-337.705,"mV","<=",-200,"P",0.269402,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",1,1,"GND_PS1600",1,"92","","",-500,"<=",-382.668,"mV","<=",-300,"P",0.269402,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",1,1,"VIN1",1,"92","","",-360,"<=",-380.671,"mV","<=",-300,"F",0.269402,***,"",
1,"CONTINUITY","","MOULD_RES",10340,"",1,1,"VIN1",1,"92","","",0,"<=",0.430213,"ohm","<=",20,"P",0.269402,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",1,1,"VIN2",1,"92","","",-360,"<=",-381.05,"mV","<=",-300,"F",0.269402,***,"",
1,"CONTINUITY","","MOULD_RES",10350,"",1,1,"VIN2",1,"92","","",0,"<=",0.0466244,"ohm","<=",20,"P",0.269402,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",1,1,"VIN3",1,"92","","",-360,"<=",-381.054,"mV","<=",-300,"F",0.269402,***,"",
1,"CONTINUITY","","MOULD_RES",10360,"",1,1,"VIN3",1,"92","","",0,"<=",0.311534,"ohm","<=",20,"P",0.269402,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",1,1,"VIN4_RS1",1,"92","","",-360,"<=",-381.037,"mV","<=",-300,"F",0.269402,***,"",
1,"CONTINUITY","","MOULD_RES",10370,"",1,1,"VIN4_RS1",1,"92","","",0,"<=",0.222524,"ohm","<=",20,"P",0.269402,***,"",
1,"CONTINUITY","","CONTINUITY",10220,"",1,1,"VIN4_RS2",1,"92","","",-360,"<=",-381.109,"mV","<=",-300,"F",0.269402,***,"",
1,"CONTINUITY","","MOULD_RES",10380,"",1,1,"VIN4_RS2",1,"92","","",0,"<=",0.256432,"ohm","<=",20,"P",0.269402,***,"",
1,"CONTINUITY","","CONTINUITY",10230,"",1,1,"VIN5_RS1",1,"92","","",-360,"<=",-380.856,"mV","<=",-300,"F",0.269402,***,"",
1,"CONTINUITY","","MOULD_RES",10390,"",1,1,"VIN5_RS1",1,"92","","",0,"<=",0.76082,"ohm","<=",20,"P",0.269402,***,"",
1,"CONTINUITY","","CONTINUITY",10240,"",1,1,"VIN5_RS2",1,"92","","",-360,"<=",-380.863,"mV","<=",-300,"F",0.269402,***,"",
1,"CONTINUITY","","MOULD_RES",10400,"",1,1,"VIN5_RS2",1,"92","","",0,"<=",0.173781,"ohm","<=",20,"P",0.269402,***,"",
1,"CONTINUITY","","CONTINUITY",10250,"",1,1,"VIN6",1,"92","","",-360,"<=",-380.842,"mV","<=",-300,"F",0.269402,***,"",
1,"CONTINUITY","","MOULD_RES",10410,"",1,1,"VIN6",1,"92","","",0,"<=",0.938839,"ohm","<=",20,"P",0.269402,***,"",
1,"CONTINUITY","","CONTINUITY",10100,"",1,1,"VOUT1",1,"92","","",-300,"<=",-287.655,"mV","<=",-200,"P",0.269402,***,"",
1,"CONTINUITY","","MOULD_RES",10260,"",1,1,"VOUT1",1,"92","","",0,"<=",0.112322,"ohm","<=",20,"P",0.269402,***,"",
1,"CONTINUITY","","CONTINUITY",10110,"",1,1,"VOUT2_RS1",1,"92","","",-300,"<=",-287.355,"mV","<=",-200,"P",0.269402,***,"",
1,"CONTINUITY","","MOULD_RES",10270,"",1,1,"VOUT2_RS1",1,"92","","",0,"<=",0.574323,"ohm","<=",20,"P",0.269402,***,"",
1,"CONTINUITY","","CONTINUITY",10120,"",1,1,"VOUT2_RS2",1,"92","","",-300,"<=",-287.355,"mV","<=",-200,"P",0.269402,***,"",
1,"CONTINUITY","","MOULD_RES",10280,"",1,1,"VOUT2_RS2",1,"92","","",0,"<=",0.540416,"ohm","<=",20,"P",0.269402,***,"",
1,"CONTINUITY","","CONTINUITY",10130,"",1,1,"VOUT3_RS1",1,"92","","",-300,"<=",-287.018,"mV","<=",-200,"P",0.269402,***,"",
1,"CONTINUITY","","MOULD_RES",10290,"",1,1,"VOUT3_RS1",1,"92","","",0,"<=",0.425974,"ohm","<=",20,"P",0.269402,***,"",
1,"CONTINUITY","","CONTINUITY",10140,"",1,1,"VOUT3_RS2",1,"92","","",-300,"<=",-287.287,"mV","<=",-200,"P",0.269402,***,"",
1,"CONTINUITY","","MOULD_RES",10300,"",1,1,"VOUT3_RS2",1,"92","","",0,"<=",1.09143,"ohm","<=",20,"P",0.269402,***,"",
1,"CONTINUITY","","CONTINUITY",10150,"",1,1,"VOUT4",1,"92","","",-300,"<=",-287.327,"mV","<=",-200,"P",0.269402,***,"",
1,"CONTINUITY","","MOULD_RES",10310,"",1,1,"VOUT4",1,"92","","",0,"<=",0.1759,"ohm","<=",20,"P",0.269402,***,"",
1,"CONTINUITY","","CONTINUITY",10160,"",1,1,"VOUT5",1,"92","","",-300,"<=",-287.413,"mV","<=",-200,"P",0.269402,***,"",
1,"CONTINUITY","","MOULD_RES",10320,"",1,1,"VOUT5",1,"92","","",0,"<=",0.695123,"ohm","<=",20,"P",0.269402,***,"",
