Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",1,"50","","",-500,"<=",-361.786,"mV","<=",-300,"P",0.153682,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",1,"50","","",-500,"<=",-416.931,"mV","<=",-300,"P",0.153682,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",1,1,"FCB_PS1600",1,"50","","",-500,"<=",-362.473,"mV","<=",-300,"P",0.153682,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",1,1,"ISEN_PS1600",1,"50","","",-500,"<=",-346.925,"mV","<=",-300,"P",0.153682,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",1,1,"ITRIP_PS1600",1,"50","","",-500,"<=",-364.01,"mV","<=",-300,"P",0.153682,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",1,1,"OFF_PS1600",1,"50","","",-500,"<=",-356.839,"mV","<=",-300,"P",0.153682,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",1,1,"SS_PS1600",1,"50","","",-500,"<=",-444.503,"mV","<=",-300,"P",0.153682,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",1,1,"VBIAS_PS1600",1,"50","","",-500,"<=",-297.189,"mV","<=",-200,"P",0.153682,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",1,1,"GND_PS1600",1,"50","","",-500,"<=",-369.577,"mV","<=",-300,"P",0.153682,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",1,1,"VIN1",1,"50","","",-360,"<=",-342.264,"mV","<=",-300,"P",0.153682,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",1,1,"VIN2",1,"50","","",-360,"<=",-342.966,"mV","<=",-300,"P",0.153682,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",1,1,"VIN3",1,"50","","",-360,"<=",-342.943,"mV","<=",-300,"P",0.153682,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",1,1,"VIN4_RS1",1,"50","","",-360,"<=",-342.995,"mV","<=",-300,"P",0.153682,***,"",
1,"CONTINUITY","","CONTINUITY",10220,"",1,1,"VIN4_RS2",1,"50","","",-360,"<=",-343.121,"mV","<=",-300,"P",0.153682,***,"",
1,"CONTINUITY","","CONTINUITY",10230,"",1,1,"VIN5_RS1",1,"50","","",-360,"<=",-342.81,"mV","<=",-300,"P",0.153682,***,"",
1,"CONTINUITY","","CONTINUITY",10240,"",1,1,"VIN5_RS2",1,"50","","",-360,"<=",-343.092,"mV","<=",-300,"P",0.153682,***,"",
1,"CONTINUITY","","CONTINUITY",10250,"",1,1,"VIN6",1,"50","","",-360,"<=",-343.132,"mV","<=",-300,"P",0.153682,***,"",
1,"CONTINUITY","","CONTINUITY",10100,"",1,1,"VOUT1",1,"50","","",-300,"<=",-226,"mV","<=",-200,"P",0.153682,***,"",
1,"CONTINUITY","","CONTINUITY",10110,"",1,1,"VOUT2_RS1",1,"50","","",-300,"<=",-225.815,"mV","<=",-200,"P",0.153682,***,"",
1,"CONTINUITY","","CONTINUITY",10120,"",1,1,"VOUT2_RS2",1,"50","","",-300,"<=",-225.979,"mV","<=",-200,"P",0.153682,***,"",
1,"CONTINUITY","","CONTINUITY",10130,"",1,1,"VOUT3_RS1",1,"50","","",-300,"<=",-225.952,"mV","<=",-200,"P",0.153682,***,"",
1,"CONTINUITY","","CONTINUITY",10140,"",1,1,"VOUT3_RS2",1,"50","","",-300,"<=",-225.836,"mV","<=",-200,"P",0.153682,***,"",
1,"CONTINUITY","","CONTINUITY",10150,"",1,1,"VOUT4",1,"50","","",-300,"<=",-225.897,"mV","<=",-200,"P",0.153682,***,"",
1,"CONTINUITY","","CONTINUITY",10160,"",1,1,"VOUT5",1,"50","","",-300,"<=",-225.754,"mV","<=",-200,"P",0.153682,***,"",
