Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",1,"80","","",-500,"<=",-372.311,"mV","<=",-300,"P",0.402617,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",1,"80","","",-500,"<=",-433.323,"mV","<=",-300,"P",0.402617,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",1,1,"FCB_PS1600",1,"80","","",-500,"<=",-373.003,"mV","<=",-300,"P",0.402617,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",1,1,"ISEN_PS1600",1,"80","","",-500,"<=",-360.642,"mV","<=",-300,"P",0.402617,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",1,1,"ITRIP_PS1600",1,"80","","",-500,"<=",-374.084,"mV","<=",-300,"P",0.402617,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",1,1,"OFF_PS1600",1,"80","","",-500,"<=",-366.514,"mV","<=",-300,"P",0.402617,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",1,1,"SS_PS1600",1,"80","","",-500,"<=",-467.1,"mV","<=",-300,"P",0.402617,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",1,1,"VBIAS_PS1600",1,"80","","",-500,"<=",-297.645,"mV","<=",-200,"P",0.402617,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",1,1,"GND_PS1600",1,"80","","",-500,"<=",-367.87,"mV","<=",-300,"P",0.402617,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",1,1,"VIN1",1,"80","","",-360,"<=",-332.024,"mV","<=",-300,"P",0.402617,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",1,1,"VIN2",1,"80","","",-360,"<=",-333.672,"mV","<=",-300,"P",0.402617,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",1,1,"VIN3",1,"80","","",-360,"<=",-333.647,"mV","<=",-300,"P",0.402617,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",1,1,"VIN4_RS1",1,"80","","",-360,"<=",-333.702,"mV","<=",-300,"P",0.402617,***,"",
1,"CONTINUITY","","CONTINUITY",10220,"",1,1,"VIN4_RS2",1,"80","","",-360,"<=",-333.321,"mV","<=",-300,"P",0.402617,***,"",
1,"CONTINUITY","","CONTINUITY",10230,"",1,1,"VIN5_RS1",1,"80","","",-360,"<=",-333.757,"mV","<=",-300,"P",0.402617,***,"",
1,"CONTINUITY","","CONTINUITY",10240,"",1,1,"VIN5_RS2",1,"80","","",-360,"<=",-333.321,"mV","<=",-300,"P",0.402617,***,"",
1,"CONTINUITY","","CONTINUITY",10250,"",1,1,"VIN6",1,"80","","",-360,"<=",-333.361,"mV","<=",-300,"P",0.402617,***,"",
1,"CONTINUITY","","CONTINUITY",10100,"",1,1,"VOUT1",1,"80","","",-300,"<=",-225.201,"mV","<=",-200,"P",0.402617,***,"",
1,"CONTINUITY","","CONTINUITY",10110,"",1,1,"VOUT2_RS1",1,"80","","",-300,"<=",-225.113,"mV","<=",-200,"P",0.402617,***,"",
1,"CONTINUITY","","CONTINUITY",10120,"",1,1,"VOUT2_RS2",1,"80","","",-300,"<=",-224.977,"mV","<=",-200,"P",0.402617,***,"",
1,"CONTINUITY","","CONTINUITY",10130,"",1,1,"VOUT3_RS1",1,"80","","",-300,"<=",-224.798,"mV","<=",-200,"P",0.402617,***,"",
1,"CONTINUITY","","CONTINUITY",10140,"",1,1,"VOUT3_RS2",1,"80","","",-300,"<=",-225.159,"mV","<=",-200,"P",0.402617,***,"",
1,"CONTINUITY","","CONTINUITY",10150,"",1,1,"VOUT4",1,"80","","",-300,"<=",-225.239,"mV","<=",-200,"P",0.402617,***,"",
1,"CONTINUITY","","CONTINUITY",10160,"",1,1,"VOUT5",1,"80","","",-300,"<=",-224.979,"mV","<=",-200,"P",0.402617,***,"",
1,"CONTINUITY","","CONTINUITY",10170,"",1,1,"VOUT6",1,"80","","",-300,"<=",-225.185,"mV","<=",-200,"P",0.402617,***,"",
