Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",1,"438","","",-500,"<=",-360.876,"mV","<=",-300,"P",0.134738,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",1,"438","","",-500,"<=",-421.143,"mV","<=",-300,"P",0.134738,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",1,1,"FCB_PS1600",1,"438","","",-550,"<=",-518.654,"mV","<=",-300,"P",0.134738,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",1,1,"ISEN_PS1600",1,"438","","",-500,"<=",-347.893,"mV","<=",-300,"P",0.134738,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",1,1,"ITRIP_PS1600",1,"438","","",-500,"<=",-363.032,"mV","<=",-300,"P",0.134738,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",1,1,"OFF_PS1600",1,"438","","",-500,"<=",-356.088,"mV","<=",-300,"P",0.134738,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",1,1,"SS_PS1600",1,"438","","",-500,"<=",-457.98,"mV","<=",-300,"P",0.134738,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",1,1,"VBIAS_PS1600",1,"438","","",-500,"<=",-299.059,"mV","<=",-200,"P",0.134738,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",1,1,"GND_PS1600",1,"438","","",-500,"<=",-360.756,"mV","<=",-300,"P",0.134738,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",1,1,"VIN1",1,"438","","",-360,"<=",-337.103,"mV","<=",-300,"P",0.134738,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",1,1,"VIN2",1,"438","","",-360,"<=",-337.437,"mV","<=",-300,"P",0.134738,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",1,1,"VIN3",1,"438","","",-360,"<=",-337.259,"mV","<=",-300,"P",0.134738,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",1,1,"VIN4_RS1",1,"438","","",-360,"<=",-337.515,"mV","<=",-300,"P",0.134738,***,"",
1,"CONTINUITY","","CONTINUITY",10220,"",1,1,"VIN4_RS2",1,"438","","",-360,"<=",-337.446,"mV","<=",-300,"P",0.134738,***,"",
1,"CONTINUITY","","CONTINUITY",10230,"",1,1,"VIN5_RS1",1,"438","","",-360,"<=",-337.461,"mV","<=",-300,"P",0.134738,***,"",
1,"CONTINUITY","","CONTINUITY",10240,"",1,1,"VIN5_RS2",1,"438","","",-360,"<=",-337.488,"mV","<=",-300,"P",0.134738,***,"",
1,"CONTINUITY","","CONTINUITY",10250,"",1,1,"VIN6",1,"438","","",-360,"<=",-337.196,"mV","<=",-300,"P",0.134738,***,"",
1,"CONTINUITY","","CONTINUITY",10100,"",1,1,"VOUT1",1,"438","","",-300,"<=",-226.936,"mV","<=",-200,"P",0.134738,***,"",
1,"CONTINUITY","","CONTINUITY",10110,"",1,1,"VOUT2_RS1",1,"438","","",-300,"<=",-226.892,"mV","<=",-200,"P",0.134738,***,"",
1,"CONTINUITY","","CONTINUITY",10120,"",1,1,"VOUT2_RS2",1,"438","","",-300,"<=",-226.53,"mV","<=",-200,"P",0.134738,***,"",
1,"CONTINUITY","","CONTINUITY",10130,"",1,1,"VOUT3_RS1",1,"438","","",-300,"<=",-226.824,"mV","<=",-200,"P",0.134738,***,"",
1,"CONTINUITY","","CONTINUITY",10140,"",1,1,"VOUT3_RS2",1,"438","","",-300,"<=",-226.955,"mV","<=",-200,"P",0.134738,***,"",
1,"CONTINUITY","","CONTINUITY",10150,"",1,1,"VOUT4",1,"438","","",-300,"<=",-226.614,"mV","<=",-200,"P",0.134738,***,"",
