Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",1,"343","","",-500,"<=",-367.475,"mV","<=",-300,"P",0.335755,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",1,"343","","",-500,"<=",-420.232,"mV","<=",-300,"P",0.335755,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",1,1,"FCB_PS1600",1,"343","","",-500,"<=",-367.539,"mV","<=",-300,"P",0.335755,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",1,1,"ISEN_PS1600",1,"343","","",-500,"<=",-354.438,"mV","<=",-300,"P",0.335755,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",1,1,"ITRIP_PS1600",1,"343","","",-500,"<=",-369.246,"mV","<=",-300,"P",0.335755,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",1,1,"OFF_PS1600",1,"343","","",-500,"<=",-360.937,"mV","<=",-300,"P",0.335755,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",1,1,"SS_PS1600",1,"343","","",-500,"<=",-447.634,"mV","<=",-300,"P",0.335755,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",1,1,"VBIAS_PS1600",1,"343","","",-500,"<=",-294.344,"mV","<=",-200,"P",0.335755,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",1,1,"GND_PS1600",1,"343","","",-500,"<=",-363.601,"mV","<=",-300,"P",0.335755,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",1,1,"VIN1",1,"343","","",-360,"<=",-344.248,"mV","<=",-300,"P",0.335755,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",1,1,"VIN2",1,"343","","",-360,"<=",-345.022,"mV","<=",-300,"P",0.335755,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",1,1,"VIN3",1,"343","","",-360,"<=",-345.024,"mV","<=",-300,"P",0.335755,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",1,1,"VIN4_RS1",1,"343","","",-360,"<=",-345.127,"mV","<=",-300,"P",0.335755,***,"",
1,"CONTINUITY","","CONTINUITY",10220,"",1,1,"VIN4_RS2",1,"343","","",-360,"<=",-344.41,"mV","<=",-300,"P",0.335755,***,"",
1,"CONTINUITY","","CONTINUITY",10230,"",1,1,"VIN5_RS1",1,"343","","",-360,"<=",-345.133,"mV","<=",-300,"P",0.335755,***,"",
1,"CONTINUITY","","CONTINUITY",10240,"",1,1,"VIN5_RS2",1,"343","","",-360,"<=",-344.732,"mV","<=",-300,"P",0.335755,***,"",
1,"CONTINUITY","","CONTINUITY",10250,"",1,1,"VIN6",1,"343","","",-360,"<=",-345.295,"mV","<=",-300,"P",0.335755,***,"",
1,"CONTINUITY","","CONTINUITY",10100,"",1,1,"VOUT1",1,"343","","",-300,"<=",-225.266,"mV","<=",-200,"P",0.335755,***,"",
1,"CONTINUITY","","CONTINUITY",10110,"",1,1,"VOUT2_RS1",1,"343","","",-300,"<=",-225.395,"mV","<=",-200,"P",0.335755,***,"",
1,"CONTINUITY","","CONTINUITY",10120,"",1,1,"VOUT2_RS2",1,"343","","",-300,"<=",-225.401,"mV","<=",-200,"P",0.335755,***,"",
1,"CONTINUITY","","CONTINUITY",10130,"",1,1,"VOUT3_RS1",1,"343","","",-300,"<=",-225.338,"mV","<=",-200,"P",0.335755,***,"",
1,"CONTINUITY","","CONTINUITY",10140,"",1,1,"VOUT3_RS2",1,"343","","",-300,"<=",-225.55,"mV","<=",-200,"P",0.335755,***,"",
1,"CONTINUITY","","CONTINUITY",10150,"",1,1,"VOUT4",1,"343","","",-300,"<=",-225.527,"mV","<=",-200,"P",0.335755,***,"",
1,"CONTINUITY","","CONTINUITY",10160,"",1,1,"VOUT5",1,"343","","",-300,"<=",-225.288,"mV","<=",-200,"P",0.335755,***,"",
1,"CONTINUITY","","CONTINUITY",10170,"",1,1,"VOUT6",1,"343","","",-300,"<=",-225.418,"mV","<=",-200,"P",0.335755,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"",1,1,"FAULTB_PS1600",1,"343","","",-200,"<=",-5.5297,"nA","<=",200,"P",0.504176,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20110,"",1,1,"FAULTB_PS1600",1,"343","","",-200,"<=",-5.5297,"nA","<=",200,"P",0.504176,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20020,"",1,1,"ITRIP_PS1600",1,"343","","",-200,"<=",-10.3229,"nA","<=",200,"P",0.504176,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20120,"",1,1,"ITRIP_PS1600",1,"343","","",-200,"<=",-10.3229,"nA","<=",200,"P",0.504176,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20030,"",1,1,"OFF_PS1600",1,"343","","",-200,"<=",-8.07595,"nA","<=",200,"P",0.504176,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20130,"",1,1,"OFF_PS1600",1,"343","","",-200,"<=",-8.07595,"nA","<=",200,"P",0.504176,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20040,"",1,1,"SS_PS1600",1,"343","","",-200,"<=",-10.3318,"nA","<=",200,"P",0.504176,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20140,"",1,1,"SS_PS1600",1,"343","","",-200,"<=",-10.3318,"nA","<=",200,"P",0.504176,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20050,"",1,1,"VIN1",1,"343","","",10,"<=",296.965,"nA","<=",500,"P",0.504176,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20150,"",1,1,"VIN1",1,"343","","",-500,"<=",-297.448,"nA","<=",-10,"P",0.504176,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20060,"",1,1,"VOUT1",1,"343","","",10,"<=",302.494,"nA","<=",500,"P",0.504176,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20160,"",1,1,"VOUT1",1,"343","","",-500,"<=",-299.922,"nA","<=",-10,"P",0.504176,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20070,"",1,1,"EN0_PS1600",1,"343","","",300,"<=",500.509,"nA","<=",700,"P",0.504176,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20170,"",1,1,"EN0_PS1600",1,"343","","",-700,"<=",-504.68,"nA","<=",-300,"P",0.504176,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20080,"",1,1,"FCB_PS1600",1,"343","","",-200,"<=",0.599592,"nA","<=",200,"P",0.504176,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20180,"",1,1,"FCB_PS1600",1,"343","","",-200,"<=",-5.47574,"nA","<=",200,"P",0.504176,***,"",
