Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",1,"1395","","",-500,"<=",-362.127,"mV","<=",-300,"P",1.39412,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",1,"1395","","",-500,"<=",-426.72,"mV","<=",-300,"P",1.39412,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",1,1,"FCB_PS1600",1,"1395","","",-500,"<=",-362.189,"mV","<=",-300,"P",1.39412,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",1,1,"ISEN_PS1600",1,"1395","","",-500,"<=",-348.291,"mV","<=",-300,"P",1.39412,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",1,1,"ITRIP_PS1600",1,"1395","","",-500,"<=",-364.455,"mV","<=",-300,"P",1.39412,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",1,1,"OFF_PS1600",1,"1395","","",-500,"<=",-358.137,"mV","<=",-300,"P",1.39412,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",1,1,"SS_PS1600",1,"1395","","",-500,"<=",-459.175,"mV","<=",-300,"P",1.39412,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",1,1,"VBIAS_PS1600",1,"1395","","",-500,"<=",-300.653,"mV","<=",-200,"P",1.39412,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",1,1,"GND_PS1600",1,"1395","","",-500,"<=",-356.828,"mV","<=",-300,"P",1.39412,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",1,1,"VIN1",1,"1395","","",-360,"<=",-336.937,"mV","<=",-300,"P",1.39412,***,"",
1,"CONTINUITY","","MOULD_RES",10340,"",1,1,"VIN1",1,"1395","","",0,"<=",0.135633,"ohm","<=",20,"P",1.39412,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",1,1,"VIN2",1,"1395","","",-360,"<=",-337.112,"mV","<=",-300,"P",1.39412,***,"",
1,"CONTINUITY","","MOULD_RES",10350,"",1,1,"VIN2",1,"1395","","",0,"<=",0.103844,"ohm","<=",20,"P",1.39412,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",1,1,"VIN3",1,"1395","","",-360,"<=",-337.193,"mV","<=",-300,"P",1.39412,***,"",
1,"CONTINUITY","","MOULD_RES",10360,"",1,1,"VIN3",1,"1395","","",0,"<=",0.49803,"ohm","<=",20,"P",1.39412,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",1,1,"VIN4_RS1",1,"1395","","",-360,"<=",-336.996,"mV","<=",-300,"P",1.39412,***,"",
1,"CONTINUITY","","MOULD_RES",10370,"",1,1,"VIN4_RS1",1,"1395","","",0,"<=",0.150469,"ohm","<=",20,"P",1.39412,***,"",
1,"CONTINUITY","","CONTINUITY",10220,"",1,1,"VIN4_RS2",1,"1395","","",-360,"<=",-336.87,"mV","<=",-300,"P",1.39412,***,"",
1,"CONTINUITY","","MOULD_RES",10380,"",1,1,"VIN4_RS2",1,"1395","","",0,"<=",0.419617,"ohm","<=",20,"P",1.39412,***,"",
1,"CONTINUITY","","CONTINUITY",10230,"",1,1,"VIN5_RS1",1,"1395","","",-360,"<=",-337.04,"mV","<=",-300,"P",1.39412,***,"",
1,"CONTINUITY","","MOULD_RES",10390,"",1,1,"VIN5_RS1",1,"1395","","",0,"<=",0.697242,"ohm","<=",20,"P",1.39412,***,"",
1,"CONTINUITY","","CONTINUITY",10240,"",1,1,"VIN5_RS2",1,"1395","","",-360,"<=",-336.927,"mV","<=",-300,"P",1.39412,***,"",
1,"CONTINUITY","","MOULD_RES",10400,"",1,1,"VIN5_RS2",1,"1395","","",0,"<=",0.269148,"ohm","<=",20,"P",1.39412,***,"",
1,"CONTINUITY","","CONTINUITY",10250,"",1,1,"VIN6",1,"1395","","",-360,"<=",-336.884,"mV","<=",-300,"P",1.39412,***,"",
