Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",1,"1069","","",-500,"<=",-369.58,"mV","<=",-300,"P",1.38293,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",1,"1069","","",-500,"<=",-429.452,"mV","<=",-300,"P",1.38293,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",1,1,"FCB_PS1600",1,"1069","","",-500,"<=",-369.417,"mV","<=",-300,"P",1.38293,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",1,1,"ISEN_PS1600",1,"1069","","",-500,"<=",-357.284,"mV","<=",-300,"P",1.38293,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",1,1,"ITRIP_PS1600",1,"1069","","",-500,"<=",-372.48,"mV","<=",-300,"P",1.38293,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",1,1,"OFF_PS1600",1,"1069","","",-500,"<=",-364.284,"mV","<=",-300,"P",1.38293,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",1,1,"SS_PS1600",1,"1069","","",-500,"<=",-463.387,"mV","<=",-300,"P",1.38293,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",1,1,"VBIAS_PS1600",1,"1069","","",-500,"<=",-293.254,"mV","<=",-200,"P",1.38293,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",1,1,"GND_PS1600",1,"1069","","",-500,"<=",-357.227,"mV","<=",-300,"P",1.38293,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",1,1,"VIN1",1,"1069","","",-360,"<=",-330.246,"mV","<=",-300,"P",1.38293,***,"",
1,"CONTINUITY","","MOULD_RES",10340,"",1,1,"VIN1",1,"1069","","",0,"<=",0.08689,"ohm","<=",20,"P",1.38293,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",1,1,"VIN2",1,"1069","","",-360,"<=",-330.442,"mV","<=",-300,"P",1.38293,***,"",
1,"CONTINUITY","","MOULD_RES",10350,"",1,1,"VIN2",1,"1069","","",0,"<=",0.243717,"ohm","<=",20,"P",1.38293,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",1,1,"VIN3",1,"1069","","",-360,"<=",-330.191,"mV","<=",-300,"P",1.38293,***,"",
1,"CONTINUITY","","MOULD_RES",10360,"",1,1,"VIN3",1,"1069","","",0,"<=",0.220404,"ohm","<=",20,"P",1.38293,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",1,1,"VIN4_RS1",1,"1069","","",-360,"<=",-330.063,"mV","<=",-300,"P",1.38293,***,"",
1,"CONTINUITY","","MOULD_RES",10370,"",1,1,"VIN4_RS1",1,"1069","","",0,"<=",0.00211889,"ohm","<=",20,"P",1.38293,***,"",
1,"CONTINUITY","","CONTINUITY",10220,"",1,1,"VIN4_RS2",1,"1069","","",-360,"<=",-330.107,"mV","<=",-300,"P",1.38293,***,"",
1,"CONTINUITY","","MOULD_RES",10380,"",1,1,"VIN4_RS2",1,"1069","","",0,"<=",0.0508622,"ohm","<=",20,"P",1.38293,***,"",
1,"CONTINUITY","","CONTINUITY",10230,"",1,1,"VIN5_RS1",1,"1069","","",-360,"<=",-330.351,"mV","<=",-300,"P",1.38293,***,"",
1,"CONTINUITY","","MOULD_RES",10390,"",1,1,"VIN5_RS1",1,"1069","","",0,"<=",0.462002,"ohm","<=",20,"P",1.38293,***,"",
1,"CONTINUITY","","CONTINUITY",10240,"",1,1,"VIN5_RS2",1,"1069","","",-360,"<=",-330.526,"mV","<=",-300,"P",1.38293,***,"",
1,"CONTINUITY","","MOULD_RES",10400,"",1,1,"VIN5_RS2",1,"1069","","",0,"<=",0.20345,"ohm","<=",20,"P",1.38293,***,"",
1,"CONTINUITY","","CONTINUITY",10250,"",1,1,"VIN6",1,"1069","","",-360,"<=",-330.416,"mV","<=",-300,"P",1.38293,***,"",
1,"CONTINUITY","","MOULD_RES",10410,"",1,1,"VIN6",1,"1069","","",0,"<=",0.228882,"ohm","<=",20,"P",1.38293,***,"",
1,"CONTINUITY","","CONTINUITY",10100,"",1,1,"VOUT1",1,"1069","","",-300,"<=",-221.02,"mV","<=",-200,"P",1.38293,***,"",
1,"CONTINUITY","","MOULD_RES",10260,"",1,1,"VOUT1",1,"1069","","",0,"<=",0.0508633,"ohm","<=",20,"P",1.38293,***,"",
1,"CONTINUITY","","CONTINUITY",10110,"",1,1,"VOUT2_RS1",1,"1069","","",-300,"<=",-221.09,"mV","<=",-200,"P",1.38293,***,"",
1,"CONTINUITY","","MOULD_RES",10270,"",1,1,"VOUT2_RS1",1,"1069","","",0,"<=",0.169542,"ohm","<=",20,"P",1.38293,***,"",
1,"CONTINUITY","","CONTINUITY",10120,"",1,1,"VOUT2_RS2",1,"1069","","",-300,"<=",-221.003,"mV","<=",-200,"P",1.38293,***,"",
