Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",1,"1107","","",-500,"<=",-369.694,"mV","<=",-300,"P",0.422482,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",1,"1107","","",-500,"<=",-426.777,"mV","<=",-300,"P",0.422482,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",1,1,"FCB_PS1600",1,"1107","","",-500,"<=",-369.246,"mV","<=",-300,"P",0.422482,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",1,1,"ISEN_PS1600",1,"1107","","",-500,"<=",-358.081,"mV","<=",-300,"P",0.422482,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",1,1,"ITRIP_PS1600",1,"1107","","",-500,"<=",-372.423,"mV","<=",-300,"P",0.422482,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",1,1,"OFF_PS1600",1,"1107","","",-500,"<=",-363.715,"mV","<=",-300,"P",0.422482,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",1,1,"SS_PS1600",1,"1107","","",-500,"<=",-452.63,"mV","<=",-300,"P",0.422482,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",1,1,"VBIAS_PS1600",1,"1107","","",-500,"<=",-300.084,"mV","<=",-200,"P",0.422482,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",1,1,"GND_PS1600",1,"1107","","",-500,"<=",-362.178,"mV","<=",-300,"P",0.422482,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",1,1,"VIN1",1,"1107","","",-360,"<=",-343.174,"mV","<=",-300,"P",0.422482,***,"",
1,"CONTINUITY","","MOULD_RES",10340,"",1,1,"VIN1",1,"1107","","",0,"<=",0.58492,"ohm","<=",20,"P",0.422482,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",1,1,"VIN2",1,"1107","","",-360,"<=",-343.611,"mV","<=",-300,"P",0.422482,***,"",
1,"CONTINUITY","","MOULD_RES",10350,"",1,1,"VIN2",1,"1107","","",0,"<=",0.459882,"ohm","<=",20,"P",0.422482,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",1,1,"VIN3",1,"1107","","",-360,"<=",-344.057,"mV","<=",-300,"P",0.422482,***,"",
1,"CONTINUITY","","MOULD_RES",10360,"",1,1,"VIN3",1,"1107","","",0,"<=",0.650618,"ohm","<=",20,"P",0.422482,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",1,1,"VIN4_RS1",1,"1107","","",-360,"<=",-343.845,"mV","<=",-300,"P",0.422482,***,"",
1,"CONTINUITY","","MOULD_RES",10370,"",1,1,"VIN4_RS1",1,"1107","","",0,"<=",0.334846,"ohm","<=",20,"P",0.422482,***,"",
1,"CONTINUITY","","CONTINUITY",10220,"",1,1,"VIN4_RS2",1,"1107","","",-360,"<=",-343.727,"mV","<=",-300,"P",0.422482,***,"",
1,"CONTINUITY","","MOULD_RES",10380,"",1,1,"VIN4_RS2",1,"1107","","",0,"<=",0.551011,"ohm","<=",20,"P",0.422482,***,"",
1,"CONTINUITY","","CONTINUITY",10230,"",1,1,"VIN5_RS1",1,"1107","","",-360,"<=",-343.842,"mV","<=",-300,"P",0.422482,***,"",
1,"CONTINUITY","","MOULD_RES",10390,"",1,1,"VIN5_RS1",1,"1107","","",0,"<=",0.665453,"ohm","<=",20,"P",0.422482,***,"",
1,"CONTINUITY","","CONTINUITY",10240,"",1,1,"VIN5_RS2",1,"1107","","",-360,"<=",-343.977,"mV","<=",-300,"P",0.422482,***,"",
1,"CONTINUITY","","MOULD_RES",10400,"",1,1,"VIN5_RS2",1,"1107","","",0,"<=",0.347561,"ohm","<=",20,"P",0.422482,***,"",
1,"CONTINUITY","","CONTINUITY",10250,"",1,1,"VIN6",1,"1107","","",-360,"<=",-343.87,"mV","<=",-300,"P",0.422482,***,"",
1,"CONTINUITY","","MOULD_RES",10410,"",1,1,"VIN6",1,"1107","","",0,"<=",0.485314,"ohm","<=",20,"P",0.422482,***,"",
1,"CONTINUITY","","CONTINUITY",10100,"",1,1,"VOUT1",1,"1107","","",-300,"<=",-225.716,"mV","<=",-200,"P",0.422482,***,"",
1,"CONTINUITY","","MOULD_RES",10260,"",1,1,"VOUT1",1,"1107","","",0,"<=",0.0360278,"ohm","<=",20,"P",0.422482,***,"",
1,"CONTINUITY","","CONTINUITY",10110,"",1,1,"VOUT2_RS1",1,"1107","","",-300,"<=",-225.857,"mV","<=",-200,"P",0.422482,***,"",
1,"CONTINUITY","","MOULD_RES",10270,"",1,1,"VOUT2_RS1",1,"1107","","",0,"<=",0.565847,"ohm","<=",20,"P",0.422482,***,"",
1,"CONTINUITY","","CONTINUITY",10120,"",1,1,"VOUT2_RS2",1,"1107","","",-300,"<=",-225.449,"mV","<=",-200,"P",0.422482,***,"",
1,"CONTINUITY","","MOULD_RES",10280,"",1,1,"VOUT2_RS2",1,"1107","","",0,"<=",0.0254311,"ohm","<=",20,"P",0.422482,***,"",
1,"CONTINUITY","","CONTINUITY",10130,"",1,1,"VOUT3_RS1",1,"1107","","",-300,"<=",-225.513,"mV","<=",-200,"P",0.422482,***,"",
1,"CONTINUITY","","MOULD_RES",10290,"",1,1,"VOUT3_RS1",1,"1107","","",0,"<=",0.832876,"ohm","<=",20,"P",0.422482,***,"",
1,"CONTINUITY","","CONTINUITY",10140,"",1,1,"VOUT3_RS2",1,"1107","","",-300,"<=",-225.75,"mV","<=",-200,"P",0.422482,***,"",
1,"CONTINUITY","","MOULD_RES",10300,"",1,1,"VOUT3_RS2",1,"1107","","",0,"<=",1.09779,"ohm","<=",20,"P",0.422482,***,"",
1,"CONTINUITY","","CONTINUITY",10150,"",1,1,"VOUT4",1,"1107","","",-300,"<=",-225.8,"mV","<=",-200,"P",0.422482,***,"",
1,"CONTINUITY","","MOULD_RES",10310,"",1,1,"VOUT4",1,"1107","","",0,"<=",1.06176,"ohm","<=",20,"P",0.422482,***,"",
1,"CONTINUITY","","CONTINUITY",10160,"",1,1,"VOUT5",1,"1107","","",-300,"<=",-225.544,"mV","<=",-200,"P",0.422482,***,"",
1,"CONTINUITY","","MOULD_RES",10320,"",1,1,"VOUT5",1,"1107","","",0,"<=",0.20345,"ohm","<=",20,"P",0.422482,***,"",
1,"CONTINUITY","","CONTINUITY",10170,"",1,1,"VOUT6",1,"1107","","",-300,"<=",-225.555,"mV","<=",-200,"P",0.422482,***,"",
1,"CONTINUITY","","MOULD_RES",10330,"",1,1,"VOUT6",1,"1107","","",0,"<=",0.226763,"ohm","<=",20,"P",0.422482,***,"",
