Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",1,"1088","","",-500,"<=",-370.831,"mV","<=",-300,"P",1.39743,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",1,"1088","","",-500,"<=",-424.216,"mV","<=",-300,"P",1.39743,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",1,1,"FCB_PS1600",1,"1088","","",-500,"<=",-370.499,"mV","<=",-300,"P",1.39743,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",1,1,"ISEN_PS1600",1,"1088","","",-500,"<=",-357.284,"mV","<=",-300,"P",1.39743,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",1,1,"ITRIP_PS1600",1,"1088","","",-500,"<=",-372.822,"mV","<=",-300,"P",1.39743,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",1,1,"OFF_PS1600",1,"1088","","",-500,"<=",-364.341,"mV","<=",-300,"P",1.39743,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",1,1,"SS_PS1600",1,"1088","","",-500,"<=",-455.305,"mV","<=",-300,"P",1.39743,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",1,1,"VBIAS_PS1600",1,"1088","","",-500,"<=",-296.953,"mV","<=",-200,"P",1.39743,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",1,1,"GND_PS1600",1,"1088","","",-500,"<=",-362.122,"mV","<=",-300,"P",1.39743,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",1,1,"VIN1",1,"1088","","",-360,"<=",-345.291,"mV","<=",-300,"P",1.39743,***,"",
1,"CONTINUITY","","MOULD_RES",10340,"",1,1,"VIN1",1,"1088","","",0,"<=",0.570086,"ohm","<=",20,"P",1.39743,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",1,1,"VIN2",1,"1088","","",-360,"<=",-345.457,"mV","<=",-300,"P",1.39743,***,"",
1,"CONTINUITY","","MOULD_RES",10350,"",1,1,"VIN2",1,"1088","","",0,"<=",0.567966,"ohm","<=",20,"P",1.39743,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",1,1,"VIN3",1,"1088","","",-360,"<=",-345.654,"mV","<=",-300,"P",1.39743,***,"",
1,"CONTINUITY","","MOULD_RES",10360,"",1,1,"VIN3",1,"1088","","",0,"<=",0.277626,"ohm","<=",20,"P",1.39743,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",1,1,"VIN4_RS1",1,"1088","","",-360,"<=",-345.388,"mV","<=",-300,"P",1.39743,***,"",
1,"CONTINUITY","","MOULD_RES",10370,"",1,1,"VIN4_RS1",1,"1088","","",0,"<=",0.508627,"ohm","<=",20,"P",1.39743,***,"",
1,"CONTINUITY","","CONTINUITY",10220,"",1,1,"VIN4_RS2",1,"1088","","",-360,"<=",-345.19,"mV","<=",-300,"P",1.39743,***,"",
1,"CONTINUITY","","MOULD_RES",10380,"",1,1,"VIN4_RS2",1,"1088","","",0,"<=",0.0762933,"ohm","<=",20,"P",1.39743,***,"",
1,"CONTINUITY","","CONTINUITY",10230,"",1,1,"VIN5_RS1",1,"1088","","",-360,"<=",-345.716,"mV","<=",-300,"P",1.39743,***,"",
1,"CONTINUITY","","MOULD_RES",10390,"",1,1,"VIN5_RS1",1,"1088","","",0,"<=",0.801087,"ohm","<=",20,"P",1.39743,***,"",
1,"CONTINUITY","","CONTINUITY",10240,"",1,1,"VIN5_RS2",1,"1088","","",-360,"<=",-345.331,"mV","<=",-300,"P",1.39743,***,"",
1,"CONTINUITY","","MOULD_RES",10400,"",1,1,"VIN5_RS2",1,"1088","","",0,"<=",0.0826522,"ohm","<=",20,"P",1.39743,***,"",
1,"CONTINUITY","","CONTINUITY",10250,"",1,1,"VIN6",1,"1088","","",-360,"<=",-345.331,"mV","<=",-300,"P",1.39743,***,"",
1,"CONTINUITY","","MOULD_RES",10410,"",1,1,"VIN6",1,"1088","","",0,"<=",0.656976,"ohm","<=",20,"P",1.39743,***,"",
1,"CONTINUITY","","CONTINUITY",10100,"",1,1,"VOUT1",1,"1088","","",-300,"<=",-225.903,"mV","<=",-200,"P",1.39743,***,"",
1,"CONTINUITY","","MOULD_RES",10260,"",1,1,"VOUT1",1,"1088","","",0,"<=",0.02967,"ohm","<=",20,"P",1.39743,***,"",
1,"CONTINUITY","","CONTINUITY",10110,"",1,1,"VOUT2_RS1",1,"1088","","",-300,"<=",-226.114,"mV","<=",-200,"P",1.39743,***,"",
1,"CONTINUITY","","MOULD_RES",10270,"",1,1,"VOUT2_RS1",1,"1088","","",0,"<=",0.383589,"ohm","<=",20,"P",1.39743,***,"",
1,"CONTINUITY","","CONTINUITY",10120,"",1,1,"VOUT2_RS2",1,"1088","","",-300,"<=",-225.66,"mV","<=",-200,"P",1.39743,***,"",
1,"CONTINUITY","","MOULD_RES",10280,"",1,1,"VOUT2_RS2",1,"1088","","",0,"<=",0.735389,"ohm","<=",20,"P",1.39743,***,"",
1,"CONTINUITY","","CONTINUITY",10130,"",1,1,"VOUT3_RS1",1,"1088","","",-300,"<=",-225.994,"mV","<=",-200,"P",1.39743,***,"",
1,"CONTINUITY","","MOULD_RES",10290,"",1,1,"VOUT3_RS1",1,"1088","","",0,"<=",1.02997,"ohm","<=",20,"P",1.39743,***,"",
1,"CONTINUITY","","CONTINUITY",10140,"",1,1,"VOUT3_RS2",1,"1088","","",-300,"<=",-226.12,"mV","<=",-200,"P",1.39743,***,"",
1,"CONTINUITY","","MOULD_RES",10300,"",1,1,"VOUT3_RS2",1,"1088","","",0,"<=",0.748104,"ohm","<=",20,"P",1.39743,***,"",
1,"CONTINUITY","","CONTINUITY",10150,"",1,1,"VOUT4",1,"1088","","",-300,"<=",-225.639,"mV","<=",-200,"P",1.39743,***,"",
1,"CONTINUITY","","MOULD_RES",10310,"",1,1,"VOUT4",1,"1088","","",0,"<=",0.67181,"ohm","<=",20,"P",1.39743,***,"",
1,"CONTINUITY","","CONTINUITY",10160,"",1,1,"VOUT5",1,"1088","","",-300,"<=",-226.116,"mV","<=",-200,"P",1.39743,***,"",
1,"CONTINUITY","","MOULD_RES",10320,"",1,1,"VOUT5",1,"1088","","",0,"<=",0.417498,"ohm","<=",20,"P",1.39743,***,"",
1,"CONTINUITY","","CONTINUITY",10170,"",1,1,"VOUT6",1,"1088","","",-300,"<=",-225.962,"mV","<=",-200,"P",1.39743,***,"",
1,"CONTINUITY","","MOULD_RES",10330,"",1,1,"VOUT6",1,"1088","","",0,"<=",0.466241,"ohm","<=",20,"P",1.39743,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"",1,1,"FAULTB_PS1600",1,"1088","","",-200,"<=",-5.74089,"nA","<=",200,"P",0.981743,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20110,"",1,1,"FAULTB_PS1600",1,"1088","","",-200,"<=",-5.74089,"nA","<=",200,"P",0.981743,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20020,"",1,1,"ITRIP_PS1600",1,"1088","","",-200,"<=",-10.2686,"nA","<=",200,"P",0.981743,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20120,"",1,1,"ITRIP_PS1600",1,"1088","","",-200,"<=",-10.2686,"nA","<=",200,"P",0.981743,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20030,"",1,1,"OFF_PS1600",1,"1088","","",-200,"<=",-7.48277,"nA","<=",200,"P",0.981743,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20130,"",1,1,"OFF_PS1600",1,"1088","","",-200,"<=",-7.48277,"nA","<=",200,"P",0.981743,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20040,"",1,1,"SS_PS1600",1,"1088","","",-200,"<=",-10.3371,"nA","<=",200,"P",0.981743,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20140,"",1,1,"SS_PS1600",1,"1088","","",-200,"<=",-10.3371,"nA","<=",200,"P",0.981743,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20050,"",1,1,"VIN1",1,"1088","","",10,"<=",299.78,"nA","<=",500,"P",0.981743,***,"",
