Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",1,"1069","","",-500,"<=",-371.685,"mV","<=",-300,"P",1.38932,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",1,"1069","","",-500,"<=",-432.583,"mV","<=",-300,"P",1.38932,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",1,1,"FCB_PS1600",1,"1069","","",-500,"<=",-371.466,"mV","<=",-300,"P",1.38932,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",1,1,"ISEN_PS1600",1,"1069","","",-500,"<=",-359.503,"mV","<=",-300,"P",1.38932,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",1,1,"ITRIP_PS1600",1,"1069","","",-500,"<=",-374.529,"mV","<=",-300,"P",1.38932,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",1,1,"OFF_PS1600",1,"1069","","",-500,"<=",-366.447,"mV","<=",-300,"P",1.38932,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",1,1,"SS_PS1600",1,"1069","","",-500,"<=",-466.347,"mV","<=",-300,"P",1.38932,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",1,1,"VBIAS_PS1600",1,"1069","","",-500,"<=",-295.075,"mV","<=",-200,"P",1.38932,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",1,1,"GND_PS1600",1,"1069","","",-500,"<=",-361.097,"mV","<=",-300,"P",1.38932,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",1,1,"VIN1",1,"1069","","",-360,"<=",-331.816,"mV","<=",-300,"P",1.38932,***,"",
1,"CONTINUITY","","MOULD_RES",10340,"",1,1,"VIN1",1,"1069","","",0,"<=",0.599756,"ohm","<=",20,"P",1.38932,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",1,1,"VIN2",1,"1069","","",-360,"<=",-332.186,"mV","<=",-300,"P",1.38932,***,"",
1,"CONTINUITY","","MOULD_RES",10350,"",1,1,"VIN2",1,"1069","","",0,"<=",0.406901,"ohm","<=",20,"P",1.38932,***,"",
