Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",0,1,"EN0_PS1600",1,"1498","","",-500,"<=",-361.615,"mV","<=",-300,"P",0.337066,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",0,1,"FAULTB_PS1600",1,"1498","","",-500,"<=",-418.98,"mV","<=",-300,"P",0.337066,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",0,1,"FCB_PS1600",1,"1498","","",-500,"<=",-361.961,"mV","<=",-300,"P",0.337066,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",0,1,"ISEN_PS1600",1,"1498","","",-500,"<=",-346.299,"mV","<=",-300,"P",0.337066,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",0,1,"ITRIP_PS1600",1,"1498","","",-500,"<=",-363.384,"mV","<=",-300,"P",0.337066,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",0,1,"OFF_PS1600",1,"1498","","",-500,"<=",-356.554,"mV","<=",-300,"P",0.337066,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",0,1,"SS_PS1600",1,"1498","","",-500,"<=",-448.602,"mV","<=",-300,"P",0.337066,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",0,1,"VBIAS_PS1600",1,"1498","","",-500,"<=",-297.929,"mV","<=",-200,"P",0.337066,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",0,1,"GND_PS1600",1,"1498","","",-500,"<=",-367.528,"mV","<=",-300,"P",0.337066,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",0,1,"VIN1",1,"1498","","",-360,"<=",-342.571,"mV","<=",-300,"P",0.337066,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",0,1,"VIN2",1,"1498","","",-360,"<=",-342.516,"mV","<=",-300,"P",0.337066,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",0,1,"VIN3",1,"1498","","",-360,"<=",-342.402,"mV","<=",-300,"P",0.337066,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",0,1,"VIN4_RS1",1,"1498","","",-360,"<=",-342.583,"mV","<=",-300,"P",0.337066,***,"",
1,"CONTINUITY","","CONTINUITY",10220,"",0,1,"VIN4_RS2",1,"1498","","",-360,"<=",-342.39,"mV","<=",-300,"P",0.337066,***,"",
1,"CONTINUITY","","CONTINUITY",10230,"",0,1,"VIN5_RS1",1,"1498","","",-360,"<=",-342.609,"mV","<=",-300,"P",0.337066,***,"",
1,"CONTINUITY","","CONTINUITY",10240,"",0,1,"VIN5_RS2",1,"1498","","",-360,"<=",-342.567,"mV","<=",-300,"P",0.337066,***,"",
1,"CONTINUITY","","CONTINUITY",10250,"",0,1,"VIN6",1,"1498","","",-360,"<=",-342.731,"mV","<=",-300,"P",0.337066,***,"",
1,"CONTINUITY","","CONTINUITY",10100,"",0,1,"VOUT1",1,"1498","","",-300,"<=",-224.268,"mV","<=",-200,"P",0.337066,***,"",
1,"CONTINUITY","","CONTINUITY",10110,"",0,1,"VOUT2_RS1",1,"1498","","",-300,"<=",-224.726,"mV","<=",-200,"P",0.337066,***,"",
1,"CONTINUITY","","CONTINUITY",10120,"",0,1,"VOUT2_RS2",1,"1498","","",-300,"<=",-224.775,"mV","<=",-200,"P",0.337066,***,"",
1,"CONTINUITY","","CONTINUITY",10130,"",0,1,"VOUT3_RS1",1,"1498","","",-300,"<=",-224.02,"mV","<=",-200,"P",0.337066,***,"",
1,"CONTINUITY","","CONTINUITY",10140,"",0,1,"VOUT3_RS2",1,"1498","","",-300,"<=",-224.38,"mV","<=",-200,"P",0.337066,***,"",
1,"CONTINUITY","","CONTINUITY",10150,"",0,1,"VOUT4",1,"1498","","",-300,"<=",-224.71,"mV","<=",-200,"P",0.337066,***,"",
1,"CONTINUITY","","CONTINUITY",10160,"",0,1,"VOUT5",1,"1498","","",-300,"<=",-224.548,"mV","<=",-200,"P",0.337066,***,"",
1,"CONTINUITY","","CONTINUITY",10170,"",0,1,"VOUT6",1,"1498","","",-300,"<=",-224.19,"mV","<=",-200,"P",0.337066,***,"",
