Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",0,1,"EN0_PS1600",1,"302","","",-500,"<=",-376.065,"mV","<=",-300,"P",0.347866,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",0,1,"FAULTB_PS1600",1,"302","","",-500,"<=",-433.778,"mV","<=",-300,"P",0.347866,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",0,1,"FCB_PS1600",1,"302","","",-500,"<=",-375.735,"mV","<=",-300,"P",0.347866,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",0,1,"ISEN_PS1600",1,"302","","",-500,"<=",-362.577,"mV","<=",-300,"P",0.347866,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",0,1,"ITRIP_PS1600",1,"302","","",-500,"<=",-376.759,"mV","<=",-300,"P",0.347866,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",0,1,"OFF_PS1600",1,"302","","",-500,"<=",-369.36,"mV","<=",-300,"P",0.347866,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",0,1,"SS_PS1600",1,"302","","",-500,"<=",-465.962,"mV","<=",-300,"P",0.347866,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",0,1,"VBIAS_PS1600",1,"302","","",-500,"<=",-294.97,"mV","<=",-200,"P",0.347866,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",0,1,"GND_PS1600",1,"302","","",-500,"<=",-375.667,"mV","<=",-300,"P",0.347866,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",0,1,"VIN1",1,"302","","",-360,"<=",-336.435,"mV","<=",-300,"P",0.347866,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",0,1,"VIN2",1,"302","","",-360,"<=",-337.006,"mV","<=",-300,"P",0.347866,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",0,1,"VIN3",1,"302","","",-360,"<=",-337.32,"mV","<=",-300,"P",0.347866,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",0,1,"VIN4_RS1",1,"302","","",-360,"<=",-336.979,"mV","<=",-300,"P",0.347866,***,"",
1,"CONTINUITY","","CONTINUITY",10220,"",0,1,"VIN4_RS2",1,"302","","",-360,"<=",-336.908,"mV","<=",-300,"P",0.347866,***,"",
1,"CONTINUITY","","CONTINUITY",10230,"",0,1,"VIN5_RS1",1,"302","","",-360,"<=",-337.091,"mV","<=",-300,"P",0.347866,***,"",
1,"CONTINUITY","","CONTINUITY",10240,"",0,1,"VIN5_RS2",1,"302","","",-360,"<=",-336.998,"mV","<=",-300,"P",0.347866,***,"",
1,"CONTINUITY","","CONTINUITY",10250,"",0,1,"VIN6",1,"302","","",-360,"<=",-336.758,"mV","<=",-300,"P",0.347866,***,"",
1,"CONTINUITY","","CONTINUITY",10100,"",0,1,"VOUT1",1,"302","","",-300,"<=",-225.174,"mV","<=",-200,"P",0.347866,***,"",
1,"CONTINUITY","","CONTINUITY",10110,"",0,1,"VOUT2_RS1",1,"302","","",-300,"<=",-225.374,"mV","<=",-200,"P",0.347866,***,"",
1,"CONTINUITY","","CONTINUITY",10120,"",0,1,"VOUT2_RS2",1,"302","","",-300,"<=",-225.374,"mV","<=",-200,"P",0.347866,***,"",
1,"CONTINUITY","","CONTINUITY",10130,"",0,1,"VOUT3_RS1",1,"302","","",-300,"<=",-225.142,"mV","<=",-200,"P",0.347866,***,"",
1,"CONTINUITY","","CONTINUITY",10140,"",0,1,"VOUT3_RS2",1,"302","","",-300,"<=",-224.983,"mV","<=",-200,"P",0.347866,***,"",
1,"CONTINUITY","","CONTINUITY",10150,"",0,1,"VOUT4",1,"302","","",-300,"<=",-225.018,"mV","<=",-200,"P",0.347866,***,"",
1,"CONTINUITY","","CONTINUITY",10160,"",0,1,"VOUT5",1,"302","","",-300,"<=",-225.332,"mV","<=",-200,"P",0.347866,***,"",
1,"CONTINUITY","","CONTINUITY",10170,"",0,1,"VOUT6",1,"302","","",-300,"<=",-225.155,"mV","<=",-200,"P",0.347866,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"",0,1,"FAULTB_PS1600",1,"302","","",-200,"<=",-3.95548,"nA","<=",200,"P",0.532603,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20110,"",0,1,"FAULTB_PS1600",1,"302","","",-200,"<=",-3.95548,"nA","<=",200,"P",0.532603,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20020,"",0,1,"ITRIP_PS1600",1,"302","","",-200,"<=",-8.79794,"nA","<=",200,"P",0.532603,***,"",
