Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Pass#,Fail#,Time,TS Time
"CONTINUITY","CONTINUITY",10030,"Parametric","",-500,-300,"mV",-376.065,-368.044,-370.706,3.32776,5,0,0.347866,***
"CONTINUITY","CONTINUITY",10020,"Parametric","",-500,-300,"mV",-433.778,-417.443,-424.569,6.74651,5,0,0.347866,***
"CONTINUITY","CONTINUITY",10050,"Parametric","",-500,-300,"mV",-375.735,-368.45,-371.091,3.06101,5,0,0.347866,***
"CONTINUITY","CONTINUITY",10090,"Parametric","",-500,-300,"mV",-362.577,-354.666,-357.989,3.28131,5,0,0.347866,***
"CONTINUITY","CONTINUITY",10080,"Parametric","",-500,-300,"mV",-376.759,-369.474,-372.434,3.17743,5,0,0.347866,***
"CONTINUITY","CONTINUITY",10040,"Parametric","",-500,-300,"mV",-369.36,-361.62,-364.568,3.13545,5,0,0.347866,***
"CONTINUITY","CONTINUITY",10010,"Parametric","",-500,-300,"mV",-465.962,-443.137,-450.992,9.95344,5,0,0.347866,***
"CONTINUITY","CONTINUITY",10070,"Parametric","",-500,-200,"mV",-297.474,-294.97,-295.892,1.0121,5,0,0.347866,***
"CONTINUITY","CONTINUITY",10060,"Parametric","",-500,-300,"mV",-375.667,-358.764,-362.361,7.4426,5,0,0.347866,***
"CONTINUITY","CONTINUITY",10180,"Parametric","",-360,-300,"mV",-344.038,-336.435,-341.343,3.57679,5,0,0.347866,***
"CONTINUITY","CONTINUITY",10190,"Parametric","",-360,-300,"mV",-344.87,-337.006,-341.709,3.62741,5,0,0.347866,***
"CONTINUITY","CONTINUITY",10200,"Parametric","",-360,-300,"mV",-344.858,-337.32,-341.953,3.57732,5,0,0.347866,***
"CONTINUITY","CONTINUITY",10210,"Parametric","",-360,-300,"mV",-344.772,-336.979,-341.929,3.69283,5,0,0.347866,***
"CONTINUITY","CONTINUITY",10220,"Parametric","",-360,-300,"mV",-344.732,-336.908,-341.893,3.66262,5,0,0.347866,***
"CONTINUITY","CONTINUITY",10230,"Parametric","",-360,-300,"mV",-345.032,-337.091,-341.994,3.67182,5,0,0.347866,***
"CONTINUITY","CONTINUITY",10240,"Parametric","",-360,-300,"mV",-344.925,-336.998,-342.025,3.71162,5,0,0.347866,***
"CONTINUITY","CONTINUITY",10250,"Parametric","",-360,-300,"mV",-344.755,-336.758,-341.816,3.7588,5,0,0.347866,***
"CONTINUITY","CONTINUITY",10100,"Parametric","",-300,-200,"mV",-225.174,-224.344,-224.674,0.35983,5,0,0.347866,***
"CONTINUITY","CONTINUITY",10110,"Parametric","",-300,-200,"mV",-225.374,-224.272,-224.743,0.439745,5,0,0.347866,***
"CONTINUITY","CONTINUITY",10120,"Parametric","",-300,-200,"mV",-225.374,-224.129,-224.655,0.574541,5,0,0.347866,***
"CONTINUITY","CONTINUITY",10130,"Parametric","",-300,-200,"mV",-225.142,-224.154,-224.615,0.431247,5,0,0.347866,***
"CONTINUITY","CONTINUITY",10140,"Parametric","",-300,-200,"mV",-224.983,-224.068,-224.527,0.384869,5,0,0.347866,***
"CONTINUITY","CONTINUITY",10150,"Parametric","",-300,-200,"mV",-225.092,-224.283,-224.645,0.379636,5,0,0.347866,***
"CONTINUITY","CONTINUITY",10160,"Parametric","",-300,-200,"mV",-225.332,-224.358,-224.785,0.433135,5,0,0.347866,***
"CONTINUITY","CONTINUITY",10170,"Parametric","",-300,-200,"mV",-225.155,-224.051,-224.63,0.428219,5,0,0.347866,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"Parametric","",-200,200,"nA",-5.5297,-3.95548,-5.05236,0.657809,5,0,0.532603,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20110,"Parametric","",-200,200,"nA",-5.5297,-3.95548,-5.05236,0.657809,5,0,0.532603,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20020,"Parametric","",-200,200,"nA",-9.61126,-8.79794,-9.28593,0.297706,5,0,0.532603,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20120,"Parametric","",-200,200,"nA",-9.61126,-8.79794,-9.28593,0.297706,5,0,0.532603,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20030,"Parametric","",-200,200,"nA",-7.76887,-5.61931,-7.04212,0.858239,5,0,0.532603,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20130,"Parametric","",-200,200,"nA",-7.76887,-5.61931,-7.04212,0.858239,5,0,0.532603,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20040,"Parametric","",-200,200,"nA",-10.8426,-7.93121,-9.49417,1.20903,5,0,0.532603,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20140,"Parametric","",-200,200,"nA",-10.8426,-7.93121,-9.49417,1.20903,5,0,0.532603,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20050,"Parametric","",10,500,"nA",300.29,303.571,301.472,1.30832,5,0,0.532603,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20150,"Parametric","",-500,-10,"nA",-305.798,-296.965,-300.616,3.64948,5,0,0.532603,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20060,"Parametric","",10,500,"nA",297.841,301.912,299.083,1.64018,5,0,0.532603,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20160,"Parametric","",-500,-10,"nA",-302.527,-298.478,-300.361,1.6351,5,0,0.532603,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20070,"Parametric","",300,700,"nA",510.571,550.049,524.996,18.7261,5,0,0.532603,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20170,"Parametric","",-700,-300,"nA",-552.731,-513.766,-528.264,18.4651,5,0,0.532603,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20080,"Parametric","",-200,200,"nA",-0.312507,0.295559,-0.0996842,0.233312,5,0,0.532603,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20180,"Parametric","",-200,200,"nA",-5.22237,-3.75288,-4.65485,0.622051,5,0,0.532603,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20090,"Parametric","",-200,200,"nA",0.148293,0.813279,0.506363,0.250596,5,0,0.532603,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20190,"Parametric","",-200,200,"nA",-7.98539,-6.96233,-7.5864,0.390239,5,0,0.532603,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN_VBIAS_PS1600",20100,"Parametric","",500,1000,"nA",701,786,733.2,40.2455,5,0,0.532603,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN_VBIAS_PS1600",20200,"Parametric","",-1000,-500,"nA",-854,-784,-814.2,32.0656,5,0,0.532603,***
"IVDDFL_IVINFL_RONFL","RON_200mAVDD_5_VIN_5",90040,"Parametric","",0.04,0.08,"ohm",0.0567545,0.0575076,0.0571809,0.000270696,5,0,0.105878,***
"IVDDFL_IVINFL_RONFL","DEVICE_VARIENT_TRUE",90060,"Parametric","",0.5,1.5,"",1,1,1,0,5,0,0.105878,***
"Fuse_Burn_Check","BANKA_BIT5_BLOWN_TRUE",1000001,"Parametric","",0,1,"",0,0,0,0,5,0,0.17383,***
"Gross_Functional_EN_FCB_FAULTB_OFF","EN_FCB_LOW_VOUT_LOW",30010,"Parametric","",-0.001,1,"V",0.000108719,0.00102806,0.000562668,0.000363066,5,0,0.339269,***
"Gross_Functional_EN_FCB_FAULTB_OFF","EN_FCB_LOW_OFF_HIGH",30020,"Parametric","",1.6,2.3,"V",1.87076,1.9373,1.89792,0.026343,5,0,0.339269,***
"Gross_Functional_EN_FCB_FAULTB_OFF","FCB_LOW_VOUT_LOW",30030,"Parametric","",-0.001,0.5,"V",6.29425e-05,0.0012188,0.000710297,0.000444686,5,0,0.339269,***
"Gross_Functional_EN_FCB_FAULTB_OFF","FCB_LOW_OFF_HIGH",30040,"Parametric","",1.6,2.3,"V",1.87173,1.93798,1.89846,0.0264234,5,0,0.339269,***
"Gross_Functional_EN_FCB_FAULTB_OFF","EN_LOW_VOUT_LOW",30050,"Parametric","",-0.001,0.5,"V",0.000358582,0.00103569,0.000703049,0.000307798,5,0,0.339269,***
"Gross_Functional_EN_FCB_FAULTB_OFF","EN_LOW_OFF_HIGH",30060,"Parametric","",1.6,2.3,"V",1.87105,1.93753,1.89812,0.0263937,5,0,0.339269,***
"Gross_Functional_EN_FCB_FAULTB_OFF","EN_FCB_HIGH_VOUT_HIGH",30070,"Parametric","",4.85,5.1,"V",4.9998,5.00031,5.00003,0.000224672,5,0,0.339269,***
"Gross_Functional_EN_FCB_FAULTB_OFF","EN_FCB_HIGH_OFF_LOW",30080,"Parametric","",-0.001,0.5,"V",0.000714269,0.000771185,0.000759802,2.54538e-05,5,0,0.339269,***
"Gross_Functional_EN_FCB_FAULTB_OFF","FAULT_SET_VOUT_LOW",30090,"Parametric","",-0.001,0.5,"V",-5.9128e-05,0.000297546,0.000102234,0.000142405,5,0,0.339269,***
"Gross_Functional_EN_FCB_FAULTB_OFF","FAULT_SET_OFF_HIGH",30100,"Parametric","",1.6,2.3,"V",1.91317,1.97993,1.94061,0.0265082,5,0,0.339269,***
