Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10030,"",0,1,"EN0_PS1600",1,"P1","","",-500,"<=",-368.613,"mV","<=",-300,"P",333.137,339.087,"",
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10020,"",0,1,"FAULTB_PS1600",1,"P1","","",-500,"<=",-419.037,"mV","<=",-300,"P",0.037,339.087,"",
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10050,"",0,1,"FCB_PS1600",1,"P1","","",-500,"<=",-368.62,"mV","<=",-300,"P",0.718,339.087,"",
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10090,"",0,1,"ISEN_PS1600",1,"P1","","",-500,"<=",-357.398,"mV","<=",-300,"P",0.007,339.087,"",
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10080,"",0,1,"ITRIP_PS1600",1,"P1","","",-500,"<=",-372.035,"mV","<=",-300,"P",0.018,339.087,"",
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10040,"",0,1,"OFF_PS1600",1,"P1","","",-500,"<=",-362.473,"mV","<=",-300,"P",0.009,339.087,"",
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10010,"",0,1,"SS_PS1600",1,"P1","","",-500,"<=",-445.186,"mV","<=",-300,"P",0.007,339.087,"",
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10070,"",0,1,"VBIAS_PS1600",1,"P1","","",-500,"<=",-296.677,"mV","<=",-200,"P",0.023,339.087,"",
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10060,"",0,1,"GND_PS1600",1,"P1","","",-500,"<=",-365.48,"mV","<=",-300,"P",0.013,339.087,"",
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10180,"",0,1,"VIN1",1,"P1","","",-360,"<=",-345.098,"mV","<=",-300,"P",0.015,339.087,"",
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10190,"",0,1,"VIN2",1,"P1","","",-360,"<=",-345.77,"mV","<=",-300,"P",0.008,339.087,"",
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10200,"",0,1,"VIN3",1,"P1","","",-360,"<=",-345.806,"mV","<=",-300,"P",0.008,339.087,"",
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10210,"",0,1,"VIN4_RS1",1,"P1","","",-360,"<=",-345.835,"mV","<=",-300,"P",0.007,339.087,"",
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10220,"",0,1,"VIN4_RS2",1,"P1","","",-360,"<=",-345.966,"mV","<=",-300,"P",0.004,339.087,"",
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10230,"",0,1,"VIN5_RS1",1,"P1","","",-360,"<=",-345.806,"mV","<=",-300,"P",0.004,339.087,"",
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10240,"",0,1,"VIN5_RS2",1,"P1","","",-360,"<=",-345.697,"mV","<=",-300,"P",0.005,339.087,"",
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10250,"",0,1,"VIN6",1,"P1","","",-360,"<=",-346.045,"mV","<=",-300,"P",0.004,339.087,"",
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10100,"",0,1,"VOUT1",1,"P1","","",-300,"<=",-227.623,"mV","<=",-200,"P",0.005,339.087,"",
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10110,"",0,1,"VOUT2_RS1",1,"P1","","",-300,"<=",-227.287,"mV","<=",-200,"P",0.004,339.087,"",
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10120,"",0,1,"VOUT2_RS2",1,"P1","","",-300,"<=",-227.446,"mV","<=",-200,"P",0.005,339.087,"",
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10130,"",0,1,"VOUT3_RS1",1,"P1","","",-300,"<=",-227.577,"mV","<=",-200,"P",0.004,339.087,"",
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10140,"",0,1,"VOUT3_RS2",1,"P1","","",-300,"<=",-227.713,"mV","<=",-200,"P",0.004,339.087,"",
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10150,"",0,1,"VOUT4",1,"P1","","",-300,"<=",-227.581,"mV","<=",-200,"P",0.005,339.087,"",
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10160,"",0,1,"VOUT5",1,"P1","","",-300,"<=",-227.634,"mV","<=",-200,"P",0.004,339.087,"",
1,"CONTINUITY","CROW_ARPS10X0X5_TM.CONTINUITY","CONTINUITY",10170,"",0,1,"VOUT6",1,"P1","","",-300,"<=",-227.543,"mV","<=",-200,"P",0.004,339.087,"",
1,"Pin_to_Pin_Leakage","CROW_ARPS10X0X5_TM.Pin_to_pin_leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"",0,1,"FAULTB_PS1600",1,"P1","","",-200,"<=",-5.22502,"nA","<=",200,"P",527.592,531.838,"",
1,"Pin_to_Pin_Leakage","CROW_ARPS10X0X5_TM.Pin_to_pin_leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20110,"",0,1,"FAULTB_PS1600",1,"P1","","",-200,"<=",-5.22502,"nA","<=",200,"P",0.014,531.838,"",
1,"Pin_to_Pin_Leakage","CROW_ARPS10X0X5_TM.Pin_to_pin_leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20020,"",0,1,"ITRIP_PS1600",1,"P1","","",-200,"<=",-8.59461,"nA","<=",200,"P",0.062,531.838,"",
1,"Pin_to_Pin_Leakage","CROW_ARPS10X0X5_TM.Pin_to_pin_leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20120,"",0,1,"ITRIP_PS1600",1,"P1","","",-200,"<=",-8.59461,"nA","<=",200,"P",0.606,531.838,"",
1,"Pin_to_Pin_Leakage","CROW_ARPS10X0X5_TM.Pin_to_pin_leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20030,"",0,1,"OFF_PS1600",1,"P1","","",-200,"<=",-7.05235,"nA","<=",200,"P",0.007,531.838,"",
1,"Pin_to_Pin_Leakage","CROW_ARPS10X0X5_TM.Pin_to_pin_leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20130,"",0,1,"OFF_PS1600",1,"P1","","",-200,"<=",-7.05235,"nA","<=",200,"P",0.021,531.838,"",
