Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Pass#,Fail#,Time,TS Time
"CONTINUITY","CONTINUITY",10030,"Parametric","",-500,-300,"mV",-368.613,-368.613,-368.613,0,1,0,333.137,339.087
"CONTINUITY","CONTINUITY",10020,"Parametric","",-500,-300,"mV",-419.037,-419.037,-419.037,0,1,0,0.037,339.087
"CONTINUITY","CONTINUITY",10050,"Parametric","",-500,-300,"mV",-368.62,-368.62,-368.62,0,1,0,0.718,339.087
"CONTINUITY","CONTINUITY",10090,"Parametric","",-500,-300,"mV",-357.398,-357.398,-357.398,0,1,0,0.007,339.087
"CONTINUITY","CONTINUITY",10080,"Parametric","",-500,-300,"mV",-372.035,-372.035,-372.035,0,1,0,0.018,339.087
"CONTINUITY","CONTINUITY",10040,"Parametric","",-500,-300,"mV",-362.473,-362.473,-362.473,0,1,0,0.009,339.087
"CONTINUITY","CONTINUITY",10010,"Parametric","",-500,-300,"mV",-445.186,-445.186,-445.186,0,1,0,0.007,339.087
"CONTINUITY","CONTINUITY",10070,"Parametric","",-500,-200,"mV",-296.677,-296.677,-296.677,0,1,0,0.023,339.087
"CONTINUITY","CONTINUITY",10060,"Parametric","",-500,-300,"mV",-365.48,-365.48,-365.48,0,1,0,0.013,339.087
"CONTINUITY","CONTINUITY",10180,"Parametric","",-360,-300,"mV",-345.098,-345.098,-345.098,0,1,0,0.015,339.087
"CONTINUITY","CONTINUITY",10190,"Parametric","",-360,-300,"mV",-345.77,-345.77,-345.77,0,1,0,0.008,339.087
"CONTINUITY","CONTINUITY",10200,"Parametric","",-360,-300,"mV",-345.806,-345.806,-345.806,0,1,0,0.008,339.087
"CONTINUITY","CONTINUITY",10210,"Parametric","",-360,-300,"mV",-345.835,-345.835,-345.835,0,1,0,0.007,339.087
"CONTINUITY","CONTINUITY",10220,"Parametric","",-360,-300,"mV",-345.966,-345.966,-345.966,0,1,0,0.004,339.087
"CONTINUITY","CONTINUITY",10230,"Parametric","",-360,-300,"mV",-345.806,-345.806,-345.806,0,1,0,0.004,339.087
"CONTINUITY","CONTINUITY",10240,"Parametric","",-360,-300,"mV",-345.697,-345.697,-345.697,0,1,0,0.005,339.087
