Device,Device ID,Wafer,Site,P/F,Time
1,"1",0,1,1,586923
2,"2",0,1,1,77073
3,"3",0,1,1,56588
4,"4",0,1,0,5925
5,"5",0,1,1,70272
6,"6",0,1,0,1053
7,"7",0,1,1,56644
8,"8",0,1,1,57181
9,"9",0,1,1,60574
10,"10",0,1,1,56981
11,"11",0,1,1,60146
12,"12",0,1,1,57123
13,"13",0,1,1,57347
14,"14",0,1,1,57019
15,"15",0,1,0,1263
16,"16",0,1,1,56903
17,"17",0,1,1,56881
18,"18",0,1,1,57011
19,"19",0,1,1,56787
20,"20",0,1,1,57049
21,"21",0,1,1,57171
22,"22",0,1,1,57301
23,"23",0,1,1,56695
24,"24",0,1,1,57052
25,"25",0,1,1,57068
26,"26",0,1,1,57304
27,"27",0,1,1,56933
28,"28",0,1,1,56863
29,"29",0,1,0,38510
30,"30",0,1,1,57077
31,"31",0,1,1,57003
32,"32",0,1,0,26966
33,"33",0,1,1,57173
34,"34",0,1,1,56881
35,"35",0,1,1,57135
36,"36",0,1,1,57338
37,"37",0,1,1,57631
38,"38",0,1,1,57137
39,"39",0,1,1,57242
40,"40",0,1,1,56850
41,"41",0,1,1,57081
42,"42",0,1,1,57543
43,"43",0,1,1,57336
44,"44",0,1,1,57430
45,"45",0,1,1,57449
46,"46",0,1,1,57253
47,"47",0,1,1,57162
48,"48",0,1,1,57041
49,"49",0,1,1,56916
50,"50",0,1,1,57138
51,"51",0,1,1,57053
52,"52",0,1,1,56961
53,"53",0,1,1,56998
54,"54",0,1,1,57458
55,"55",0,1,1,57045
56,"56",0,1,1,56838
57,"57",0,1,1,56870
58,"58",0,1,1,57098
59,"59",0,1,1,57180
60,"60",0,1,1,56851
61,"61",0,1,1,57535
62,"62",0,1,1,56787
