Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"Post_SS_Test","","SS_gain_0p4V",500020,"",0,1,"SS_PS1600",1,"1","","",9.6,"<=",9.9461,"A/V","<=",10.4,"P",0.193227,***,"",
2,"Post_SS_Test","","SS_gain_0p4V",500020,"",0,1,"SS_PS1600",2,"2","","",9.6,"<=",9.9308,"A/V","<=",10.4,"P",0.193227,***,"",
3,"Post_SS_Test","","SS_gain_0p4V",500020,"",0,1,"SS_PS1600",3,"3","","",9.6,"<=",10.3609,"A/V","<=",10.4,"P",0.193227,***,"",
5,"Post_SS_Test","","SS_gain_0p4V",500020,"",0,1,"SS_PS1600",5,"5","","",9.6,"<=",9.92775,"A/V","<=",10.4,"P",0.193227,***,"",
7,"Post_SS_Test","","SS_gain_0p4V",500020,"",0,1,"SS_PS1600",7,"7","","",9.6,"<=",9.91886,"A/V","<=",10.4,"P",0.193227,***,"",
8,"Post_SS_Test","","SS_gain_0p4V",500020,"",0,1,"SS_PS1600",8,"8","","",9.6,"<=",9.9402,"A/V","<=",10.4,"P",0.193227,***,"",
9,"Post_SS_Test","","SS_gain_0p4V",500020,"",0,1,"SS_PS1600",9,"9","","",9.6,"<=",9.89037,"A/V","<=",10.4,"P",0.193227,***,"",
10,"Post_SS_Test","","SS_gain_0p4V",500020,"",0,1,"SS_PS1600",10,"10","","",9.6,"<=",9.81634,"A/V","<=",10.4,"P",0.193227,***,"",
11,"Post_SS_Test","","SS_gain_0p4V",500020,"",0,1,"SS_PS1600",11,"11","","",9.6,"<=",9.92559,"A/V","<=",10.4,"P",0.193227,***,"",
12,"Post_SS_Test","","SS_gain_0p4V",500020,"",0,1,"SS_PS1600",12,"12","","",9.6,"<=",9.81295,"A/V","<=",10.4,"P",0.193227,***,"",
13,"Post_SS_Test","","SS_gain_0p4V",500020,"",0,1,"SS_PS1600",13,"13","","",9.6,"<=",10.2684,"A/V","<=",10.4,"P",0.193227,***,"",
14,"Post_SS_Test","","SS_gain_0p4V",500020,"",0,1,"SS_PS1600",14,"14","","",9.6,"<=",9.9625,"A/V","<=",10.4,"P",0.193227,***,"",
16,"Post_SS_Test","","SS_gain_0p4V",500020,"",0,1,"SS_PS1600",16,"16","","",9.6,"<=",9.90961,"A/V","<=",10.4,"P",0.193227,***,"",
17,"Post_SS_Test","","SS_gain_0p4V",500020,"",0,1,"SS_PS1600",17,"17","","",9.6,"<=",9.87242,"A/V","<=",10.4,"P",0.193227,***,"",
18,"Post_SS_Test","","SS_gain_0p4V",500020,"",0,1,"SS_PS1600",18,"18","","",9.6,"<=",9.83015,"A/V","<=",10.4,"P",0.193227,***,"",
