Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Pass#,Fail#,Time,TS Time
"CONTINUITY","CONTINUITY",10030,"Parametric","",-500,-300,"mV",-376.35,-361.957,-370.486,2.83191,62,0,0.147876,***
"CONTINUITY","CONTINUITY",10020,"Parametric","",-500,-300,"mV",-440.665,-418.866,-428.563,5.01715,62,0,0.147876,***
"CONTINUITY","CONTINUITY",10050,"Parametric","",-500,-300,"mV",-376.418,-361.904,-370.625,2.77059,62,0,0.147876,***
"CONTINUITY","CONTINUITY",10090,"Parametric","",-500,-300,"mV",-363.829,-347.267,-357.857,3.14432,62,0,0.147876,***
"CONTINUITY","CONTINUITY",10080,"Parametric","",-500,-300,"mV",-378.467,-362.018,-372.535,3.04183,62,0,0.147876,***
"CONTINUITY","CONTINUITY",10040,"Parametric","",-500,-300,"mV",-370.954,-356.895,-364.677,2.82646,62,0,0.147876,***
"CONTINUITY","CONTINUITY",10010,"Parametric","",-500,-300,"mV",-479.281,-448.26,-459.211,8.09497,62,0,0.147876,***
"CONTINUITY","CONTINUITY",10070,"Parametric","",-500,-200,"mV",-300.377,-293.262,-296.74,1.52626,62,0,0.147876,***
"CONTINUITY","CONTINUITY",10060,"Parametric","",-500,-300,"mV",-367.528,-343.339,-351.937,2.34982,62,0,0.147876,***
"CONTINUITY","CONTINUITY",10180,"Parametric","",-360,-300,"mV",-344.189,-328.075,-339.701,4.60983,62,0,0.147876,***
"CONTINUITY","CONTINUITY",10190,"Parametric","",-360,-300,"mV",-344.496,-328.192,-340.083,4.58553,62,0,0.147876,***
"CONTINUITY","CONTINUITY",10200,"Parametric","",-360,-300,"mV",-344.513,-328.119,-340.107,4.58327,62,0,0.147876,***
"CONTINUITY","CONTINUITY",10210,"Parametric","",-360,-300,"mV",-344.606,-328.613,-340.108,4.59977,62,0,0.147876,***
"CONTINUITY","CONTINUITY",10220,"Parametric","",-360,-300,"mV",-344.427,-328.751,-340.123,4.58705,62,0,0.147876,***
"CONTINUITY","CONTINUITY",10230,"Parametric","",-360,-300,"mV",-344.727,-328.558,-340.065,4.58836,62,0,0.147876,***
"CONTINUITY","CONTINUITY",10240,"Parametric","",-360,-300,"mV",-344.91,-328.764,-340.095,4.61236,62,0,0.147876,***
"CONTINUITY","CONTINUITY",10250,"Parametric","",-360,-300,"mV",-344.769,-328.259,-340.087,4.62377,62,0,0.147876,***
"CONTINUITY","CONTINUITY",10100,"Parametric","",-300,-200,"mV",-227.821,-224.871,-225.763,0.765579,62,0,0.147876,***
"CONTINUITY","CONTINUITY",10110,"Parametric","",-300,-200,"mV",-228.172,-224.827,-225.786,0.80108,62,0,0.147876,***
"CONTINUITY","CONTINUITY",10120,"Parametric","",-300,-200,"mV",-227.886,-224.766,-225.782,0.795082,62,0,0.147876,***
"CONTINUITY","CONTINUITY",10130,"Parametric","",-300,-200,"mV",-228.167,-224.836,-225.799,0.76842,62,0,0.147876,***
"CONTINUITY","CONTINUITY",10140,"Parametric","",-300,-200,"mV",-228.035,-224.632,-225.773,0.780814,62,0,0.147876,***
"CONTINUITY","CONTINUITY",10150,"Parametric","",-300,-200,"mV",-228.062,-224.768,-225.772,0.771795,62,0,0.147876,***
"CONTINUITY","CONTINUITY",10160,"Parametric","",-300,-200,"mV",-228.168,-224.796,-225.792,0.781408,62,0,0.147876,***
"CONTINUITY","CONTINUITY",10170,"Parametric","",-300,-200,"mV",-227.755,-224.764,-225.802,0.797565,62,0,0.147876,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"Parametric","",-200,200,"nA",-7.1547,-3.6508,-5.09315,0.629942,62,0,0.423812,***
