Device,Device ID,Part ID,Part Txt,Testflow,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"988","","",1,0,1,0,"53",4,45363,""
2,"988","","",2,0,1,0,"53",4,23163,""
3,"1197","","",3,0,1,1,"1",1,34976,""
4,"1178","","",4,0,1,1,"1",1,35171,""
5,"1159","","",5,0,1,1,"1",1,35475,""
6,"1140","","",6,0,1,0,"53",4,34852,""
7,"1140","","",7,0,1,0,"53",4,23160,""
8,"1121","","",8,0,1,1,"1",1,35436,""
9,"1102","","",9,0,1,0,"77",6,35299,""
10,"1102","","",10,0,1,0,"77",6,23150,""
11,"1330","","",11,0,1,0,"53",4,34972,""
12,"1330","","",12,0,1,0,"53",4,23154,""
13,"1311","","",13,0,1,1,"1",1,35786,""
14,"1292","","",14,0,1,0,"77",6,35059,""
15,"1292","","",15,0,1,1,"1",1,23199,""
16,"1273","","",16,0,1,1,"1",1,35026,""
17,"1060","","",17,0,1,0,"81",3,35162,""
18,"1060","","",18,0,1,0,"64",7,23180,""
19,"1235","","",19,0,1,1,"1",1,35215,""
