Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",0,1,"EN0_PS1600",1,"988","","",-500,"<=",-355.016,"mV","<=",-300,"P",0.266538,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",0,1,"FAULTB_PS1600",1,"988","","",-500,"<=",-406.174,"mV","<=",-300,"P",0.266538,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",0,1,"FCB_PS1600",1,"988","","",-500,"<=",-355.074,"mV","<=",-300,"P",0.266538,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",0,1,"ISEN_PS1600",1,"988","","",-500,"<=",-339.298,"mV","<=",-300,"P",0.266538,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",0,1,"ITRIP_PS1600",1,"988","","",-500,"<=",-354.893,"mV","<=",-300,"P",0.266538,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",0,1,"OFF_PS1600",1,"988","","",-500,"<=",-348.86,"mV","<=",-300,"P",0.266538,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",0,1,"SS_PS1600",1,"988","","",-500,"<=",-419.504,"mV","<=",-300,"P",0.266538,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",0,1,"VBIAS_PS1600",1,"988","","",-500,"<=",-289.839,"mV","<=",-200,"P",0.266538,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",0,1,"GND_PS1600",1,"988","","",-500,"<=",-358.251,"mV","<=",-300,"P",0.266538,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",0,1,"VIN1",1,"988","","",-360,"<=",-343.136,"mV","<=",-300,"P",0.266538,***,"",
1,"CONTINUITY","","MOULD_RES",10340,"",0,1,"VIN1",1,"988","","",0,"<=",0.631543,"ohm","<=",20,"P",0.266538,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",0,1,"VIN2",1,"988","","",-360,"<=",-343.451,"mV","<=",-300,"P",0.266538,***,"",
1,"CONTINUITY","","MOULD_RES",10350,"",0,1,"VIN2",1,"988","","",0,"<=",0.0148356,"ohm","<=",20,"P",0.266538,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",0,1,"VIN3",1,"988","","",-360,"<=",-343.403,"mV","<=",-300,"P",0.266538,***,"",
1,"CONTINUITY","","MOULD_RES",10360,"",0,1,"VIN3",1,"988","","",0,"<=",0.362397,"ohm","<=",20,"P",0.266538,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",0,1,"VIN4_RS1",1,"988","","",-360,"<=",-343.628,"mV","<=",-300,"P",0.266538,***,"",
1,"CONTINUITY","","MOULD_RES",10370,"",0,1,"VIN4_RS1",1,"988","","",0,"<=",0.419617,"ohm","<=",20,"P",0.266538,***,"",
1,"CONTINUITY","","CONTINUITY",10220,"",0,1,"VIN4_RS2",1,"988","","",-360,"<=",-343.391,"mV","<=",-300,"P",0.266538,***,"",
1,"CONTINUITY","","MOULD_RES",10380,"",0,1,"VIN4_RS2",1,"988","","",0,"<=",0.807444,"ohm","<=",20,"P",0.266538,***,"",
1,"CONTINUITY","","CONTINUITY",10230,"",0,1,"VIN5_RS1",1,"988","","",-360,"<=",-343.552,"mV","<=",-300,"P",0.266538,***,"",
1,"CONTINUITY","","MOULD_RES",10390,"",0,1,"VIN5_RS1",1,"988","","",0,"<=",0.353919,"ohm","<=",20,"P",0.266538,***,"",
1,"CONTINUITY","","CONTINUITY",10240,"",0,1,"VIN5_RS2",1,"988","","",-360,"<=",-343.483,"mV","<=",-300,"P",0.266538,***,"",
1,"CONTINUITY","","MOULD_RES",10400,"",0,1,"VIN5_RS2",1,"988","","",0,"<=",0.608232,"ohm","<=",20,"P",0.266538,***,"",
1,"CONTINUITY","","CONTINUITY",10250,"",0,1,"VIN6",1,"988","","",-360,"<=",-343.33,"mV","<=",-300,"P",0.266538,***,"",
1,"CONTINUITY","","MOULD_RES",10410,"",0,1,"VIN6",1,"988","","",0,"<=",0.425974,"ohm","<=",20,"P",0.266538,***,"",
1,"CONTINUITY","","CONTINUITY",10100,"",0,1,"VOUT1",1,"988","","",-300,"<=",-226.366,"mV","<=",-200,"P",0.266538,***,"",
1,"CONTINUITY","","MOULD_RES",10260,"",0,1,"VOUT1",1,"988","","",0,"<=",0.309414,"ohm","<=",20,"P",0.266538,***,"",
1,"CONTINUITY","","CONTINUITY",10110,"",0,1,"VOUT2_RS1",1,"988","","",-300,"<=",-226.591,"mV","<=",-200,"P",0.266538,***,"",
1,"CONTINUITY","","MOULD_RES",10270,"",0,1,"VOUT2_RS1",1,"988","","",0,"<=",0.247954,"ohm","<=",20,"P",0.266538,***,"",
1,"CONTINUITY","","CONTINUITY",10120,"",0,1,"VOUT2_RS2",1,"988","","",-300,"<=",-226.406,"mV","<=",-200,"P",0.266538,***,"",
1,"CONTINUITY","","MOULD_RES",10280,"",0,1,"VOUT2_RS2",1,"988","","",0,"<=",0.385709,"ohm","<=",20,"P",0.266538,***,"",
1,"CONTINUITY","","CONTINUITY",10130,"",0,1,"VOUT3_RS1",1,"988","","",-300,"<=",-226.624,"mV","<=",-200,"P",0.266538,***,"",
1,"CONTINUITY","","MOULD_RES",10290,"",0,1,"VOUT3_RS1",1,"988","","",0,"<=",1.08931,"ohm","<=",20,"P",0.266538,***,"",
1,"CONTINUITY","","CONTINUITY",10140,"",0,1,"VOUT3_RS2",1,"988","","",-300,"<=",-226.917,"mV","<=",-200,"P",0.266538,***,"",
1,"CONTINUITY","","MOULD_RES",10300,"",0,1,"VOUT3_RS2",1,"988","","",0,"<=",0.84771,"ohm","<=",20,"P",0.266538,***,"",
1,"CONTINUITY","","CONTINUITY",10150,"",0,1,"VOUT4",1,"988","","",-300,"<=",-226.799,"mV","<=",-200,"P",0.266538,***,"",
1,"CONTINUITY","","MOULD_RES",10310,"",0,1,"VOUT4",1,"988","","",0,"<=",0.442929,"ohm","<=",20,"P",0.266538,***,"",
1,"CONTINUITY","","CONTINUITY",10160,"",0,1,"VOUT5",1,"988","","",-300,"<=",-226.402,"mV","<=",-200,"P",0.266538,***,"",
1,"CONTINUITY","","MOULD_RES",10320,"",0,1,"VOUT5",1,"988","","",0,"<=",0.523461,"ohm","<=",20,"P",0.266538,***,"",
1,"CONTINUITY","","CONTINUITY",10170,"",0,1,"VOUT6",1,"988","","",-300,"<=",-226.669,"mV","<=",-200,"P",0.266538,***,"",
1,"CONTINUITY","","MOULD_RES",10330,"",0,1,"VOUT6",1,"988","","",0,"<=",0.421736,"ohm","<=",20,"P",0.266538,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"",0,1,"FAULTB_PS1600",1,"988","","",-200,"<=",-9.65097,"nA","<=",200,"P",0.428739,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20110,"",0,1,"FAULTB_PS1600",1,"988","","",-200,"<=",-9.65097,"nA","<=",200,"P",0.428739,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20020,"",0,1,"ITRIP_PS1600",1,"988","","",-200,"<=",-13.776,"nA","<=",200,"P",0.428739,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20120,"",0,1,"ITRIP_PS1600",1,"988","","",-200,"<=",-13.776,"nA","<=",200,"P",0.428739,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20030,"",0,1,"OFF_PS1600",1,"988","","",-200,"<=",-13.4194,"nA","<=",200,"P",0.428739,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20130,"",0,1,"OFF_PS1600",1,"988","","",-200,"<=",-13.4194,"nA","<=",200,"P",0.428739,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20040,"",0,1,"SS_PS1600",1,"988","","",-200,"<=",-14.6273,"nA","<=",200,"P",0.428739,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20140,"",0,1,"SS_PS1600",1,"988","","",-200,"<=",-14.6273,"nA","<=",200,"P",0.428739,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20050,"",0,1,"VIN1",1,"988","","",10,"<=",299.118,"nA","<=",500,"P",0.428739,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20150,"",0,1,"VIN1",1,"988","","",-500,"<=",-299.38,"nA","<=",-10,"P",0.428739,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20060,"",0,1,"VOUT1",1,"988","","",10,"<=",298.714,"nA","<=",500,"P",0.428739,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20160,"",0,1,"VOUT1",1,"988","","",-500,"<=",-297.699,"nA","<=",-10,"P",0.428739,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20070,"",0,1,"EN0_PS1600",1,"988","","",300,"<=",515.264,"nA","<=",700,"P",0.428739,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20170,"",0,1,"EN0_PS1600",1,"988","","",-700,"<=",-526.589,"nA","<=",-300,"P",0.428739,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20080,"",0,1,"FCB_PS1600",1,"988","","",-200,"<=",0.182367,"nA","<=",200,"P",0.428739,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20180,"",0,1,"FCB_PS1600",1,"988","","",-200,"<=",-8.83066,"nA","<=",200,"P",0.428739,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20090,"",0,1,"ISEN_PS1600",1,"988","","",-200,"<=",0.362404,"nA","<=",200,"P",0.428739,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20190,"",0,1,"ISEN_PS1600",1,"988","","",-200,"<=",-17.4347,"nA","<=",200,"P",0.428739,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN_VBIAS_PS1600",20100,"",0,1,"VBIAS_PS1600",1,"988","","",500,"<=",687,"nA","<=",1000,"P",0.428739,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN_VBIAS_PS1600",20200,"",0,1,"VBIAS_PS1600",1,"988","","",-1000,"<=",-802,"nA","<=",-500,"P",0.428739,***,"",
1,"IVDDFL_IVINFL_RONFL","","RON_200mAVDD_5_VIN_5_20V_Part",90050,"",0,1,"VIN1",1,"988","","",0.01,"<=",0.0232975,"ohm","<=",0.03,"P",0.0314641,***,"",
1,"IVDDFL_IVINFL_RONFL","","DEVICE_VARIENT_TRUE",90060,"",0,1,"VIN1",1,"988","","",0.5,"<=",1,"","<=",1.5,"P",0.0314641,***,"",
1,"RON_DIFF_LOAD_CURRENT","","RON_200mA_VDD5",650100,"",0,1,"VIN3",1,"988","","",0.01,"<=",0.0238204,"ohm","<=",0.03,"P",0.0558411,***,"",
1,"RON_DIFF_LOAD_CURRENT","","RON_500mA_VDD5",650110,"",0,1,"VIN3",1,"988","","",0.01,"<=",0.0237408,"ohm","<=",0.03,"P",0.0558411,***,"",
1,"RON_DIFF_LOAD_CURRENT","","RON_FL_VDD5",650120,"",0,1,"VIN3",1,"988","","",0.01,"<=",0.0237921,"ohm","<=",0.03,"P",0.0558411,***,"",
1,"Fuse_Burn_Check","","Device_Read_Fuse_Data",1000002,"",0,1,"OFF_PS1600",1,"988","","",0,"<=",0,"","<=",2.81475e+14,"P",0.106509,***,"",
1,"Fuse_Burn_Check","","BANKA_BIT5_BLOWN_TRUE",1000001,"",0,1,"OFF_PS1600",1,"988","","",0,"<=",0,"","<=",1,"P",0.106509,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","EN_FCB_LOW_VOUT_LOW",30010,"",0,1,"VOUT4",1,"988","","",-0.001,"<=",3.2425e-05,"V","<=",1,"P",0.333902,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","EN_FCB_LOW_OFF_HIGH",30020,"",0,1,"OFF_PS1600",1,"988","","",1.6,"<=",1.7907,"V","<=",2.3,"P",0.333902,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","FCB_LOW_VOUT_LOW",30030,"",0,1,"VOUT4",1,"988","","",-0.001,"<=",-0.000322342,"V","<=",0.5,"P",0.333902,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","FCB_LOW_OFF_HIGH",30040,"",0,1,"OFF_PS1600",1,"988","","",1.6,"<=",1.79132,"V","<=",2.3,"P",0.333902,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","EN_LOW_VOUT_LOW",30050,"",0,1,"VOUT4",1,"988","","",-0.001,"<=",0.000732422,"V","<=",0.5,"P",0.333902,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","EN_LOW_OFF_HIGH",30060,"",0,1,"OFF_PS1600",1,"988","","",1.6,"<=",1.79064,"V","<=",2.3,"P",0.333902,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","EN_FCB_HIGH_VOUT_HIGH",30070,"",0,1,"VOUT4",1,"988","","",4.85,"<=",5.00077,"V","<=",5.1,"P",0.333902,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","EN_FCB_HIGH_OFF_LOW",30080,"",0,1,"OFF_PS1600",1,"988","","",-0.001,"<=",0.000714,"V","<=",0.5,"P",0.333902,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","FAULT_SET_VOUT_LOW",30090,"",0,1,"VOUT4",1,"988","","",-0.001,"<=",0.000402451,"V","<=",0.5,"P",0.333902,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","FAULT_SET_OFF_HIGH",30100,"",0,1,"OFF_PS1600",1,"988","","",1.6,"<=",1.83612,"V","<=",2.3,"P",0.333902,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","FAULT_RESET_VOUT_HIGH",30110,"",0,1,"VOUT4",1,"988","","",4.85,"<=",4.99994,"V","<=",5.1,"P",0.333902,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","FAULT_RESET_OFF_LOW",30120,"",0,1,"OFF_PS1600",1,"988","","",0,"<=",0.000714251,"V","<=",0.5,"P",0.333902,***,"",
1,"EN_pullup_resistor","","EN0V_PULLUP_RES",50010,"",0,1,"EN0_PS1600",1,"988","","",155,"<=",193.827,"Kohm","<=",230,"P",0.0231327,***,"",
1,"EN_pullup_resistor","","EN1V_PULLUP_RES",50020,"",0,1,"EN0_PS1600",1,"988","","",155,"<=",194.461,"Kohm","<=",230,"P",0.0231327,***,"",
1,"EN_pullup_resistor","","EN0V_Current",50030,"",0,1,"EN0_PS1600",1,"988","","",-11,"<=",-9.28664,"uA","<=",-7,"P",0.0231327,***,"",
1,"EN_pullup_resistor","","EN1V_Current",50040,"",0,1,"EN0_PS1600",1,"988","","",-5.5,"<=",-4.11394,"uA","<=",-3,"P",0.0231327,***,"",
1,"Output_enabled_Leakage_IVDDFL_IVINFL","","IVDD_VDD_5V_VIN_5V_LOAD_8A",860160,"",0,1,"VDD",1,"988","","",10,"<=",149.497,"uA","<=",235,"P",0.419778,***,"",
1,"Output_enabled_Leakage_IVDDFL_IVINFL","","IVIN_VDD_5V_VIN_5V_LOAD_8A",860170,"",0,1,"VIN3",1,"988","","",1,"<=",1.51348,"mA","<=",2,"P",0.419778,***,"",
1,"Output_enabled_Leakage_IVDDFL_IVINFL","","LOAD_CURRENT_READBACK_VDD_5V_VIN_5V_LOAD_8A",860180,"",0,1,"VOUT6",1,"988","","",7.5,"<=",8.00084,"A","<=",8.1,"P",0.419778,***,"",
1,"Output_enabled_Leakage_IVDDFL_IVINFL","","IVDD_VDD_5V_VIN_12V_LOAD_8A",860340,"",0,1,"VDD",1,"988","","",10,"<=",149.632,"uA","<=",235,"P",0.419778,***,"",
