Test Suite,Test Method,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cp,Cpk,Cpl,Cpu,Device#,Pass#,Pass%,Fail#,Fail%,Alarm#,Time,TS Time
"CONTINUITY","","CONTINUITY",10030,"Parametric","",-500,-300,"mV",-368.84,-354.845,-365.349,3.975,8.38574,5.48001,11.2915,5.48001,19,19,100,0,0,0,0.266538,***
"CONTINUITY","","CONTINUITY",10020,"Parametric","",-500,-300,"mV",-426.265,-405.889,-418.036,5.524,6.03428,4.94591,4.94591,7.12264,19,19,100,0,0,0,0.266538,***
"CONTINUITY","","CONTINUITY",10050,"Parametric","",-500,-300,"mV",-369.019,-354.96,-365.274,3.92542,8.49165,5.54286,11.4404,5.54286,19,19,100,0,0,0,0.266538,***
"CONTINUITY","","CONTINUITY",10090,"Parametric","",-500,-300,"mV",-355.69,-339.298,-352.272,4.84489,6.8801,3.59638,10.1638,3.59638,19,19,100,0,0,0,0.266538,***
"CONTINUITY","","CONTINUITY",10080,"Parametric","",-500,-300,"mV",-370.317,-354.779,-366.321,4.35673,7.651,5.07424,10.2278,5.07424,19,19,100,0,0,0,0.266538,***
"CONTINUITY","","CONTINUITY",10040,"Parametric","",-500,-300,"mV",-362.975,-348.689,-359.348,4.18946,7.95648,4.72199,11.191,4.72199,19,19,100,0,0,0,0.266538,***
"CONTINUITY","","CONTINUITY",10010,"Parametric","",-500,-300,"mV",-449.443,-419.277,-440.198,8.78539,3.79418,2.26899,2.26899,5.31937,19,19,100,0,0,0,0.266538,***
"CONTINUITY","","CONTINUITY",10070,"Parametric","",-500,-200,"mV",-300.539,-289.725,-297.109,3.75536,13.3143,8.61961,18.009,8.61961,19,19,100,0,0,0,0.266538,***
"CONTINUITY","","CONTINUITY",10060,"Parametric","",-500,-300,"mV",-358.251,-356.259,-357.146,0.51829,64.3141,36.7529,91.8753,36.7529,19,19,100,0,0,0,0.266538,***
"CONTINUITY","","CONTINUITY",10180,"Parametric","",-360,-300,"mV",-348.869,-342.894,-346.284,1.98032,5.04969,2.30866,2.30866,7.79072,19,19,100,0,0,0,0.266538,***
"CONTINUITY","","MOULD_RES",10340,"Parametric","",0,20,"ohm",0.00211889,0.64214,0.298483,0.233857,14.2537,0.42545,0.42545,28.082,19,19,100,0,0,0,0.266538,***
"CONTINUITY","","CONTINUITY",10190,"Parametric","",-360,-300,"mV",-349.131,-343.117,-346.516,2.0168,4.95835,2.22869,2.22869,7.68801,19,19,100,0,0,0,0.266538,***
"CONTINUITY","","MOULD_RES",10350,"Parametric","",0,20,"ohm",0.0148356,0.839233,0.379127,0.263931,12.6296,0.478822,0.478822,24.7803,19,19,100,0,0,0,0.266538,***
"CONTINUITY","","CONTINUITY",10200,"Parametric","",-360,-300,"mV",-348.785,-343.262,-346.52,1.9499,5.12847,2.30447,2.30447,7.95248,19,19,100,0,0,0,0.266538,***
"CONTINUITY","","MOULD_RES",10360,"Parametric","",0,20,"ohm",0.0190733,1.01725,0.585255,0.25572,13.0351,0.762884,0.762884,25.3073,19,19,100,0,0,0,0.266538,***
"CONTINUITY","","CONTINUITY",10210,"Parametric","",-360,-300,"mV",-349.024,-343.401,-346.559,1.92167,5.20382,2.33148,2.33148,8.07616,19,19,100,0,0,0,0.266538,***
"CONTINUITY","","MOULD_RES",10370,"Parametric","",0,20,"ohm",0.00847667,0.765059,0.301272,0.211928,15.7286,0.473858,0.473858,30.9834,19,19,100,0,0,0,0.266538,***
"CONTINUITY","","CONTINUITY",10220,"Parametric","",-360,-300,"mV",-348.845,-343.016,-346.459,1.92018,5.20784,2.35067,2.35067,8.065,19,19,100,0,0,0,0.266538,***
"CONTINUITY","","MOULD_RES",10380,"Parametric","",0,20,"ohm",0.00847667,0.862546,0.385039,0.255299,13.0566,0.502729,0.502729,25.6104,19,19,100,0,0,0,0.266538,***
"CONTINUITY","","CONTINUITY",10230,"Parametric","",-360,-300,"mV",-348.812,-343.102,-346.556,1.95949,5.10337,2.28695,2.28695,7.91978,19,19,100,0,0,0,0.266538,***
"CONTINUITY","","MOULD_RES",10390,"Parametric","",0,20,"ohm",0.353919,1.04692,0.742639,0.191568,17.4003,1.29221,1.29221,33.5083,19,19,100,0,0,0,0.266538,***
"CONTINUITY","","CONTINUITY",10240,"Parametric","",-360,-300,"mV",-349.039,-343.378,-346.45,1.90468,5.25022,2.37137,2.37137,8.12908,19,19,100,0,0,0,0.266538,***
"CONTINUITY","","MOULD_RES",10400,"Parametric","",0,20,"ohm",0.241597,1.08719,0.547554,0.213082,15.6434,0.856561,0.856561,30.4303,19,19,100,0,0,0,0.266538,***
"CONTINUITY","","CONTINUITY",10250,"Parametric","",-360,-300,"mV",-349.047,-343.039,-346.48,1.99926,5.00185,2.25425,2.25425,7.74945,19,19,100,0,0,0,0.266538,***
"CONTINUITY","","MOULD_RES",10410,"Parametric","",0,20,"ohm",0.152588,1.05752,0.453302,0.184331,18.0834,0.819725,0.819725,35.3471,19,19,100,0,0,0,0.266538,***
"CONTINUITY","","CONTINUITY",10100,"Parametric","",-300,-200,"mV",-226.751,-225.409,-226.046,0.448726,37.1422,19.3481,54.9363,19.3481,19,19,100,0,0,0,0.266538,***
"CONTINUITY","","MOULD_RES",10260,"Parametric","",0,20,"ohm",0.0551011,0.887977,0.343434,0.22605,14.746,0.506428,0.506428,28.9856,19,19,100,0,0,0,0.266538,***
"CONTINUITY","","CONTINUITY",10110,"Parametric","",-300,-200,"mV",-226.654,-225.21,-226.011,0.452842,36.8046,19.1467,54.4624,19.1467,19,19,100,0,0,0,0.266538,***
"CONTINUITY","","MOULD_RES",10270,"Parametric","",0,20,"ohm",0,0.976987,0.409801,0.252277,13.213,0.541469,0.541469,25.8845,19,19,100,0,0,0,0.266538,***
"CONTINUITY","","CONTINUITY",10120,"Parametric","",-300,-200,"mV",-226.753,-225.439,-226.068,0.401511,41.5099,21.6413,61.3784,21.6413,19,19,100,0,0,0,0.266538,***
"CONTINUITY","","MOULD_RES",10280,"Parametric","",0,20,"ohm",0.0826522,1.03421,0.487322,0.245313,13.5881,0.662176,0.662176,26.514,19,19,100,0,0,0,0.266538,***
"CONTINUITY","","CONTINUITY",10130,"Parametric","",-300,-200,"mV",-226.707,-225.452,-226.133,0.384098,43.3917,22.679,64.1043,22.679,19,19,100,0,0,0,0.266538,***
"CONTINUITY","","MOULD_RES",10290,"Parametric","",0,20,"ohm",0.0317889,1.08931,0.572651,0.246549,13.52,0.774221,0.774221,26.2657,19,19,100,0,0,0,0.266538,***
"CONTINUITY","","CONTINUITY",10140,"Parametric","",-300,-200,"mV",-226.917,-225.487,-226.162,0.447084,37.2786,19.5058,55.0515,19.5058,19,19,100,0,0,0,0.266538,***
