Device,Device ID,Part ID,Part Txt,Testflow,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"947","","",1,0,1,0,"69",4,106531,""
2,"947","","",2,0,1,1,"1",1,23077,""
3,"833","","",3,0,1,1,"1",1,23100,""
4,"986","","",4,0,1,1,"1",1,22978,""
5,"1214","","",5,0,1,1,"1",1,22970,""
6,"1118","","",6,0,1,1,"1",1,22999,""
7,"1985","","",7,0,1,1,"1",1,22953,""
8,"1137","","",8,0,1,1,"1",1,22984,""
9,"890","","",9,0,1,1,"1",1,22988,""
10,"1023","","",10,0,1,0,"2",2,326,""
11,"1023","","",11,0,1,1,"1",1,22992,""
12,"1099","","",12,0,1,1,"1",1,22977,""
13,"1080","","",13,0,1,1,"1",1,22981,""
14,"985","","",14,0,1,0,"95",4,23001,""
15,"985","","",15,0,1,1,"1",1,22969,""
16,"236","","",16,0,1,0,"2",2,328,""
17,"236","","",17,0,1,0,"90",3,22994,""
18,"236","","",18,0,1,0,"77",6,23009,""
19,"1500","","",19,0,1,0,"24",4,439482,""
20,"1500","","",20,0,1,1,"1",1,23169,""
21,"1481","","",21,0,1,1,"1",1,38909,""
22,"1518","","",22,0,1,1,"1",1,37172,""
23,"1499","","",23,0,1,0,"53",4,38690,""
24,"1499","","",24,0,1,0,"53",4,23151,""
25,"1480","","",25,0,1,0,"77",6,36766,""
26,"1480","","",26,0,1,0,"77",6,23152,""
27,"1462","","",27,0,1,1,"1",1,38932,""
28,"1443","","",28,0,1,1,"1",1,36984,""
29,"1424","","",29,0,1,1,"1",1,37563,""
30,"1405","","",30,0,1,1,"1",1,35157,""
31,"1386","","",31,0,1,1,"1",1,23144,""
32,"1405","","",32,0,1,1,"1",1,35388,""
33,"1367","","",33,0,1,0,"53",4,35252,""
34,"1367","","",34,0,1,0,"53",4,23153,""
35,"1348","","",35,0,1,0,"53",4,35038,""
36,"1348","","",36,0,1,0,"53",4,23134,""
37,"1329","","",37,0,1,1,"1",1,36822,""
38,"1177","","",38,0,1,0,"77",6,36662,""
39,"1177","","",39,0,1,0,"77",6,23169,""
40,"1196","","",40,0,1,1,"1",1,35204,""
41,"1215","","",41,0,1,1,"1",1,35201,""
42,"1234","","",42,0,1,0,"53",4,34981,""
43,"1234","","",43,0,1,0,"53",4,23179,""
44,"1025","","",44,0,1,1,"1",1,35636,""
45,"1044","","",45,0,1,1,"1",1,35397,""
46,"1063","","",46,0,1,1,"1",1,35184,""
47,"1082","","",47,0,1,1,"1",1,35655,""
48,"1101","","",48,0,1,1,"1",1,35059,""
49,"1120","","",49,0,1,0,"53",4,34799,""
50,"1120","","",50,0,1,0,"53",4,23126,""
51,"1253","","",51,0,1,1,"1",1,35303,""
52,"1272","","",52,0,1,1,"1",1,35150,""
53,"1291","","",53,0,1,1,"1",1,35061,""
54,"1310","","",54,0,1,0,"77",6,34937,""
55,"1310","","",55,0,1,0,"77",6,23165,""
56,"1158","","",56,0,1,1,"1",1,35047,""
57,"1139","","",57,0,1,1,"1",1,34977,""
58,"1006","","",58,0,1,0,"53",4,35225,""
59,"1006","","",59,0,1,0,"53",4,23159,""
60,"987","","",60,0,1,1,"1",1,35065,""
61,"968","","",61,0,1,1,"1",1,35023,""
62,"949","","",62,0,1,1,"1",1,35037,""
63,"930","","",63,0,1,0,"53",4,34994,""
64,"930","","",64,0,1,0,"53",4,23208,""
65,"911","","",65,0,1,1,"1",1,35290,""
66,"892","","",66,0,1,1,"1",1,35025,""
67,"873","","",67,0,1,1,"1",1,35764,""
68,"854","","",68,0,1,0,"53",4,35021,""
69,"854","","",69,0,1,0,"53",4,23176,""
70,"835","","",70,0,1,1,"1",1,35083,""
71,"816","","",71,0,1,1,"1",1,35607,""
72,"797","","",72,0,1,1,"1",1,35242,""
73,"778","","",73,0,1,1,"1",1,35350,""
74,"855","","",74,0,1,1,"1",1,35244,""
75,"836","","",75,0,1,1,"1",1,35263,""
76,"817","","",76,0,1,0,"53",4,35045,""
77,"798","","",77,0,1,1,"1",1,35140,""
78,"779","","",78,0,1,0,"77",6,35281,""
79,"969","","",79,0,1,1,"1",1,35256,""
80,"950","","",80,0,1,0,"53",4,35252,""
81,"931","","",81,0,1,1,"1",1,35082,""
82,"912","","",82,0,1,1,"1",1,35199,""
83,"893","","",83,0,1,1,"1",1,35348,""
84,"874","","",84,0,1,1,"1",1,35538,""
85,"1083","","",85,0,1,1,"1",1,35067,""
86,"1064","","",86,0,1,1,"1",1,35099,""
87,"1045","","",87,0,1,1,"1",1,35140,""
88,"1026","","",88,0,1,1,"1",1,35255,""
89,"1007","","",89,0,1,1,"1",1,35059,""
