Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",0,1,"EN0_PS1600",1,"947","","",-500,"<=",-370.433,"mV","<=",-300,"P",0.276529,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",0,1,"FAULTB_PS1600",1,"947","","",-500,"<=",-421.086,"mV","<=",-300,"P",0.276529,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",0,1,"FCB_PS1600",1,"947","","",-500,"<=",-369.873,"mV","<=",-300,"P",0.276529,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",0,1,"ISEN_PS1600",1,"947","","",-500,"<=",-356.487,"mV","<=",-300,"P",0.276529,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",0,1,"ITRIP_PS1600",1,"947","","",-500,"<=",-370.203,"mV","<=",-300,"P",0.276529,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",0,1,"OFF_PS1600",1,"947","","",-500,"<=",-363.715,"mV","<=",-300,"P",0.276529,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",0,1,"SS_PS1600",1,"947","","",-500,"<=",-445.857,"mV","<=",-300,"P",0.276529,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",0,1,"VBIAS_PS1600",1,"947","","",-500,"<=",-300.425,"mV","<=",-200,"P",0.276529,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",0,1,"GND_PS1600",1,"947","","",-500,"<=",-367.984,"mV","<=",-300,"P",0.276529,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",0,1,"VIN1",1,"947","","",-360,"<=",-347.248,"mV","<=",-300,"P",0.276529,***,"",
1,"CONTINUITY","","MOULD_RES",10340,"",0,1,"VIN1",1,"947","","",0,"<=",0.256432,"ohm","<=",20,"P",0.276529,***,"",
