Test Suite,Test Method,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cp,Cpk,Cpl,Cpu,Device#,Pass#,Pass%,Fail#,Fail%,Alarm#,Time,TS Time
"CONTINUITY","","CONTINUITY",10030,"Parametric","",-500,-300,"mV",-9.9999e+07,-354.39,-1.12395e+06,1.05998e+07,3.1447e-06,-0.035329,-0.035329,0.0353353,89,88,98.9,1,1.1,0,0.276529,***
"CONTINUITY","","CONTINUITY",10020,"Parametric","",-500,-300,"mV",-9.9999e+07,-402.304,-1.124e+06,1.05998e+07,3.1447e-06,-0.0353307,-0.0353307,0.035337,89,88,98.9,1,1.1,0,0.276529,***
"CONTINUITY","","CONTINUITY",10050,"Parametric","",-500,-300,"mV",-9.9999e+07,-354.676,-1.12395e+06,1.05998e+07,3.1447e-06,-0.035329,-0.035329,0.0353353,89,88,98.9,1,1.1,0,0.276529,***
"CONTINUITY","","CONTINUITY",10090,"Parametric","",-500,-300,"mV",-9.9999e+07,-338.729,-1.12393e+06,1.05998e+07,3.1447e-06,-0.0353286,-0.0353286,0.0353349,89,88,98.9,1,1.1,0,0.276529,***
"CONTINUITY","","CONTINUITY",10080,"Parametric","",-500,-300,"mV",-9.9999e+07,-353.926,-1.12395e+06,1.05998e+07,3.1447e-06,-0.0353291,-0.0353291,0.0353354,89,88,98.9,1,1.1,0,0.276529,***
"CONTINUITY","","CONTINUITY",10040,"Parametric","",-500,-300,"mV",-9.9999e+07,-348.006,-1.12394e+06,1.05998e+07,3.1447e-06,-0.0353289,-0.0353289,0.0353351,89,88,98.9,1,1.1,0,0.276529,***
"CONTINUITY","","CONTINUITY",10010,"Parametric","",-500,-300,"mV",-9.9999e+07,-419.504,-2.2476e+06,1.4905e+07,2.23639e-06,-0.0502538,-0.0502538,0.0502583,89,87,97.8,2,2.2,0,0.276529,***
"CONTINUITY","","CONTINUITY",10070,"Parametric","",-500,-200,"mV",-9.9999e+07,-289.156,-1.12388e+06,1.05998e+07,4.71705e-06,-0.0353269,-0.0353269,0.0353363,89,88,98.9,1,1.1,0,0.276529,***
"CONTINUITY","","CONTINUITY",10060,"Parametric","",-500,-300,"mV",-9.9999e+07,-355.349,-1.12394e+06,1.05998e+07,3.1447e-06,-0.0353288,-0.0353288,0.035335,89,88,98.9,1,1.1,0,0.276529,***
"CONTINUITY","","CONTINUITY",10180,"Parametric","",-360,-300,"mV",-2000.08,-337.055,-364.634,175.341,0.0570317,-0.00880989,-0.00880989,0.122873,89,88,98.9,1,1.1,0,0.276529,***
"CONTINUITY","","MOULD_RES",10340,"Parametric","",0,20,"ohm",0.00211889,9710.51,109.412,1029.28,0.00323851,-0.0289562,0.0354333,-0.0289562,89,88,98.9,1,1.1,0,0.276529,***
"CONTINUITY","","CONTINUITY",10190,"Parametric","",-360,-300,"mV",-1999.72,-338.564,-364.917,175.271,0.0570544,-0.00935029,-0.00935029,0.123459,89,88,98.9,1,1.1,0,0.276529,***
"CONTINUITY","","MOULD_RES",10350,"Parametric","",0,20,"ohm",0.00635778,9682.6,109.288,1026.3,0.00324791,-0.029,0.0354958,-0.029,89,88,98.9,1,1.1,0,0.276529,***
"CONTINUITY","","CONTINUITY",10200,"Parametric","",-360,-300,"mV",-1999.88,-338.707,-364.953,175.284,0.0570501,-0.00941944,-0.00941944,0.12352,89,88,98.9,1,1.1,0,0.276529,***
"CONTINUITY","","MOULD_RES",10360,"Parametric","",0,20,"ohm",0.0190733,10064.6,113.668,1066.78,0.00312466,-0.0292681,0.0355174,-0.0292681,89,88,98.9,1,1.1,0,0.276529,***
"CONTINUITY","","CONTINUITY",10210,"Parametric","",-360,-300,"mV",-2000.34,-338.732,-364.95,175.334,0.057034,-0.00941046,-0.00941046,0.123478,89,88,98.9,1,1.1,0,0.276529,***
"CONTINUITY","","MOULD_RES",10370,"Parametric","",0,20,"ohm",0.00212,2774.56,31.4964,294.068,0.0113352,-0.0130314,0.0357019,-0.0130314,89,88,98.9,1,1.1,0,0.276529,***
"CONTINUITY","","CONTINUITY",10220,"Parametric","",-360,-300,"mV",-1999.67,-338.381,-364.863,175.272,0.0570541,-0.00924928,-0.00924928,0.123357,89,88,98.9,1,1.1,0,0.276529,***
"CONTINUITY","","MOULD_RES",10380,"Parametric","",0,20,"ohm",0.00212,3020.69,34.3003,320.153,0.0104117,-0.014889,0.0357124,-0.014889,89,88,98.9,1,1.1,0,0.276529,***
"CONTINUITY","","CONTINUITY",10230,"Parametric","",-360,-300,"mV",-1569.29,-338.699,-360.15,129.644,0.0771344,-0.000386456,-0.000386456,0.154655,89,88,98.9,1,1.1,0,0.276529,***
"CONTINUITY","","MOULD_RES",10390,"Parametric","",0,20,"ohm",0.165303,10.0496,0.717054,1.02042,3.26664,0.234236,0.234236,6.29905,89,89,100,0,0,0,0.276529,***
"CONTINUITY","","CONTINUITY",10240,"Parametric","",-360,-300,"mV",-2000.12,-338.56,-364.835,175.324,0.0570374,-0.00919336,-0.00919336,0.123268,89,88,98.9,1,1.1,0,0.276529,***
"CONTINUITY","","MOULD_RES",10400,"Parametric","",0,20,"ohm",0.00423889,13.6439,0.699623,1.40605,2.37071,0.165861,0.165861,4.57557,89,89,100,0,0,0,0.276529,***
"CONTINUITY","","CONTINUITY",10250,"Parametric","",-360,-300,"mV",-1999.9,-331.797,-364.805,175.307,0.0570427,-0.00913676,-0.00913676,0.123222,89,88,98.9,1,1.1,0,0.276529,***
"CONTINUITY","","MOULD_RES",10410,"Parametric","",0,20,"ohm",0.00211889,546.515,6.67477,57.8754,0.057595,0.0384433,0.0384433,0.0767467,89,88,98.9,1,1.1,0,0.276529,***
"CONTINUITY","","CONTINUITY",10100,"Parametric","",-300,-200,"mV",-226.767,-224.974,-225.875,0.394869,42.2081,21.843,62.5732,21.843,89,89,100,0,0,0,0.276529,***
"CONTINUITY","","MOULD_RES",10260,"Parametric","",0,20,"ohm",0,6472.22,73.0635,686.018,0.00485896,-0.0257833,0.0355012,-0.0257833,89,88,98.9,1,1.1,0,0.276529,***
"CONTINUITY","","CONTINUITY",10110,"Parametric","",-300,-200,"mV",-2000.17,-224.89,-245.86,188.071,0.0886191,0.0812808,0.0959574,0.0812808,89,88,98.9,1,1.1,0,0.276529,***
"CONTINUITY","","MOULD_RES",10270,"Parametric","",0,20,"ohm",0.0169544,2794.2,31.8214,296.139,0.011256,-0.0133062,0.0358181,-0.0133062,89,88,98.9,1,1.1,0,0.276529,***
"CONTINUITY","","CONTINUITY",10120,"Parametric","",-300,-200,"mV",-1999.69,-225.021,-245.909,188.014,0.0886457,0.081392,0.0958995,0.081392,89,88,98.9,1,1.1,0,0.276529,***
"CONTINUITY","","MOULD_RES",10280,"Parametric","",0,20,"ohm",0.02755,2684.1,30.696,284.456,0.0117183,-0.0125339,0.0359704,-0.0125339,89,88,98.9,1,1.1,0,0.276529,***
"CONTINUITY","","CONTINUITY",10130,"Parametric","",-300,-200,"mV",-2000.01,-225.008,-245.9,188.049,0.0886292,0.0813608,0.0958975,0.0813608,89,88,98.9,1,1.1,0,0.276529,***
"CONTINUITY","","MOULD_RES",10290,"Parametric","",0,20,"ohm",0.0211933,168.292,2.40412,17.7854,0.187419,0.0450578,0.0450578,0.329781,89,88,98.9,1,1.1,0,0.276529,***
"CONTINUITY","","CONTINUITY",10140,"Parametric","",-300,-200,"mV",-1999.83,-224.983,-245.961,188.023,0.0886417,0.0814813,0.095802,0.0814813,89,88,98.9,1,1.1,0,0.276529,***
"CONTINUITY","","MOULD_RES",10300,"Parametric","",0,20,"ohm",0,167.967,2.54804,17.7351,0.187951,0.0478907,0.0478907,0.328012,89,88,98.9,1,1.1,0,0.276529,***
"CONTINUITY","","CONTINUITY",10150,"Parametric","",-300,-200,"mV",-1999.58,-224.895,-245.854,188.008,0.0886486,0.0812975,0.0959997,0.0812975,89,88,98.9,1,1.1,0,0.276529,***
"CONTINUITY","","MOULD_RES",10310,"Parametric","",0,20,"ohm",0.00212,10064.8,113.477,1066.83,0.00312452,-0.0292071,0.0354561,-0.0292071,89,88,98.9,1,1.1,0,0.276529,***
"CONTINUITY","","CONTINUITY",10160,"Parametric","",-300,-200,"mV",-1999.41,-224.998,-245.843,187.991,0.0886567,0.0812852,0.0960282,0.0812852,89,88,98.9,1,1.1,0,0.276529,***
