Device,Device ID,Wafer,Site,P/F,Time
1,"970",0,1,1,544633
2,"989",0,1,1,57296
3,"1008",0,1,1,54088
4,"1349",0,1,1,44149
5,"1368",0,1,0,34346
6,"1387",0,1,1,41040
7,"1406",0,1,1,41359
8,"1425",0,1,0,30812
9,"1444",0,1,1,41015
10,"1463",0,1,0,34141
11,"1482",0,1,1,41135
12,"1045",0,1,1,48071
13,"1064",0,1,1,44666
14,"1083",0,1,1,40783
15,"1102",0,1,1,41104
16,"1121",0,1,0,30491
17,"1140",0,1,1,41179
18,"1159",0,1,0,30832
19,"1178",0,1,0,31020
20,"893",0,1,1,44256
21,"912",0,1,1,40844
22,"931",0,1,1,40850
23,"950",0,1,1,40715
24,"969",0,1,1,41191
25,"988",0,1,1,40610
26,"1007",0,1,1,40945
27,"1026",0,1,1,41013
28,"20",0,1,1,41257
29,"1",0,1,1,41477
30,"779",0,1,1,40624
31,"798",0,1,1,41224
32,"817",0,1,1,40626
33,"836",0,1,0,27379
34,"855",0,1,1,41341
35,"874",0,1,1,40760
36,"172",0,1,1,41082
37,"153",0,1,1,40752
38,"134",0,1,1,40710
39,"115",0,1,0,636
40,"115",0,1,1,41218
41,"96",0,1,0,40469
42,"77",0,1,1,40857
43,"58",0,1,1,40748
44,"39",0,1,1,41431
45,"324",0,1,1,40934
46,"305",0,1,0,30971
47,"286",0,1,1,41246
48,"267",0,1,1,41239
49,"248",0,1,1,41173
50,"229",0,1,1,40963
51,"210",0,1,0,30873
52,"191",0,1,1,41376
53,"476",0,1,1,41287
54,"457",0,1,1,41156
55,"438",0,1,1,41359
56,"419",0,1,0,187
57,"419",0,1,0,194
58,"419",0,1,0,189
59,"400",0,1,1,41582
60,"381",0,1,0,190
61,"381",0,1,0,189
62,"362",0,1,1,41436
63,"343",0,1,1,40852
64,"628",0,1,0,26903
65,"609",0,1,1,41617
66,"609",0,1,0,5409
67,"609",0,1,1,19311
68,"590",0,1,0,26893
69,"705",0,1,0,30955
70,"647",0,1,0,12926
71,"666",0,1,1,41327
72,"346",0,1,1,41130
73,"327",0,1,1,40856
74,"308",0,1,1,40706
75,"289",0,1,1,40701
76,"270",0,1,1,41034
77,"251",0,1,1,41334
78,"232",0,1,1,40997
79,"213",0,1,0,40896
80,"194",0,1,1,41017
81,"175",0,1,1,40543
82,"156",0,1,0,30660
83,"137",0,1,1,40893
84,"118",0,1,0,30665
85,"99",0,1,1,40835
86,"80",0,1,1,41527
87,"61",0,1,1,41153
88,"42",0,1,1,41274
89,"23",0,1,1,41007
90,"4",0,1,1,40911
91,"24",0,1,0,12894
92,"5",0,1,1,40957
93,"176",0,1,0,5490
94,"157",0,1,0,40415
95,"138",0,1,1,41144
96,"119",0,1,1,40720
97,"100",0,1,0,40206
98,"81",0,1,1,41255
99,"62",0,1,0,12943
100,"43",0,1,1,40962
