Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",0,1,"EN0_PS1600",1,"970","","",-500,"<=",-360.99,"mV","<=",-300,"P",0.141584,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",0,1,"FAULTB_PS1600",1,"970","","",-500,"<=",-415.053,"mV","<=",-300,"P",0.141584,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",0,1,"FCB_PS1600",1,"970","","",-500,"<=",-361.676,"mV","<=",-300,"P",0.141584,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",0,1,"ISEN_PS1600",1,"970","","",-500,"<=",-346.356,"mV","<=",-300,"P",0.141584,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",0,1,"ITRIP_PS1600",1,"970","","",-500,"<=",-362.246,"mV","<=",-300,"P",0.141584,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",0,1,"OFF_PS1600",1,"970","","",-500,"<=",-356.212,"mV","<=",-300,"P",0.141584,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",0,1,"SS_PS1600",1,"970","","",-500,"<=",-447.008,"mV","<=",-300,"P",0.141584,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",0,1,"VBIAS_PS1600",1,"970","","",-500,"<=",-298.954,"mV","<=",-200,"P",0.141584,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",0,1,"GND_PS1600",1,"970","","",-500,"<=",-370.716,"mV","<=",-300,"P",0.141584,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",0,1,"VIN1",1,"970","","",-360,"<=",-342.287,"mV","<=",-300,"P",0.141584,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",0,1,"VIN2",1,"970","","",-360,"<=",-343.094,"mV","<=",-300,"P",0.142208,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",0,1,"VIN3",1,"970","","",-360,"<=",-343.13,"mV","<=",-300,"P",0.142208,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",0,1,"VIN4_RS1",1,"970","","",-360,"<=",-343.466,"mV","<=",-300,"P",0.142208,***,"",
1,"CONTINUITY","","CONTINUITY",10220,"",0,1,"VIN4_RS2",1,"970","","",-360,"<=",-343.267,"mV","<=",-300,"P",0.142208,***,"",
1,"CONTINUITY","","CONTINUITY",10230,"",0,1,"VIN5_RS1",1,"970","","",-360,"<=",-343.081,"mV","<=",-300,"P",0.142208,***,"",
1,"CONTINUITY","","CONTINUITY",10240,"",0,1,"VIN5_RS2",1,"970","","",-360,"<=",-343.332,"mV","<=",-300,"P",0.142208,***,"",
1,"CONTINUITY","","CONTINUITY",10250,"",0,1,"VIN6",1,"970","","",-360,"<=",-343.298,"mV","<=",-300,"P",0.142208,***,"",
