Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Pass#,Fail#,Time,TS Time
"CONTINUITY","CONTINUITY",10030,"Parametric","",-500,-300,"mV",-376.35,-356.097,-365.546,5.96135,100,0,0.141584,***
"CONTINUITY","CONTINUITY",10020,"Parametric","",-500,-300,"mV",-439.014,-410.613,-424.436,6.78167,100,0,0.141584,***
"CONTINUITY","CONTINUITY",10050,"Parametric","",-500,-300,"mV",-376.418,-356.839,-365.826,6.00452,100,0,0.141584,***
"CONTINUITY","CONTINUITY",10090,"Parametric","",-500,-300,"mV",-363.431,-341.973,-352.136,6.58106,100,0,0.141584,***
"CONTINUITY","CONTINUITY",10080,"Parametric","",-500,-300,"mV",-378.752,-358.318,-367.44,6.15144,100,0,0.141584,***
"CONTINUITY","CONTINUITY",10040,"Parametric","",-500,-300,"mV",-369.986,-351.431,-360.081,5.35811,100,0,0.141584,***
"CONTINUITY","CONTINUITY",10010,"Parametric","",-500,-300,"mV",-476.15,-437.616,-456.006,9.16634,100,0,0.141584,***
"CONTINUITY","CONTINUITY",10070,"Parametric","",-500,-200,"mV",-301.117,-292.352,-296.784,2.21742,100,0,0.141584,***
"CONTINUITY","CONTINUITY",10060,"Parametric","",-500,-300,"mV",-370.716,-349.259,-356.132,2.111,100,0,0.141584,***
"CONTINUITY","CONTINUITY",10180,"Parametric","",-360,-300,"mV",-343.298,-224.621,-332.074,25.1347,95,5,0.141584,***
"CONTINUITY","CONTINUITY",10190,"Parametric","",-360,-300,"mV",-343.575,-330.462,-338.105,4.62663,95,0,0.142208,***
"CONTINUITY","CONTINUITY",10200,"Parametric","",-360,-300,"mV",-343.443,-330.757,-338.104,4.67334,95,0,0.142208,***
"CONTINUITY","CONTINUITY",10210,"Parametric","",-360,-300,"mV",-343.466,-330.866,-338.17,4.63977,95,0,0.142208,***
"CONTINUITY","CONTINUITY",10220,"Parametric","",-360,-300,"mV",-343.412,-330.54,-338.116,4.66911,95,0,0.142208,***
"CONTINUITY","CONTINUITY",10230,"Parametric","",-360,-300,"mV",-343.454,-330.656,-338.153,4.661,95,0,0.142208,***
"CONTINUITY","CONTINUITY",10240,"Parametric","",-360,-300,"mV",-343.536,-330.58,-338.121,4.65847,95,0,0.142208,***
"CONTINUITY","CONTINUITY",10250,"Parametric","",-360,-300,"mV",-343.67,-330.719,-338.158,4.6784,95,0,0.142208,***
"CONTINUITY","CONTINUITY",10100,"Parametric","",-300,-200,"mV",-226.999,-224.939,-225.759,0.416468,95,0,0.142208,***
"CONTINUITY","CONTINUITY",10110,"Parametric","",-300,-200,"mV",-226.797,-224.88,-225.785,0.409683,95,0,0.142208,***
"CONTINUITY","CONTINUITY",10120,"Parametric","",-300,-200,"mV",-227.024,-224.869,-225.781,0.423769,95,0,0.142208,***
"CONTINUITY","CONTINUITY",10130,"Parametric","",-300,-200,"mV",-226.892,-224.874,-225.788,0.412329,95,0,0.142208,***
"CONTINUITY","CONTINUITY",10140,"Parametric","",-300,-200,"mV",-226.639,-224.697,-225.773,0.396718,95,0,0.142208,***
"CONTINUITY","CONTINUITY",10150,"Parametric","",-300,-200,"mV",-227.167,-224.934,-225.769,0.426897,95,0,0.142208,***
"CONTINUITY","CONTINUITY",10160,"Parametric","",-300,-200,"mV",-226.906,-224.779,-225.789,0.432538,95,0,0.142208,***
"CONTINUITY","CONTINUITY",10170,"Parametric","",-300,-200,"mV",-226.82,-224.957,-225.74,0.413724,95,0,0.142208,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"Parametric","",-200,200,"nA",-8.72892,-3.9047,-6.26042,1.24616,95,0,0.421923,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20110,"Parametric","",-200,200,"nA",-8.72892,-3.9047,-6.26042,1.24616,95,0,0.421923,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20020,"Parametric","",-200,200,"nA",-13.1187,-9.00127,-10.9918,0.965481,95,0,0.421923,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20120,"Parametric","",-200,200,"nA",-13.1187,-9.00127,-10.9918,0.965481,95,0,0.421923,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20030,"Parametric","",-200,200,"nA",-11.8121,-5.87521,-9.08124,1.5834,95,0,0.421923,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20130,"Parametric","",-200,200,"nA",-11.8121,-5.87521,-9.08124,1.5834,95,0,0.421923,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20040,"Parametric","",-200,200,"nA",-14.2648,-9.41245,-11.8491,1.13086,95,0,0.421923,***
