Test Suite,Test Method,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cp,Cpk,Cpl,Cpu,Device#,Pass#,Pass%,Fail#,Fail%,Alarm#,Time,TS Time
"CONTINUITY","","CONTINUITY",10030,"Parametric","",-500,-300,"mV",-366.394,-366.394,-366.394,0,***,***,***,***,1,1,100,0,0,0,0.547251,***
"CONTINUITY","","CONTINUITY",10020,"Parametric","",-500,-300,"mV",-419.891,-419.891,-419.891,0,***,***,***,***,1,1,100,0,0,0,0.547251,***
"CONTINUITY","","CONTINUITY",10050,"Parametric","",-500,-300,"mV",-365.888,-365.888,-365.888,0,***,***,***,***,1,1,100,0,0,0,0.547251,***
"CONTINUITY","","CONTINUITY",10090,"Parametric","",-500,-300,"mV",-353.926,-353.926,-353.926,0,***,***,***,***,1,1,100,0,0,0,0.547251,***
"CONTINUITY","","CONTINUITY",10080,"Parametric","",-500,-300,"mV",-367.927,-367.927,-367.927,0,***,***,***,***,1,1,100,0,0,0,0.547251,***
"CONTINUITY","","CONTINUITY",10040,"Parametric","",-500,-300,"mV",-360.471,-360.471,-360.471,0,***,***,***,***,1,1,100,0,0,0,0.547251,***
"CONTINUITY","","CONTINUITY",10010,"Parametric","",-500,-300,"mV",-441.474,-441.474,-441.474,0,***,***,***,***,1,1,100,0,0,0,0.547251,***
"CONTINUITY","","CONTINUITY",10070,"Parametric","",-500,-200,"mV",-300.254,-300.254,-300.254,0,***,***,***,***,1,1,100,0,0,0,0.547251,***
"CONTINUITY","","CONTINUITY",10060,"Parametric","",-500,-300,"mV",-354.324,-354.324,-354.324,0,***,***,***,***,1,1,100,0,0,0,0.547251,***
"CONTINUITY","","CONTINUITY",10180,"Parametric","",-360,-300,"mV",-347.698,-347.698,-347.698,0,***,***,***,***,1,1,100,0,0,0,0.547251,***
"CONTINUITY","","MOULD_RES",10340,"Parametric","",0,20,"ohm",0.326369,0.326369,0.326369,0,***,***,***,***,1,1,100,0,0,0,0.547251,***
